"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"Female","Female",65,195,8.5,"Freshman",6,3.6,25,3,3,0,3,6.5,12,44,40,8,"few",84
"Female","Female",63,120,7,"Freshman",3.5,2.8,22,3,2,100,10,8,15,55,55,10,"one",100
"Female","Female",64,150,9,"Freshman",2.5,3.3,20,6,4,0,27,7,8,51,47,7,"one",50
"Female","Male",65,235,8,"Sophomore",1.5,2.3,26,4,1,100,60,5.5,2,56,58,7,"one",100
"Female","Female",66,148,7.5,"Freshman",3,3.3,28,4,1,90,18,8,10,49,50,3,"dozens",100
"Female","Female",67,154,10,"Sophomore",2,2.7,18,6,4,100,25,7,30,49,49,8,"few",30
"Female","Female",66,148,8.5,"Freshman",4,3.3,28,4,3,120,45,8,20,50,52,5,"few",93
"Male","Male",70,175,10,"Sophomore",3,3.6,35,0,2,90,0,7,4,47,51,3,"none",0
"Male","Male",68,148,10.5,"Sophomore",4,3.2,32,0,2,80,120,5,5,52,53,3,"few",80
"Female","Female",70,130,9,"Sophomore",3,2.5,25,0,1,90,10,9.5,20,38,49,5,"one",70
"Female","Female",69,140,9,"Sophomore",3,3.6,31,1,1,100,50,8,10,48,48,7,"dozens",50
"Male","Male",69,185,11,"Freshman",7.5,3,32,5,1,120,1000,6.5,15,43,44,8,"dozens",80
"Female","Female",62,110,6.5,"Freshman",3,3.8,31,0,3,100,0,8,15,60,64,9,"dozens",90
"Female","Female",64,120,7.5,"Freshman",1.5,3.7,26,2,2,95,80,7,15,51,59,9,"dozens",60
"Male","Male",68,194,12,"Freshman",2,3.1,27,0,1,100,10,7,6,44,52,7,"one",50
"Female","Female",66,130,8,"Freshman",4,2.6,22,0,3,65,12,8,20,40,50,8,"one",70
"Female","Female",64,164,7.5,"Freshman",3,3.4,31,0,1,80,100,7,2,54,55,5,"one",100
"Male","Male",71,208,10,"Sophomore",2,3,29,2,0,135,15,8,5,45,55,10,"few",0
"Male","Male",75,190,12,"Junior",2.5,2.6,28,3,5,100,0,6,8,47,47,4,"one",85
"Female","Female",62,120,7,"Freshman",3.5,3.4,25,5,1,105,11,7,15,52,53,3,"one",25
"Female","Female",68,135,7,"Freshman",2,3.9,30,3,2,70,70,8.5,11,50,56,2,"few",99
"Male","Male",72,152,12.5,"Freshman",4.5,2.6,22,6,10,90,800,7.5,10,39,39,10,"few",20
"Male","Male",71,203,10.5,"Freshman",2,2.3,18,2,5,115,400,6,12,38,38,6,"hundreds",8
"Male","Male",70,165,11,"Freshman",3,3.5,29,0,1,90,7,8,2,50,49,4,"thousands",100
"Female","Female",63,110,8,"Freshman",3,3.6,24,3,1,90,80,8,45,49,50,6,"few",50
"Female","Female",63,115,7,"Freshman",2,3.8,23,0,2,110,110,7,12,53,55,7,"dozens",98
"Female","Female",63,133,8,"Freshman",4.5,3.2,23,3,3,80,45,6.5,8,41,52,4,"one",100
"Female","Female",69,155,9.5,"Freshman",1.5,4,28,2,1,80,20,7.5,20,55,56,3,"few",75
"Female","Female",64,135,7.5,"Sophomore",3,3.5,28,5,2,85,20,8,10,45,48,6,"one",100
"Female","Female",67,145,8,"Freshman",0.5,3.8,28,1,3,90,20,7,10,48,50,4,"dozens",100
"Female","Female",64,160,8.5,"Freshman",1.5,3.5,28,2,1,95,0,8,25,56,51,4,"few",30
"Female","Female",59,150,7.5,"Freshman",9,3,21,0,5,65,60,8,8,47,54,6,"one",50
"Female","Female",66,111,8,"Freshman",2,3.7,31,0,1,75,0,6.5,15,45,46,8,"few",100
"Male","Male",68,136,8,"Freshman",2,1.2,29,1,1,92,43,8,4,46,48,3,"few",40
"Male","Male",71,154,11.5,"Freshman",1,1,21,6,4,85,0,8,6,44,54,5,"dozens",20
"Female","Other",70,130,10.5,"Junior",2,3.1,35,0,0,75,7,7,5,47,53,4,"few",90
"Female","Female",66,230,10,"Freshman",3,2.9,24,1,2,93,0,7,20,50,52,5,"few",10
"Male","Male",72,170,11,"Sophomore",1,2.5,26,2,2,80,70,9,20,46,47,6,"few",85
"Male","Male",69,170,10,"Freshman",2,2.7,22,3,2,50,4,7,5,43,46,3,"few",50
"Female","Female",67,140,9,"Freshman",6,4,28,0,1,85,600,9.5,9,42,45,7,"few",15
"Female","Female",64,115,9,"Freshman",8,3.9,31,0,0,0,50,8,20,46,46,7,"few",5
"Male","Male",70,150,12,"Freshman",1,2.2,28,4,0,110,20,8,5,36,37,7,"few",10
"Female","Female",66,132,7,"Freshman",1.5,2.9,34,2,1,0,60,6,5,50,52,10,"millions",81
"Female","Female",63,115,7.5,"Freshman",3,3.4,26,0,0,60,55,6,7,45,50,6,"few",20
"Female","Female",62,125,6.5,"Junior",2.5,3.2,29,8,5,95,0,8.5,20,55,55,6,"few",15
"Female","Female",65,135,8,"Sophomore",8,3.5,23,2,1,100,6,7,25,45,46,3,"few",25
"Female","Female",67,142,7,"Freshman",4,3.3,25,1,2,65,0,7,15,46,46,5,"few",100
"Female","Female",67,115,8,"Freshman",2,3.9,26,0,4,100,10,7.5,18,55,56,10,"few",90
"Male","Male",72,175,12,"Freshman",3,1.9,24,0,6,120,87,8,15,55,52,3,"few",50
"Male","Male",67,126,9,"Freshman",1,3.7,29,5,1,105,56,8,8,47,48,4,"few",85
"Female","Female",64,108,4,"Sophomore",2,3,23,0,1,40,200,7,45,48,51,6,"few",5
"Female","Female",62,120,7.5,"Sophomore",1,3.6,30,5,1,100,0,8,13,51,51,5,"few",10
"Male","Male",70,150,11.5,"Freshman",2,3.9,33,0,1,103,70,7.5,5,47,52,4,"dozens",60
"Female","Female",65,120,7.5,"Sophomore",5,3.5,36,1,0,20,1,5,1,37,36,2,"few",4
"Female","Female",72,90,5,"Freshman",8.5,4,29,0,0,0,20,6,8,44,45,6,"one",2
"Female","Female",66,200,8,"Freshman",4,2.6,25,0,1,85,0,4,20,48,49,5,"few",75
"Male","Male",71,198,11.5,"Freshman",2,3,19,1,6,0,2,7.5,4,48,50,6,"one",100
"Female","Female",63,115,7,"Freshman",0.5,3.6,29,1,2,100,150,7,14,48,49,4,"few",50
"Male","Male",70,155,11,"Sophomore",1,3.3,26,4,1,80,90,9,13,44,50,7,"millions",10
"Female","Female",62,138,7,"Senior",1.5,3.8,26,15,2,115,80,6.5,7,56,55,2,"dozens",90
"Male","Male",71,155,10,"Freshman",2,2.8,22,2,2,120,0,8,50,48,54,9,"one",50
"Male","Male",74,181,12,"Freshman",5,3.5,28,8,1,120,55,8.5,5,50,52,5,"millions",2
"Female","Female",69,132,8.5,"Freshman",0.5,3.5,27,7,1,85,0,7,20,49,53,9,"hundreds",15
"Female","Female",78,85,6.5,"Freshman",3,3.8,29,0,1,0,97,7.5,5,45,48,7,"few",10
"Male","Male",72,170,12,"Junior",1,3.1,24,0,1,119,0,6,12,48,57,2,"one",3
"Female","Female",66,108,8.5,"Freshman",4,3.8,30,0,0,0,700,7,8,45,45,7,"one",30
"Female","Female",63,105,8.5,"Junior",2.5,3.4,27,16,3,130,0,7,40,65,65,9,"few",2
"Male","Male",68,160,10.5,"Sophomore",1,2.2,24,2,1,111,64,8,20,57,50,1,"few",5
"Female","Female",65,125,7,"Freshman",2.5,3.2,32,2,1,89,53,6.5,8,46,49,6,"one",100
"Female","Female",70,190,11,"Freshman",1,3.6,31,0,1,80,42,8,13,57,61,3,"dozens",25
"Female","Female",63,170,8.5,"Freshman",2,3.7,27,1,2,100,32,7,12,53,55,4,"one",99
"Female","Female",71,108,6,"Freshman",4,4,32,0,0,0,100,10,12,42,44,5,"dozens",15
"Female","Female",65,114,7.5,"Freshman",3,4,27,0,1,90,12,8.5,16,50,55,3,"few",50
"Male","Male",73,172,11.5,"Freshman",2,3.9,31,2,3,90,120,8,5,52,52,1,"few",100
"Female","Female",65,139,8.5,"Freshman",4,3.4,24,0,4,96,40,6.5,14,54,58,10,"few",25
"Female","Female",61,100,4,"Sophomore",1,2.7,24,0,0,110,15,8,10,65,57,3,"one",95
"Female","Female",69,150,8,"Freshman",2.5,2.7,29,3,2,85,30,6,30,50,55,9,"few",100
"Female","Female",67,123,9,"Freshman",3.5,3.4,28,3,1,102,0,7,14,47,58,7,"few",50
"Female","Female",64,140,6.5,"Freshman",2,2.5,30,15,2,100,11,6,15,45,47,9,"few",75
"Male","Male",73,185,11,"Sophomore",1.5,2.9,27,5,4,110,20,7,10,52,53,7,"dozens",100
"Male","Male",73,180,10.5,"Freshman",1,3.3,24,1,2,180,3,6,18,42,50,7,"dozens",100
"Female","Female",70,137,9.5,"Freshman",2,3.8,30,2,2,85,150,7,12,52,59,4,"one",40
"Male","Male",71,190,10,"Sophomore",1,2.7,29,3,1,65,4,6.5,7,52,53,7,"few",40
"Female","Female",68,142,8.5,"Freshman",5,2.5,33,2,1,99,120,6,7,50,55,7,"few",90
"Female","Female",66,140,9,"Freshman",3,2.9,22,0,1,115,130,7,10,46,49,5,"dozens",40
"Male","Male",71,170,11,"Freshman",3,3.7,30,1,1,95,60,7,8,50,54,3,"dozens",100
"Male","Male",69,140,10,"Freshman",1,3.4,28,0,1,100,0,8,9,45,44,3,"one",10
"Male","Male",73,190,10.5,"Freshman",3,3.4,27,2,3,100,100,8.5,5,42,52,10,"hundreds",50
"Male","Male",68,160,11.5,"Freshman",2,3,35,3,2,90,130,8.5,8,56,59,4,"dozens",100
"Female","Female",65,125,8,"Freshman",2.5,3.6,33,1,0,70,50,8,6,47,52,6,"few",15
"Male","Male",72,175,12,"Freshman",3,1.4,26,0,1,80,30,7.5,8,59,59,9,"few",50
"Male","Male",72,200,12,"Freshman",5,2.1,20,6,1,110,0,6,6,49,44,8,"few",100
"Male","Male",75,215,13,"Sophomore",2,3.2,27,0,3,120,15,5,4,42,44,7,"few",50
"Male","Male",65,140,9,"Freshman",1,3.6,31,0,1,80,34,8,5,53,54,5,"thousands",95
"Female","Female",65,170,9.5,"Freshman",3,3.9,23,2,2,70,300,7.5,12,53,49,4,"few",50
"Female","Female",66,215,9.5,"Junior",2.5,2.6,26,3,1,120,40,7.5,5,50,50,6,"dozens",80
"Female","Female",63,185,9.5,"Freshman",3.5,3.5,24,2,2,70,80,7,24,51,54,5,"dozens",80
"Female","Female",60,175,7,"Sophomore",3,3.4,22,2,2,85,3,7.5,5,43,48,6,"few",90
"Female","Female",64,136,7.5,"Freshman",3.5,2.8,27,1,0,80,40,7,10,51,55,2,"few",70
"Male","Male",68,194,10.5,"Freshman",3,3,31,0,1,142,9,8,3,42,44,1,"one",100
"Female","Female",63,125,8,"Sophomore",1.5,3.3,25,1,4,108,69,10,24,55,65,4,"dozens",50
"Female","Female",66,130,9,"Freshman",3,3,18,8,3,0,45,7.5,100,55,56,10,"few",20
"Female","Female",68,150,8.5,"Freshman",3.5,3.9,25,1,4,55,17,10.5,20,54,55,7,"one",95
"Male","Male",74,145,13,"Freshman",2.5,3.6,30,3,1,80,0,6,4,55,63,7,"dozens",75
"Female","Female",70,300,13,"Sophomore",4,3.3,20,3,7,85,10,8,10,45,50,6,"few",60
"Male","Male",71,157,10.5,"Sophomore",2,2.2,26,5,7,110,59,7,6,54,58,3,"one",75
"Female","Female",62,112,8,"Freshman",1,1.9,28,1,5,90,2,8,11,42,42,3,"dozens",90
"Female","Female",62,122,7,"Freshman",0.5,1.3,20,0,2,55,21,5,15,46,44,6,"few",50
"Female","Female",66,165,8.5,"Sophomore",5,3,32,5,1,90,10,6,10,53,55,7,"few",100
"Female","Female",63,112,6,"Freshman",2,3.6,31,2,1,100,44,6,10,56,58,5,"few",100
"Male","Male",75,160,11,"Freshman",2,3.3,28,4,1,120,80,6,15,55,56,1,"few",80
"Female","Female",62,156,8,"Freshman",2.5,2.4,27,5,7,0,25,7.5,27,56,61,7,"few",95
"Male","Male",72,210,12.5,"Junior",5,3.8,33,2,2,100,30,8.5,11,54,55,7,"dozens",10
"Female","Female",62,120,7,"Freshman",3,3.7,26,5,0,90,27,6.5,18,56,56,7,"few",50
"Male","Male",69,170,11,"Freshman",3,3.7,24,1,1,70,1000,7.5,8,53,50,2,"few",50
"Female","Female",66,109,8.5,"Freshman",1.5,3,25,2,1,85,300,7.5,11,51,51,8,"few",40
"Male","Male",76,185,12,"Freshman",5,4,32,1,2,95,32,7.5,7,50,53,7,"hundreds",85
"Female","Female",62,110,7.5,"Sophomore",2.5,3.8,24,2,2,97,20,7,13,52,52,7,"dozens",95
"Female","Female",63,130,6.5,"Freshman",4,3.9,31,7,1,105,13,6,8,48,54,9,"one",80
"Female","Female",64,120,6.5,"Sophomore",4,3.5,26,3,1,90,50,6.5,11,53,56,4,"few",50
"Female","Female",65,191,9,"Freshman",6,1.2,26,3,1,90,20,6.5,24,44,45,6,"few",100
"Female","Female",68,127,10,"Freshman",1.5,3.9,26,6,1,80,40,10,5,53,48,10,"dozens",90
"Female","Female",70,190,9,"Freshman",1,3.4,28,1,2,75,12,7.5,10,48,57,5,"few",70
"Female","Female",64,120,7.5,"Freshman",3,3.8,26,0,2,60,12,6,30,59,58,4,"few",90
"Female","Female",66,190,9.5,"Sophomore",1,2,26,6,10,50,0,7,25,46,45,7,"few",50
"Female","Female",63,120,7.5,"Senior",2,2.7,23,0,2,30,4,8,6,39,47,1,"few",80
"Female","Female",66,170,8,"Junior",5,3.1,30,10,0,85,30,8,17,56,56,4,"few",65
"Female","Female",63,150,7.5,"Sophomore",6,3.7,21,4,2,0,9,6.5,12,49,46,3,"few",100
"Female","Female",67,135,8,"Freshman",1,3,33,1,1,95,30,7.5,15,55,55,3,"few",33
"Female","Female",65,180,8.5,"Junior",0,3.6,36,0,0,0,1,9,5,48,50,5,"dozens",75
"Female","Female",64,160,6.5,"Freshman",6,3.1,23,2,2,100,50,8,10,53,53,7,"few",85
"Female","Female",65,105,6.5,"Freshman",4,3.9,31,0,2,0,1,7,10,42,50,7,"hundreds",100
"Female","Female",63,140,5,"Sophomore",8,3.6,23,0,1,0,16,7,4,42,45,6,"few",90
"Female","Female",59,103,4.5,"Sophomore",1.5,2.1,22,0,4,0,67,9,4,53,49,3,"one",97
"Male","Male",72,170,9.5,"Sophomore",2.5,3.2,29,0,2,85,50,6.5,5,62,61,7,"millions",0
"Male","Male",67,132,9,"Freshman",8,4,32,0,0,0,600,7,5,48,50,3,"few",10
"Male","Male",73,145,11.5,"Freshman",3.5,3.8,31,2,1,70,105,6.5,8,51,57,7,"one",50
"Female","Female",63,124,9,"Sophomore",3,2.8,20,0,3,100,2,6,8,42,51,3,"one",75
"Female","Female",64,127,8.5,"Freshman",2,3.2,32,2,0,90,9,6.5,14,55,60,1,"few",75
"Male","Male",70,185,11.5,"Freshman",2,4,27,10,2,168,40,6.5,6,57,57,7,"thousands",30
"Male","Male",69,115,11,"Freshman",2,2.8,28,4,3,121,85,8.5,9,36,35,7,"millions",15
"Female","Female",60,120,6.5,"Sophomore",2,1.8,21,16,3,75,200,7.5,14,53,56,6,"few",50
"Female","Female",63,206,10.5,"Sophomore",2,3,20,5,1,110,100,8.5,16,50,57,7,"few",20
"Female","Female",67,123,8.5,"Sophomore",3,3.9,33,5,0,70,22,7.5,8,57,63,2,"one",100
"Female","Female",65,150,9,"Sophomore",1.5,3,28,2,1,75,5,9,20,56,54,7,"one",30
"Female","Female",68,175,9,"Junior",2,2.8,24,3,2,100,2,8,15,54,52,8,"few",30
"Female","Female",67,128,8.5,"Freshman",8,3.9,30,0,0,0,28,7.5,14,48,47,3,"few",60
"Female","Female",62,122,7.5,"Freshman",2.5,3.7,23,2,3,80,80,7,26,50,58,3,"few",10
"Female","Female",63,120,7,"Freshman",1,3.8,29,2,3,90,100,9,17,48,50,10,"few",100
"Female","Female",64,127,7.5,"Freshman",3,3.4,24,7,1,100,150,8,20,46,46,8,"dozens",40
"Female","Female",60,122,7.5,"Freshman",4,3,21,1,1,45,20,6.5,18,46,47,8,"one",85
"Female","Female",59,105,5.5,"Sophomore",6,3.7,30,0,2,70,0,7,30,51,51,2,"none",40
"Female","Female",67,145,10,"Junior",3,3.8,24,3,2,85,54,8,22,49,51,1,"hundreds",30
"Female","Female",62,128,7,"Freshman",1.5,2.9,25,0,2,0,12,6.5,10,51,50,6,"few",30
"Female","Female",63,112,6.5,"Freshman",4,3.8,31,0,0,70,45,10,10,54,65,4,"hundreds",100
"Female","Female",60,144,7.5,"Freshman",0.5,3.7,28,0,1,40,21,7,5,44,49,6,"dozens",20
"Female","Female",66,150,8,"Sophomore",2,3.2,26,0,2,90,10,7,10,49,54,8,"one",100
"Female","Female",62,135,7.5,"Freshman",1.5,3.3,26,1,4,35,200,8,11,52,58,2,"few",35
"Female","Female",64,121,7,"Freshman",3.5,2.8,28,1,1,120,30,7,30,51,53,5,"hundreds",100
"Male","Male",72,156,9.5,"Freshman",2,3.3,31,1,2,85,41,6,9,39,47,7,"few",95
"Male","Male",70,185,11,"Freshman",3,3.2,28,3,1,100,0,7,7,49,51,3,"dozens",95
"Male","Male",70,152,10.5,"Freshman",2,3.4,32,2,1,0,10,14,4,57,62,5,"none",0
"Female","Female",59,118,5.5,"Freshman",1.5,3.2,29,0,1,115,10,7,22,53,59,4,"few",100
"Female","Female",64,125,7,"Freshman",5,2.9,23,3,2,80,21,6,27,49,48,2,"one",75
"Male","Male",72,165,10,"Sophomore",2,3.2,32,0,1,113,0,7.5,8,45,51,8,"few",50
"Female","Female",60,110,7,"Freshman",1,3.4,32,0,1,85,20,8,11,40,46,6,"dozens",98
"Female","Female",63,170,7.5,"Junior",2,3.4,22,4,1,85,7,8,35,56,59,3,"few",30
"Female","Female",60,104,6,"Freshman",3,3.5,25,2,2,0,20,6,31,44,48,8,"few",50
"Female","Female",67,110,7.5,"Freshman",6,3.9,32,0,4,0,106,7,40,50,62,3,"one",20
"Female","Female",64,124,8,"Freshman",5,3.4,23,2,3,110,0,8,12,44,47,8,"few",20
"Female","Female",62,145,9,"Freshman",5,3.5,25,0,1,90,2,4.5,13,55,56,7,"few",100
"Female","Female",63,130,7,"Senior",1,3.3,25,0,2,100,12,8,30,49,55,4,"few",98
"Female","Female",64,138,8,"Freshman",1.5,2.9,23,5,2,0,25,7,10,52,50,4,"one",10
"Male","Male",68,130,9.5,"Freshman",3,3,32,0,1,85,4,7,5,45,53,5,"few",20
"Female","Female",75,110,6.5,"Freshman",10,4,31,0,0,0,100,7,13,48,49,6,"few",20
"Female","Female",60,125,7,"Freshman",2.5,3.7,24,7,2,90,50,8,20,53,53,7,"few",60
"Female","Female",68,200,10,"Sophomore",10,3.3,24,3,2,100,0,6,16,57,63,5,"few",25
"Female","Female",67,126,9,"Freshman",3,3.8,25,2,3,90,60,6.5,10,51,51,3,"dozens",45
"Male","Male",70,135,11,"Freshman",0,3.8,24,1,1,96,60,6.5,2,43,44,8,"none",0
"Female","Female",67,130,8.5,"Freshman",2,2.3,29,1,1,120,0,8,20,50,50,7,"few",75
"Female","Female",66,180,9.5,"Freshman",2.5,3.9,27,5,2,80,20,7.5,12,47,49,3,"few",50
"Female","Female",63,103,5.5,"Freshman",4,4,31,0,2,45,150,8,10,59,61,5,"hundreds",100
"Female","Female",66,200,10,"Freshman",3,2.5,22,1,5,0,5,7,10,50,50,3,"few",50
"Female","Female",67,120,7.5,"Freshman",3,2.7,29,4,1,100,42,5,15,48,48,4,"few",99
"Female","Female",66,120,8,"Freshman",3,2.7,29,4,2,100,15,6.5,25,50,51,7,"dozens",100
"Female","Female",67,150,8,"Sophomore",3,3,26,1,0,75,60,7,10,49,55,4,"one",60
"Male","Male",73,155,11.5,"Sophomore",3,2.3,34,1,0,105,0,7,12,56,61,8,"thousands",25
"Male","Male",71,145,9.5,"Freshman",2,3.8,31,6,0,90,0,7,30,49,58,9,"dozens",100
"Female","Female",63,115,4,"Freshman",2,3.8,35,0,1,100,67,6,6,45,47,4,"thousands",100
"Female","Female",65,125,7.5,"Junior",2.5,2.5,23,1,2,0,300,6,7,60,62,4,"dozens",50
"Female","Female",62,120,7.5,"Sophomore",1.5,3.5,23,10,5,105,45,11.5,25,50,48,10,"hundreds",90
"Male","Male",76,300,15,"Junior",1.5,3.3,20,1,1,104,55,5,14,55,52,8,"millions",55
"Female","Female",66,130,9,"Sophomore",1.5,3,24,2,1,130,20,7,17,54,54,7,"one",50
"Female","Female",64,122,8,"Freshman",4,3.4,33,2,1,100,120,6.5,25,48,49,4,"few",50
"Female","Female",65,124,7.5,"Freshman",3,3.8,32,2,0,0,40,7,5,43,47,2,"few",40
"Female","Female",64,130,8,"Freshman",0.5,3.6,30,2,0,84,0,8,30,51,50,8,"few",75
"Male","Male",83,170,9.5,"Freshman",5,4,31,1,0,30,300,7,20,44,48,6,"few",30
"Female","Female",65,145,7.5,"Sophomore",5,3.3,31,0,2,95,1,7,14,45,55,2,"one",60
"Female","Female",64,220,8,"Sophomore",6,3.2,27,2,0,80,0,9,30,53,46,8,"few",100
"Female","Female",65,211,7,"Sophomore",3.5,2.4,17,4,5,105,40,8,15,40,37,6,"few",15
"Female","Female",64,153,8,"Freshman",1.5,3,24,3,2,90,30,7,25,44,45,4,"one",10
"Female","Female",64,142,8,"Freshman",2,3.3,26,0,8,0,0,6,27,65,65,5,"few",20
"Female","Female",67,150,10,"Junior",2,3.3,23,3,1,100,25,7,15,47,59,3,"few",50
"Male","Male",67,150,9.5,"Junior",2,3,30,3,2,115,20,7,5,52,53,7,"thousands",95
"Male","Male",65,139,8,"Junior",2.5,2.5,24,0,1,100,10,5,5,56,63,5,"thousands",50
"Female","Female",66,133,9.5,"Freshman",1,3.4,23,3,3,80,15,7,10,49,48,3,"few",100
"Male","Male",70,169,12,"Sophomore",4,3.5,24,0,1,100,200,7.5,7,42,44,1,"hundreds",20
"Female","Female",63,140,7.5,"Sophomore",6,3.9,26,1,2,93,90,5.5,35,51,52,2,"few",50
"Male","Male",66,145,8,"Sophomore",6,1.9,24,3,1,120,1,7,12,46,46,10,"dozens",50
"Female","Female",60,115,7,"Freshman",2,1.9,19,2,3,0,40,7.5,10,40,48,6,"few",20
"Male","Male",74,175,12,"Freshman",2,3.3,32,1,2,100,42,7,6,50,51,9,"few",50
"Male","Male",66,140,8,"Freshman",3,3.5,24,1,1,40,100,6,6,44,42,10,"dozens",75
"Female","Female",65,179,8.5,"Junior",2,2.7,18,5,3,90,1,7,10,55,57,4,"dozens",80
"Female","Female",64,108,7,"Freshman",2,3.8,25,0,1,85,12,7.5,40,54,57,4,"few",90
"Female","Female",60,113,6,"Freshman",5,3,20,0,1,95,70,8,50,55,54,9,"few",20
"Female","Female",67,105,8,"Freshman",0.5,3,31,0,1,0,53,4,4,39,44,4,"one",35
"Male","Male",74,205,11,"Sophomore",1,1.9,33,2,1,90,35,4,8,48,55,4,"few",25
"Female","Female",64,99,6,"Freshman",3,3.7,30,0,0,0,100,8,10,45,45,7,"one",20
"Female","Female",65,130,8.5,"Freshman",1.5,3.9,32,0,2,92,45,7.5,11,48,54,9,"few",80
"Female","Female",63,116,7.5,"Freshman",3,3.7,27,12,2,120,37,6,10,51,48,7,"few",75
"Female","Female",63,135,7.5,"Freshman",4,3.4,25,1,1,80,90,8,20,51,51,5,"dozens",30
"Female","Female",71,145,9.5,"Sophomore",3,2.9,22,0,5,100,10,6,30,49,59,7,"one",20
