"gender","genderID","greek","homeTown","ethnicity","religion","religious","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","callParents","socialMedia","texts","goodOrWell","expectedIncome","indepVsRespect","curiosityVsManners","selfRelianceVsObedience","considerateVsWellBehaved","primary","UScitizen","president","execttiveOrder","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career","section"
"Male","Male","No","Big City","East Asian","Religious but not one of the above",5,3.8,0,0,4,2,16,1,0,0,8,50,"independence","curiosity","self-reliance","being considerate","Unsure","No","Not eligible to vote",0,4,"Democratic",9,7,0,100,7,"L1"
"Female","Female","No","Big City Subrub","White","Christian",10,3.6,0,0,0,0,26,3,1,2,2,100,"respect for their elders","good manners","obedience","being considerate","Other Republican","Yes","Donald Trump",1,8,"Republican",4,8,0,100,9,"L1"
"Male","Male","No","Big City","Hispanic","Christian",6,2.5,5,8,1,0,14,2,3,4,5,500,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,7,"Democratic",5,10,10,0,6,"L1"
"Male","Male","No","Big City Subrub","East Asian","Atheist",0,2.8,4,2,0,0,26,0,3,2,5,100,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","No","Not eligible to vote",5,5,"Other",0,2,0,100,7,"L1"
"Female","Female","Yes","Big City Subrub","White","Jewish",6,3,16,20,11,3,13,1,4,35,7,70,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Chose not to vote",0,5,"Democratic",5,8,0,100,3,"L1"
"Female","Male","No","Big City Subrub","White","Christian",4,1.9,0,0,1,1,16,3,4,2,0,60,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,1,"Democratic",7,8,0,100,8,"L1"
"Female","Female","No","Big City Subrub","East Asian","Atheist",0,3.9,0,0,1,1,18,1,0,7,5,10000,"independence","good manners","self-reliance","being considerate","Unsure","No","Not eligible to vote",2,3,"Democratic",5,3,0,100,3,"L1"
"Male","Male","No","Small Town","White","Christian",2,2.9,20,10,3,1,12,0,2,3,10,450,"independence","good manners","self-reliance","being considerate","Donald Trump","Yes","Donald Trump",7,7,"Republican",5,5,0,0,7,"L1"
"Female","Female","Yes","Big City Subrub","White","Agnostic",0,3.1,10,15,25,1,14,7,3,7,4,100,"independence","curiosity","self-reliance","being considerate","Unsure","Yes","Chose not to vote",1,5,"Independent",6,5,0,10,10,"L1"
"Female","Female","No","Medium City","East Asian","Atheist",1,3.9,1,1,2,2,15,1,3,5,7,10000,"independence","good manners","self-reliance","being considerate","Unsure","No","Not eligible to vote",0,5,"Other",7,9,0,100,3,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,3.8,2,2,1,1,17,5,1,3,6,100,"independence","curiosity","self-reliance","well-behaved","Other Republican","Yes","Hillary Clinton",2,4,"Democratic",4,9,0,0,0,"L1"
"Male","Female","No","Big City","East Asian","Atheist",1,3.4,4,1,2,0,16,2,4,0,5,200,"independence","good manners","self-reliance","being considerate","Hillary Clinton","No","Chose not to vote",2,5,"Other",6,8,0,100,6,"L1"
"Female","Female","Yes","Medium City","White","Religious but not one of the above",7,3.3,8,6,0,0,15,1,3,4,5,150,"respect for their elders","curiosity","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",5,9,0,100,1,"L1"
"Male","Male","Yes","Big City","Hispanic","Religious but not one of the above",7,1.9,6,15,7,4,4,3,3,4,3,15,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Yes","Hillary Clinton",0,5,"Democratic",5,7,15,0,6,"L1"
"Female","Female","No","Small Town","East Asian","Atheist",0,4,4,0,6,3,16,4,5,10,5,50,"independence","good manners","self-reliance","well-behaved","Unsure","No","Not eligible to vote",1,5,"Other",5,8,5,100,2,"L1"
"Male","Male","Yes","Small Town","White","Religious but not one of the above",3,3.9,10,10,1,1,14,3,0,5,10,100,"independence","good manners","self-reliance","being considerate","Donald Trump","Yes","Donald Trump",8,9,"Republican",0,9,0,100,1,"L1"
"Male","Male","No","Big City","Black","Christian",1,2.7,5,1,7,1,11,7,4,3,5,999,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,8,"Democratic",7,9,5,0,2,"L1"
"Male","Male","No","Big City","White","Christian",7,2.3,12,24,3,1,11,3,10,3,10,125,"respect for their elders","good manners","self-reliance","being considerate","Donald Trump","Yes","Donald Trump",10,6,"Libertarian",7,9,20,10,8,"L1"
"Female","Female","No","Big City","White","Christian",5,3.2,2,2,0,0,26,4,3,3,5,80,"respect for their elders","curiosity","self-reliance","being considerate","Unsure","Yes","Chose not to vote",0,8,"Democratic",5,8,10,10,7,"L1"
"Male","Male","Yes","Big City","Other","Atheist",0,3.6,8,20,8,3,14,2,5,4,3,60,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,1,"Democratic",6,9,15,70,3,"L1"
"Male","Male","No","Big City","East Asian","Agnostic",1,3.4,5,0,4,2,12,2,3,6,5,70,"independence","good manners","self-reliance","well-behaved","Unsure","No","Not eligible to vote",5,5,"Other",3,6,0,100,2,"L1"
"Female","Female","Yes","Big City Subrub","Hispanic","Christian",5,3.2,9,15,5,1,11,1,3,7,8,90,"independence","good manners","self-reliance","being considerate","Other Republican","Yes","Hillary Clinton",0,4,"Democratic",5,9,5,60,2,"L1"
"Male","Male","Yes","Big City","Hispanic","Christian",5,2.6,2,1,20,2,13,3,2,3,10,120,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",1,3,"Democratic",5,9,10,100,0,"L1"
"Male","Male","No","Big City","Other","Christian",5,2.2,50,50,4,0,17,1,3,3,5,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",3,3,"Other",3,7,0,30,2,"L1"
"Female","Female","No","Big City","East Asian","Christian",1,4,2,0,0,2,18,2,3,4,6,50,"independence","good manners","self-reliance","being considerate","Unsure","No","Not eligible to vote",3,5,"Other",4,9,0,100,3,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,3.3,7,10,0,0,16,2,2,11,1,150,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",5,6,0,50,7,"L1"
"Female","Female","Yes","Big City","Black","Christian",4,3,0,0,1,1,14,2,0,10,10,10000,"respect for their elders","good manners","obedience","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",5,7,10,0,10,"L1"
"Female","Female","No","Big City Subrub","White","Religious but not one of the above",7,3.7,14,10,7,6,11,1,3,2,1,50,"independence","curiosity","self-reliance","being considerate","Other Party","Yes","Gary Johnson",5,5,"Libertarian",6,4,0,100,8,"L1"
"Female","Female","No","Big City","Black","Christian",4,3.1,8,3,7,2,14,7,4,5,10,100,"independence","good manners","obedience","well-behaved","Bernie Sanders","Yes","Chose not to vote",0,0,"Democratic",3,8,0,0,5,"L1"
"Female","Female","No","Big City","East Asian","Agnostic",0,3.3,2,2,4,2,16,2,2,8,7,150,"independence","curiosity","obedience","being considerate","Unsure","No","Not eligible to vote",2,5,"Other",4,7,0,100,7,"L1"
"Female","Female","No","Big City","Hispanic","Christian",6,3.7,2,1,1,1,14,5,5,3,0,70,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",8,7,5,0,0,"L1"
"Male","Male","Yes","Small Town","White","Christian",1,3.1,15,20,6,1,12,1,3,4,5,200,"respect for their elders","curiosity","self-reliance","being considerate","Donald Trump","Yes","Donald Trump",5,2,"Republican",6,9,0,80,8,"L1"
"Male","Male","No","Big City","Black","Christian",10,2.5,4,0,0,0,13,4,2,11,10,999,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,5,"Democratic",10,10,50,10,10,"L1"
"Female","Female","Yes","Big City Subrub","White","Agnostic",0,2.4,6,5,0,0,16,5,4,10,9,150,"independence","good manners","self-reliance","being considerate","Unsure","Yes","Chose not to vote",5,5,"Independent",3,10,0,100,3,"L1"
"Female","Female","No","Medium City","East Asian","Atheist",0,3.8,0,0,1,0,16,5,6,4,5,60,"independence","curiosity","self-reliance","being considerate","Unsure","No","Chose not to vote",5,5,"Other",4,5,0,100,6,"L1"
"Female","Female","Yes","Small Town","White","Christian",2,3.4,4,10,2,2,14,7,10,7,5,600,"respect for their elders","good manners","obedience","being considerate","Unsure","Yes","Chose not to vote",5,5,"Independent",5,10,0,100,10,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",8,3.8,12,15,1,1,12,14,3,6,5,100,"respect for their elders","good manners","obedience","being considerate","Donald Trump","Yes","Chose not to vote",2,5,"Republican",6,10,5,100,5,"L1"
"Male","Male","No","Big City","East Asian","Agnostic",0,4,3,0,0,0,26,5,3,4,8,10000,"respect for their elders","curiosity","self-reliance","well-behaved","Hillary Clinton","No","Not eligible to vote",1,5,"Republican",7,10,0,100,4,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",5,3.5,10,13,2,2,13,5,5,6,8,4,"respect for their elders","curiosity","self-reliance","being considerate","Donald Trump","Yes","Donald Trump",3,6,"Republican",7,10,0,90,7,"L1"
"Female","Female","No","Big City","Hispanic","Christian",1,2.9,50,50,2,3,15,2,2,3,6,60,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",1,4,"Democratic",8,10,0,0,5,"L1"
"Female","Female","No","Big City","White","Christian",6,3.3,8,5,0,0,15,1,4,9,4,80,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,4,"Democratic",5,2,10,50,6,"L1"
"Male","Male","Yes","Big City Subrub","White","Christian",4,3.4,18,41,13,4,12,1,3,10,4,900,"independence","good manners","self-reliance","being considerate","Other Party","Yes","Chose not to vote",5,5,"Other",0,6,10,100,5,"L1"
"Female","Female","No","Big City Subrub","East Asian","Agnostic",1,2.8,1,2,3,1,16,0,4,2,7,100,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",1,3,"Democratic",5,4,5,100,2,"L1"
"Male","Male","Yes","Medium City","White","Christian",8,1.8,5,4,0,0,26,1,2,4,5,25,"independence","curiosity","self-reliance","being considerate","Other Republican","Yes","Gary Johnson",3,6,"Republican",4,10,0,100,8,"L1"
"Male","Male","No","Big City Subrub","White","Atheist",2,4,0,0,1,2,22,3,0,2,3,65,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Jill Stein",3,2,"Democratic",3,6,15,0,9,"L1"
"Female","Female","No","Big City Subrub","South Asian","Muslim",5,3,3,0,0,2,17,5,3,5,5,50,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,1,"Independent",5,8,0,40,8,"L1"
"Female","Female","No","Medium City","Other","Christian",1,3.6,5,4,0,0,18,2,1,6,8,80,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,3,"Democratic",3,9,0,100,5,"L1"
"Female","Female","No","Big City","East Asian","Buddhist",6,4,2,0,0,1,26,3,3,6,9,800,"independence","curiosity","self-reliance","being considerate","Unsure","No","Not eligible to vote",5,5,"Other",5,10,0,100,7,"L1"
"Female","Female","No","Big City","Hispanic","Agnostic",0,3.6,0,3,1,1,13,0,4,2,5,175,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",0,3,"Independent",5,8,20,100,6,"L1"
"Male","Male","No","Big City","East Asian","Buddhist",0,3.7,4,4,0,1,14,2,5,8,8,5000,"respect for their elders","curiosity","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,4,"Democratic",7,10,0,100,10,"L1"
"Female","Female","No","Small Town","Black","Christian",3,3.9,0,0,0,0,26,10,4,3,5,500,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",3,7,0,80,4,"L1"
"Female","Female","Yes","Medium City","Black","Christian",9,2.9,4,2,0,1,17,7,3,6,8,120,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,5,"Democratic",5,8,10,0,5,"L1"
"Female","Female","No","Big City Subrub","Hispanic","Christian",4,3.4,12,8,1,2,13,4,4,3,5,100,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Yes","Chose not to vote",4,7,"Democratic",5,10,0,60,6,"L1"
"Female","Female","No","Big City","Black","Christian",7,2,0,0,10,5,13,0,4,4,8,75,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,8,"Democratic",2,10,20,0,0,"L1"
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",2,3,2,2,4,2,16,7,10,3,5,44,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,0,"Other",7,8,0,100,2,"L1"
"Female","Female","No","Big City","Black","Christian",5,2.9,0,0,0,0,15,4,3,2,5,112,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Yes","Hillary Clinton",0,2,"Democratic",5,10,0,20,10,"L1"
"Female","Female","No","Big City","East Asian","Atheist",0,3.5,10,0,0,0,26,4,7,4,6,1000,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","No","Chose not to vote",0,0,"Other",0,0,0,0,0,"L1"
"Female","Female","Yes","Big City Subrub","White","Jewish",4,3.8,1,1,0,0,19,1,3,8,0,80,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Yes","Hillary Clinton",0,3,"Democratic",5,8,0,100,9,"L1"
"Female","Female","Yes","Big City Subrub","White","Jewish",3,3.4,10,10,0,2,13,5,5,10,5,500,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","Yes","Hillary Clinton",0,5,"Democratic",5,10,0,80,4,"L1"
"Female","Female","No","Small Town","White","Christian",3,3.8,8,6,0,0,14,14,4,5,5,100,"independence","good manners","obedience","being considerate","Unsure","Yes","Chose not to vote",5,5,"Democratic",5,10,5,20,7,"L1"
"Female","Female","No","Big City","East Asian","Agnostic",0,3.6,5,0,0,2,14,2,4,4,0,10,"respect for their elders","curiosity","obedience","being considerate","Unsure","No","Not eligible to vote",0,0,"Other",0,8,5,70,2,"L1"
"Female","Female","No","Small Town","White","Agnostic",3,3,5,5,2,2,12,4,3,4,7,100,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",4,5,"Democratic",3,8,10,90,7,"L1"
"Male","Male","No","Big City Subrub","White","Christian",3,3.7,4,1,1,4,14,7,2,4,0,70,"independence","curiosity","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,1,"Democratic",5,8,0,100,4,"L1"
"Female","Female","No","Medium City","East Asian","Agnostic",3,3.9,0,1,0,0,18,2,5,2,5,150,"independence","curiosity","self-reliance","well-behaved","Hillary Clinton","No","Not eligible to vote",0,3,"Other",7,5,0,100,7,"L1"
"Female","Female","Yes","Medium City","White","Christian",6,3.7,2,3,0,1,15,20,6,8,3,70,"respect for their elders","curiosity","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,6,"Democratic",6,9,0,50,7,"L1"
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",2,3.5,5,7,2,2,12,1,3,5,4,80,"independence","good manners","self-reliance","being considerate","Bernie Sanders","No","Not eligible to vote",0,3,"Democratic",8,10,0,100,6,"L1"
"Female","Female","No","Big City Subrub","Hispanic","Atheist",0,3.3,0,0,1,1,16,0,2,3,5,100,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,3,"Democratic",7,7,10,0,9,"L1"
"Male","Male","No","Big City Subrub","Black","Christian",8,2.5,6,20,3,0,12,1,1,2,6,120,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",1,6,"Independent",6,8,0,70,2,"L1"
"Male","Male","No","Big City Subrub","White","Christian",9,1.8,2,0,1,2,15,20,1,4,4,58,"respect for their elders","curiosity","self-reliance","being considerate","Other Republican","Yes","Chose not to vote",10,8,"Republican",6,8,0,90,4,"L1"
"Female","Female","No","Small Town","White","Jewish",3,2.6,1,1,1,1,17,7,3,2,5,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",2,3,"Democratic",2,7,0,100,0,"L1"
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",5,3.5,6,5,1,1,15,2,2,3,5,35,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,4,"Democratic",4,10,10,20,5,"L1"
"Male","Male","No","Big City Subrub","Other","Jewish",5,2.8,2,1,0,0,15,2,10,3,8,500,"independence","curiosity","self-reliance","being considerate","Unsure","Yes","Chose not to vote",2,6,"Democratic",8,9,5,70,0,"L1"
"Female","Female","No","Big City Subrub","East Asian","Christian",10,3.6,2,0,0,1,15,2,4,6,0,80,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",0,6,"Democratic",6,9,0,100,9,"L1"
"Female","Female","No","Big City","Hispanic","Christian",7,3.1,15,18,2,1,17,4,6,10,4,110,"independence","good manners","self-reliance","being considerate","Other Republican","Yes","Chose not to vote",0,4,"Democratic",7,8,0,30,7,"L1"
"Female","Female","No","Big City","East Asian","Buddhist",3,4,1,0,0,0,26,7,2,4,8,50,"independence","good manners","self-reliance","being considerate","Bernie Sanders","No","Not eligible to vote",3,5,"Other",2,10,5,100,7,"L1"
"Female","Female","No","Big City","Black","Christian",8,3.3,10,2,2,0,10,5,7,7,7,100,"independence","good manners","obedience","well-behaved","Hillary Clinton","Yes","Hillary Clinton",0,7,"Democratic",5,8,0,0,7,"L1"
"Male","Male","No","Big City Subrub","White","Atheist",0,3.4,12,10,1,2,13,2,3,1,8,90,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,2,"Democratic",2,10,0,50,6,"L1"
"Female","Female","No","Big City","Hispanic","Agnostic",1,3.7,4,0,2,2,14,2,4,3,0,234,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,0,"Independent",5,10,0,100,9,"L1"
"Female","Female","No","Medium City","White","Christian",8,3.9,0,0,1,1,15,2,1,2,0,20,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,3,"Democratic",7,10,0,20,5,"L1"
"Female","Female","No","Small Town","White","Christian",5,3.2,0,0,0,0,26,10,4,3,0,70,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",0,5,"Other",8,10,0,70,5,"L1"
"Male","Male","No","Big City","Hispanic","Agnostic",2,2.6,2,10,1,5,13,2,1,5,10,10000,"respect for their elders","curiosity","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,4,"Democratic",7,6,0,0,8,"L1"
"Female","Female","No","Big City","Black","Christian",8,3.1,6,1,2,1,15,6,6,7,5,100,"independence","good manners","obedience","well-behaved","Hillary Clinton","Yes","Hillary Clinton",0,2,"Democratic",0,8,15,20,10,"L1"
"Female","Female","No","Big City Subrub","White","Christian",3,3.7,8,0,0,0,15,3,2,2,7,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",3,3,"Democratic",5,7,0,100,10,"L1"
"Female","Female","No","Big City","Hispanic","Atheist",0,3,5,5,3,2,13,6,3,5,10,90,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,2,"Democratic",7,6,5,50,5,"L1"
"Male","Male","Yes","Big City Subrub","White","Atheist",0,2.4,35,20,1,1,13,1,6,6,5,50,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Yes","Hillary Clinton",0,0,"Democratic",10,9,5,50,0,"L1"
"Male","Male","No","Small Town","White","Christian",6,2.7,0,0,1,1,16,1,4,1,5,50,"independence","curiosity","self-reliance","being considerate","Unsure","Yes","Chose not to vote",0,3,"Other",5,8,5,50,8,"L1"
"Female","Female","No","Medium City","Hispanic","Agnostic",2,3.6,1,0,3,3,12,1,3,3,5,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",3,5,"Libertarian",5,8,0,100,10,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",7,3.7,14,7,1,3,16,4,3,5,1,80,"respect for their elders","curiosity","obedience","being considerate","Other Party","Yes","Jill Stein",5,7,"Republican",4,7,0,100,10,"L1"
"Male","Male","Yes","Big City Subrub","Hispanic","Christian",1,1,3,10,0,0,13,10,1,7,8,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Chose not to vote",1,5,"Democratic",7,5,0,10,7,"L1"
"Female","Female","Yes","Small Town","White","Christian",4,3.4,10,25,7,2,14,0,5,10,0,75,"respect for their elders","curiosity","obedience","well-behaved","Bernie Sanders","Yes","Hillary Clinton",3,5,"Independent",5,8,20,0,5,"L1"
"Male","Male","No","Big City","East Asian","Atheist",1,4,16,16,0,3,15,1,1,25,6,2500,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","No","Not eligible to vote",6,6,"Other",2,8,0,100,5,"L1"
"Female","Female","No","Big City","Black","Christian",1,2.8,4,1,2,2,14,12,10,7,8,95,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Yes","Hillary Clinton",1,0,"Democratic",5,10,0,10,10,"L1"
"Male","Male","No","Small Town","Black","Christian",8,3.3,2,2,3,1,9,1,3,6,0,200,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Yes","Hillary Clinton",0,5,"Independent",5,10,5,30,3,"L1"
"Female","Female","No","Big City","East Asian","Buddhist",3,4,4,0,1,1,13,1,2,3,5,50,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","No","Not eligible to vote",3,3,"Independent",5,7,0,100,4,"L1"
"Female","Female","No","Medium City","Black","Christian",6,3.3,4,2,5,1,13,0,2,6,3,100,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,4,"Democratic",4,0,10,0,6,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",5,2.2,15,20,2,2,15,1,2,5,5,70,"respect for their elders","good manners","self-reliance","being considerate","Other Republican","Yes","Donald Trump",4,7,"Republican",0,7,0,100,2,"L1"
"Male","Male","No","Medium City","East Asian","Atheist",1,3.9,0,0,0,1,18,0,1,0,8,120,"independence","curiosity","self-reliance","being considerate","Unsure","No","Not eligible to vote",0,3,"Independent",6,4,0,100,7,"L1"
"Male","Male","No","Big City","White","Atheist",0,3.7,8,3,9,1,15,4,3,9,10,5000,"independence","curiosity","self-reliance","being considerate","Other Party","Yes","Not eligible to vote",1,0,"Libertarian",10,9,10,80,10,"L1"
"Female","Female","No","Big City","Hispanic","Christian",3,2.6,0,0,2,3,12,6,10,3,5,100,"independence","curiosity","self-reliance","being considerate","Unsure","Yes","Hillary Clinton",0,1,"Democratic",7,7,0,70,7,"L1"
"Male","Male","Yes","Medium City","White","Christian",7,3,8,30,2,1,15,1,2,5,5,120,"respect for their elders","curiosity","obedience","being considerate","Donald Trump","Yes","Donald Trump",10,0,"Republican",4,8,10,20,10,"L1"
"Male","Male","Yes","Medium City","Hispanic","Atheist",0,3.7,5,14,1,1,12,2,3,1,9,300,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",2,5,"Independent",7,8,0,30,4,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",3,3,6,20,3,1,14,7,2,20,9,100,"independence","good manners","self-reliance","being considerate","Unsure","Yes","Donald Trump",4,5,"Democratic",2,8,0,10,7,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",3,3.7,3,3,0,0,17,6,3,5,5,75,"respect for their elders","good manners","self-reliance","well-behaved","Donald Trump","Yes","Donald Trump",5,5,"Republican",1,10,0,100,10,"L1"
"Male","Male","No","Big City Subrub","White","Atheist",0,3.2,8,15,0,0,18,1,2,1,6,10000,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",0,3,"Democratic",7,6,5,100,3,"L1"
"Female","Female","No","Small Town","White","Christian",8,3.5,0,0,0,0,26,7,7,2,3,50,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Yes","Hillary Clinton",5,5,"Democratic",8,10,0,70,6,"L1"
"Male","Male","No","Big City","White","Christian",3,2.6,37,50,10,0,14,1,3,3,10,1000,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Yes","Donald Trump",10,5,"Republican",6,6,0,0,0,"L1"
"Female","Female","No","Big City","Black","Christian",9,2.8,7,1,2,2,12,2,5,5,4,60,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","Yes","Not eligible to vote",0,1,"Democratic",5,9,0,0,10,"L1"
"Female","Female","No","Big City","South Asian","Hindu",5,2.9,3,1,0,0,26,3,6,3,10,99999,"independence","good manners","self-reliance","being considerate","Unsure","No","Chose not to vote",0,0,"Other",10,10,0,100,10,"L1"
"Female","Female","No","Medium City","White","Christian",8,3.4,1,1,0,1,15,0,1,6,2,45,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Yes","Hillary Clinton",0,7,"Republican",7,3,20,100,9,"L1"
