"gender","greek","homeTown","highSchool","age","major","ethnicity","belief","religion","religious","expectedIncome","followElection","president","liberal","environment","terrorism","economicInequality","racism","genderEquality","security","familyVal","gunControl","taxes","bigMoney","illegalImmigrants","farRightPol","farLeftPol","religiousFanatics","terrorists","foreignPowers","notVote","politicalParty","voteMar","voteNov","gradeVsLearning","parentRelationship","workHr","tuition","voteParent"
"Male","No","Big City Subrub","Yes",20,"DGS","Asian","Divine Guidance","Christian",5,100,"some","Bernie Sanders",5,1,5,1,5,1,1,5,1,1,3,2,1,1,1,10,4,0,"Democrat",0,0,5,9,0,80,"Yes"
"Male","No","Big City","Not Sure",18,"Business Unassigned","Asian","Evolution","Agnostic",0,70,"very closely","Bernie Sanders",3,7,8,9,9,8,3,0,6,7,9,3,9,1,7,3,4,5,"Independent",10,10,5,8,0,100,"Unsure"
"Male","No","Big City","Not Sure",22,"Psychology","Other","None of the above","Muslim",2,200,"some","Donald Trump",5,5,7,8,10,10,6,9,7,9,6,8,5,4,8,10,8,8,"Other",-1,-1,9,8,5,100,"Unsure"
"Male","No","Big City","Yes",19,"Undeclared","White","Divine Guidance","Christian",4,80,"closely","Bernie Sanders",5,9,10,7,6,5,3,8,2,4,10,3,9,8,7,5,4,6,"Independent",4,8,3,7,0,60,"No"
"Female","Yes","Big City Subrub","Not Sure",19,"psychology","White","Evolution","Christian",1,80,"closely","Bernie Sanders",1,10,2,10,10,10,2,0,10,2,10,0,10,4,8,0,2,7,"Democrat",10,10,5,8,0,20,"No"
"Female","No","Big City Subrub","No",19,"advertising","Other","Divine Guidance","Christian",9,120,"some","Ben Carson",7,7,3,8,0,1,6,6,0,10,10,0,0,0,10,10,10,10,"Other",0,2,7,8,0,100,"Yes"
"Male","No","Big City","Yes",19,"Statistics","White","Divine Guidance","Christian",5,90,"some","Unsure",5,5,8,4,6,2,6,6,2,3,7,3,7,7,7,8,4,3,"Democrat",5,10,9,7,0,100,"Unsure"
"Female","No","Big City Subrub","Yes",19,"Global Studies and Communications","White","Creationism","Christian",10,100,"closely","Ted Cruz",7,9,10,10,10,10,6,7,8,7,7,6,8,8,3,9,3,3,"Republican",2,10,5,7,5,100,"No"
"Female","Yes","Big City Subrub","Yes",19,"advertising","White","Divine Guidance","Christian",5,80,"some","Unsure",6,10,10,7,9,9,9,7,7,8,7,3,5,5,3,6,5,5,"Independent",0,6,6,8,0,100,"No"
"Female","Yes","Small Town","Not Sure",19,"Crop Sciences","White","Divine Guidance","Christian",7,50,"closely","Bernie Sanders",6,7,7,7,6,4,4,5,3,6,7,4,5,5,3,8,4,3,"Independent",-1,8,4,7,10,0,"No"
"Female","Yes","Small Town","Yes",18,"Political Science","White","Divine Guidance","Christian",5,150,"very closely","John Kacich",5,6,9,10,10,10,5,5,7,7,8,5,8,8,2,9,10,8,"Republican",6,10,9,10,0,70,"Yes"
"Female","No","Big City Subrub","Not Sure",19,"Psychology","White","Evolution","Agnostic",3,50,"some","Marco Rubio",5,7,7,5,8,10,7,4,10,4,8,7,9,9,9,6,3,6,"Republican",10,10,3,10,0,100,"Yes"
"Male","Yes","Big City Subrub","Yes",20,"Technical Systems Management","White","Evolution","Other Religion",2,95,"closely","Bernie Sanders",3,7,5,5,7,5,5,5,7,7,9,5,8,8,8,8,5,10,"Independent",7,10,3,8,0,100,"Unsure"
"Female","Yes","Medium City","Yes",19,"Biology","White","Evolution","Other Religion",0,200,"Not at all","Unsure",0,5,7,4,6,5,2,4,3,4,7,4,2,5,7,6,3,2,"Other",0,0,5,7,0,0,"Unsure"
"Female","Yes","Big City Subrub","Yes",18,"undeclared","White","Evolution","Christian",3,500,"some","Bernie Sanders",3,9,7,5,5,6,6,4,5,5,8,3,0,0,0,0,3,2,"Democrat",-1,-1,4,8,0,30,"Unsure"
"Female","No","Big City","Not Sure",20,"Political Science","White","Evolution","Agnostic",0,50,"very closely","Bernie Sanders",9,2,6,9,9,9,5,1,7,7,8,0,8,0,6,3,0,1,"Democrat",9,9,6,8,20,100,"No"
"Male","No","Big City","Yes",19,"Statistics","White","Evolution","Agnostic",0,100,"closely","Ted Cruz",8,7,8,4,9,10,6,7,1,8,8,5,2,10,7,4,0,6,"Republican",5,4,6,8,10,80,"No"
"Male","No","Big City Subrub","Yes",20,"Natural Resources","Black","None of the above","Other Religion",1,75,"some","Bernie Sanders",0,10,5,8,10,10,0,0,10,5,10,0,9,1,2,0,0,0,"Democrat",5,10,2,8,10,0,"Yes"
"Male","No","Big City Subrub","Yes",18,"Undeclared","White","Creationism","Christian",7,95,"closely","Hillary Clinton",5,9,9,6,8,8,6,8,10,6,9,6,8,5,7,8,3,0,"Democrat",0,10,5,9,35,0,"Unsure"
"Female","No","Medium City","Yes",19,"Undecided","Asian","Creationism","Christian",9,30,"some","Bernie Sanders",5,7,4,3,7,7,6,4,5,6,9,5,5,5,4,4,4,5,"Democrat",0,3,7,8,0,100,"Unsure"
"Female","Yes","Big City Subrub","Yes",18,"elementary education","Asian","Evolution","Christian",7,60,"some","Bernie Sanders",5,7,8,7,7,8,4,5,4,4,7,5,7,7,5,8,6,0,"Democrat",4,5,6,6,10,60,"Yes"
"Male","No","Big City","No",22,"TSM","Black","Divine Guidance","Christian",6,1000,"closely","Bernie Sanders",1,7,10,10,10,7,10,6,10,10,5,1,10,3,0,10,7,10,"Democrat",5,5,5,10,0,30,"Yes"
"Male","Yes","Big City Subrub","No",20,"Psychology/Earth, Society, and Environmental Sustainability","Asian","Evolution","Christian",5,100,"closely","Bernie Sanders",3,10,8,7,10,8,6,7,4,7,10,8,10,10,10,10,10,7,"Democrat",10,10,5,8,0,100,"Yes"
"Female","No","Medium City","Yes",19,"DGS","Asian","None of the above","Buddhist",6,70,"Not at all","Unsure",4,10,10,8,10,10,5,7,10,10,7,7,5,5,5,10,7,10,"Democrat",-1,-1,5,7,0,10,"Yes"
"Female","Yes","Big City Subrub","No",20,"human nutrition","White","Divine Guidance","Christian",7,50,"some","Unsure",5,6,7,5,3,5,6,7,7,7,5,5,5,5,5,6,7,0,"Other",0,0,3,10,10,30,"Yes"
"Male","No","Medium City","Yes",21,"math and cs","White","Evolution","Agnostic",0,150,"Not at all","Bernie Sanders",4,0,0,0,0,10,0,0,0,10,10,0,10,10,10,0,0,0,"Democrat",0,0,10,8,10,50,"No"
"Female","Yes","Medium City","Yes",19,"communications","White","Divine Guidance","Jewish",5,40,"some","Hillary Clinton",4,7,9,4,9,3,5,6,5,5,5,7,8,6,7,8,6,7,"Republican",0,0,3,4,0,100,"Unsure"
"Female","No","Big City","Yes",18,"Econ","Asian","Evolution","Agnostic",3,50,"closely","Hillary Clinton",5,8,10,6,10,10,5,3,5,5,10,6,5,5,9,8,10,0,"Independent",5,5,5,8,10,80,"Unsure"
"Male","No","Big City Subrub","Yes",18,"Econ+Stats","Asian","None of the above","Atheist",0,120,"some","Bernie Sanders",5,0,8,8,7,2,5,10,10,8,2,3,5,6,5,4,9,4,"Democrat",-1,-1,7,10,10,100,"Unsure"
"Female","No","Big City Subrub","No",19,"Undecided","Hispanic","Divine Guidance","Other Religion",6,60,"some","Bernie Sanders",1,7,10,10,10,10,9,2,7,7,10,1,9,1,3,10,8,6,"Democrat",10,10,5,9,0,20,"Yes"
"Male","No","Big City Subrub","Not Sure",18,"engineering","White","Divine Guidance","Christian",10,10000,"very closely","Ted Cruz",10,7,10,3,7,5,10,10,0,5,7,9,5,10,10,10,7,5,"Republican",10,10,8,10,0,50,"Yes"
"Male","Yes","Big City Subrub","Yes",18,"Chemistry","White","Creationism","Christian",8,200,"very closely","Donald Trump",8,8,8,5,5,5,8,8,2,7,5,8,5,5,5,10,7,8,"Republican",10,10,4,10,0,100,"Unsure"
"Male","No","Big City","Not Sure",19,"East Asian Languages and Cultures","Asian","Evolution","Atheist",0,60,"some","Bernie Sanders",3,3,5,0,5,6,9,3,7,5,7,5,6,6,10,10,4,3,"Democrat",0,0,3,4,0,100,"No"
"Female","Yes","Big City Subrub","Yes",18,"Food Science","White","Evolution","Christian",2,180,"some","Hillary Clinton",4,10,10,10,10,10,5,4,4,3,10,1,7,6,9,8,4,2,"Independent",0,5,5,10,15,100,"Yes"
"Male","No","Big City Subrub","Not Sure",19,"Agricultural and Consumer Economics","Hispanic","None of the above","Other Religion",2,80,"some","Bernie Sanders",1,9,7,10,8,3,10,2,8,2,10,0,7,1,4,7,9,3,"Democrat",9,9,2,10,5,40,"No"
"Female","Yes","Big City Subrub","Yes",19,"Psychology","White","Evolution","Atheist",0,80,"closely","Marco Rubio",3,9,5,5,7,10,3,0,10,3,7,2,9,9,10,8,2,2,"Independent",7,9,7,7,0,100,"Yes"
"Female","No","Big City","Yes",20,"hdfs","Black","None of the above","Christian",5,200,"Not at all","Unsure",5,0,10,7,8,9,1,4,6,5,9,4,5,6,7,3,8,10,"Democrat",0,6,1,10,15,0,"Yes"
"Female","No","Big City Subrub","Yes",19,"Music Education","White","Evolution","Agnostic",0,80,"very closely","Bernie Sanders",2,10,10,10,10,10,10,4,9,8,8,0,10,7,8,8,6,9,"Democrat",10,10,7,9,0,100,"No"
"Female","Yes","Big City Subrub","Yes",22,"Community Health","White","Divine Guidance","Agnostic",0,100,"closely","Unsure",5,10,2,4,8,10,5,4,7,10,10,8,10,10,1,10,4,0,"Republican",0,7,3,3,15,10,"Unsure"
"Female","Yes","Medium City","Yes",18,"undecided","White","Creationism","Christian",5,2000,"Not at all","Marco Rubio",5,9,10,7,10,10,2,9,10,4,4,9,2,2,0,1,2,3,"Republican",0,0,1,8,15,100,"Yes"
"Male","No","Big City Subrub","Yes",18,"DGS","Asian","None of the above","Other Religion",2,100,"some","Unsure",5,2,0,3,0,0,3,4,6,6,0,9,7,7,0,3,0,0,"Independent",2,5,4,8,0,90,"No"
"Male","Yes","Big City Subrub","Yes",19,"Pyschlogy","White","Divine Guidance","Other Religion",5,300,"some","John Kacich",5,1,10,8,7,4,5,2,6,3,6,5,3,4,2,10,9,1,"Other",5,5,8,8,10,90,"Yes"
"Female","No","Big City","No",20,"Chemistry","Asian","Divine Guidance","Agnostic",1,75,"closely","Bernie Sanders",1,7,8,10,10,10,5,4,9,7,9,2,4,3,6,8,5,7,"Democrat",10,10,5,7,0,0,"Unsure"
"Male","No","Big City","Yes",19,"DGS","Asian","Evolution","Atheist",0,500,"Not at all","Unsure",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Other",-1,-1,0,0,0,100,"Unsure"
"Male","Yes","Medium City","Yes",19,"Architecture","White","Evolution","Christian",5,100,"closely","Marco Rubio",5,10,9,7,9,7,6,5,2,8,8,6,8,8,10,10,6,3,"Independent",4,3,10,6,0,100,"No"
"Female","No","Big City Subrub","In some classes",18,"Elementary Education","Asian","Divine Guidance","Other Religion",4,70,"some","Bernie Sanders",3,7,9,10,9,10,6,7,9,9,6,5,9,4,2,7,4,5,"Independent",7,10,5,10,0,100,"Unsure"
"Female","No","Medium City","Yes",18,"psychology","Asian","None of the above","Buddhist",5,10000,"some","Bernie Sanders",6,5,5,7,7,5,5,5,8,7,6,3,3,3,4,7,4,4,"Independent",-1,-1,6,5,0,30,"Unsure"
"Female","No","Medium City","Yes",19,"Social Work","White","Evolution","Agnostic",0,70,"closely","Bernie Sanders",0,7,3,7,10,7,3,0,8,3,10,1,8,2,10,1,4,5,"Democrat",10,10,4,7,0,90,"Yes"
"Female","Yes","Small Town","Yes",18,"Advertising","White","Divine Guidance","Christian",7,100,"some","Unsure",5,6,10,7,7,7,9,9,4,5,0,9,7,8,4,10,6,0,"Republican",5,5,5,10,10,70,"Unsure"
"Female","Yes","Big City Subrub","In some classes",18,"ACE (Agricultural and Consumer Economics)","White","Evolution","Jewish",7,60,"some","Unsure",5,7,8,6,7,7,8,7,8,5,6,5,5,5,5,7,7,4,"Democrat",0,0,6,9,0,70,"Unsure"
"Male","No","Big City","Yes",19,"English","Black","Divine Guidance","Agnostic",4,200,"some","Bernie Sanders",2,10,5,8,10,8,5,5,5,10,10,2,5,5,0,5,5,0,"Democrat",5,5,6,8,15,100,"Yes"
"Male","No","Big City Subrub","Yes",20,"Psychology","Hispanic","Divine Guidance","Agnostic",0,48,"very closely","Bernie Sanders",5,8,10,8,4,4,4,0,3,4,10,3,10,5,10,10,2,0,"Independent",10,10,5,5,10,60,"Unsure"
"Female","No","Big City Subrub","No",19,"Community Health","Hispanic","Divine Guidance","Christian",7,100,"some","Bernie Sanders",5,9,10,9,10,10,9,9,10,9,10,1,8,4,5,9,7,10,"Democrat",10,10,5,8,0,40,"Unsure"
"Female","No","Big City Subrub","Not Sure",19,"Natural Resources and Environmental Science","White","Evolution","Agnostic",1,60,"very closely","Bernie Sanders",1,10,8,8,9,9,6,5,8,3,8,2,8,8,4,6,7,10,"Democrat",10,10,3,7,15,10,"No"
"Male","No","Small Town","Not Sure",21,"TSM","White","Evolution","Agnostic",2,80,"some","Bernie Sanders",4,6,4,4,3,4,4,3,3,4,6,1,8,8,6,3,1,2,"Other",0,10,10,5,20,0,"Unsure"
"Female","No","Big City","Yes",19,"Accounting","Asian","Evolution","Atheist",1,6,"Not at all","Bernie Sanders",5,1,2,2,2,3,3,2,2,2,3,3,2,5,4,7,5,6,"Other",-1,-1,5,7,10,100,"Unsure"
"Male","No","Medium City","In some classes",20,"Recreation, Sport, and Tourism","White","Evolution","Atheist",0,100,"very closely","Bernie Sanders",1,9,3,10,7,7,3,0,6,6,10,1,5,5,9,2,1,10,"Democrat",10,10,10,6,0,100,"Yes"
"Male","Yes","Medium City","Yes",20,"Agricultural Communications","White","Divine Guidance","Christian",5,1000,"closely","Donald Trump",8,1,10,5,3,3,6,8,1,10,3,2,3,8,0,0,0,8,"Republican",8,6,7,4,30,70,"Yes"
"Female","Yes","Big City Subrub","Yes",19,"Undeclared","White","Divine Guidance","Agnostic",3,150,"very closely","Bernie Sanders",6,6,5,1,3,9,6,0,8,7,5,0,8,8,10,2,5,7,"Independent",10,10,2,5,10,70,"Unsure"
"Female","No","Big City Subrub","Yes",19,"Anthropology","Asian","Evolution","Atheist",0,71,"some","Unsure",2,10,10,10,10,10,7,2,2,7,10,4,10,10,10,10,6,8,"Democrat",5,9,10,8,0,60,"Unsure"
