"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","socialMedia","texts","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition","career"
"Male","Yes","Medium_City","White","Christian",8,36,3.3,0,0,0,1,"17","High_School",4,3,3,10,"No",10,8,10,5,10,5,100,"Nervous"
"Male","No","suburbs","Hispanic","Christian",9,27,3.4,0,0,0,0,"still_waiting","High_School",1,2,7,0,"Yes",5,5,4,5,7,0,50,"No Idea"
"Female","Yes","suburbs","Other","Christian",6,34,3.5,10,12,2,1,"18","College",5,3,10,3,"No",8,9,7,10,8,0,90,"Grad School"
"Male","Yes","Medium_City","White","Christian",5,28,3.8,12,25,1,1,"17","College",3,1,1,5,"No",2,3,5,3,10,0,90,"Grad School"
"Female","No","suburbs","White","Christian",5,25,3.8,12,30,3,1,"16","1st_5th_grade",1,5,5,0,"Yes",1,2,4,8,7,10,0,"No Idea"
"Female","No","Medium_City","Other","Christian",3,30,3.5,0,0,0,0,"still_waiting","0_Kindergarten",2,3,3,2,"No",5,3,2,3,5,0,100,"Some Idea"
"Female","No","big_city","Black","Christian",6,24,4,3,1,0,0,"13","middle_school",4,1,2,0,"No",2,3,5,4,8,0,0,"Nervous"
"Male","No","Medium_City","Asian","Buddhist",2,28,3.5,1,0,0,1,"still_waiting","High_School",1,1,4,8,"No",2,2,2,2,3,0,100,"Some Idea"
"Male","No","suburbs","White","Christian",3,28,3.2,10,12,4,0,"still_waiting","College",1,2,1,0,"No",10,5,5,5,7,40,90,"Nervous"
"Male","No","suburbs","White","Muslim",8,23,3,0,0,0,2,"13","High_School",2,2,3,4,"No",8,2,3,3,10,0,100,"Nervous"
"Male","Yes","Small_Town","Asian","Hindu",7,34,2.2,5,10,0,1,"17","High_School",2,4,20,1,"No",1,3,3,4,9,0,100,"Nervous"
"Female","No","Small_Town","White","Other",4,18,2.9,0,1,0,0,"still_waiting","0_Kindergarten",6,5,6,5,"No",5,8,3,5,7,10,0,"Nervous"
"Female","No","Medium_City","White","Christian",9,31,3.7,0,0,0,0,"still_waiting","College",2,1,3,10,"No",10,5,4,4,8,0,50,"Nervous"
"Male","No","suburbs","Asian","Agnostic",4,32,3.1,5,2,2,1,"17","College",0,2,3,0,"No",0,4,2,3,5,0,0,"No Idea"
"Male","No","Small_Town","Asian","Atheist",4,30,3.3,3,5,1,0,"still_waiting","College",1,4,2,5,"No",2,5,6,10,9,0,90,"Nervous"
"Male","No","Medium_City","Asian","Atheist",0,28,3.8,1,1,1,1,"17","High_School",1,4,5,10,"No",9,5,8,9,10,0,100,"No Idea"
"Female","No","suburbs","Asian","Hindu",1,31,3.4,0,1,0,0,"still_waiting","High_School",4,2,5,0,"No",0,3,4,7,5,0,60,"Grad School"
"Female","No","Medium_City","Asian","Buddhist",2,28,3.3,2,0,25,10,"8","1st_5th_grade",20,3,4,8,"No",2,5,5,8,8,0,100,"No Idea"
"Female","Yes","suburbs","White","Jewish",7,24,3.2,10,7,1,0,"14","College",30,10,10,0,"No",0,5,0,1,10,0,100,"No Idea"
"Female","Yes","Medium_City","Other","Agnostic",0,34,3.4,16,25,0,0,"17","College",0,5,6,0,"Yes",0,1,4,10,4,0,90,"No Idea"
"Female","No","big_city","White","Christian",3,23,3.3,0,0,10,3,"16","middle_school",1,1,4,0,"Yes",0,0,8,10,4,35,50,"Nervous"
"Male","Yes","suburbs","White","Agnostic",1,30,3.7,40,50,1,1,"13","College",2,0,8,2,"No",9,7,10,5,8,0,100,"Concrete Plan"
"Female","No","big_city","Black","Muslim",4,24,2.8,15,6,3,0,"15","College",3,1,4,1,"No",0,1,5,8,6,0,10,"Grad School"
"Male","No","big_city","Black","Agnostic",0,23,3.6,5,3,3,3,"14","College",1,2,1,0,"No",0,4,2,0,8,10,0,"Grad School"
"Male","Yes","Medium_City","White","Jewish",4,28,3.7,6,7,2,2,"15","College",3,3,5,0,"No",5,8,7,5,10,0,100,"Some Idea"
"Male","No","suburbs","Black","Christian",0,33,2.5,2,2,0,1,"9","High_School",1,1,2,6,"No",5,5,5,5,5,5,0,"Other"
"Female","Yes","suburbs","White","Jewish",4,28,3.6,14,15,3,2,"13","High_School",2,5,13,1,"No",1,2,7,8,7,0,90,"Grad School"
"Male","No","suburbs","Asian","Christian",6,33,3.8,0,0,1,2,"19","1st_5th_grade",1,4,1,1,"No",5,5,6,4,8,0,100,"Grad School"
"Female","Yes","suburbs","Hispanic","Christian",6,26,3.2,7,6,0,2,"14","College",1,1,4,1,"No",0,5,7,5,7,0,70,"Nervous"
"Female","No","Medium_City","Asian","Agnostic",5,21,3.3,3,1,2,4,"9","College",10,2,6,0,"No",6,3,5,5,8,10,20,"Grad School"
"Female","Yes","suburbs","White","Jewish",3,26,3.7,6,25,0,0,"14","College",4,2,10,0,"No",0,5,5,6,9,0,90,"Grad School"
"Female","Yes","suburbs","Asian","Christian",7,33,3.7,9,8,0,2,"14","College",4,6,5,1,"No",7,5,7,2,8,0,80,"Grad School"
"Male","Yes","big_city","Hispanic","Agnostic",0,33,2.5,16,45,7,2,"15","College",3,4,11,0,"No",0,3,5,3,5,10,0,"Nervous"
"Female","No","suburbs","Other","Christian",4,20,3.6,10,1,5,2,"14","High_School",30,0,5,4,"No",5,5,5,4,9,0,30,"Nervous"
"Female","No","big_city","Asian","Atheist",1,26,3.4,2,1,0,0,"still_waiting","1st_5th_grade",7,5,8,5,"No",5,3,5,5,9,0,100,"Some Idea"
"Male","No","suburbs","Asian","Muslim",7,30,3.6,0,0,0,0,"still_waiting","High_School",3,4,3,5,"No",5,5,7,8,7,0,100,"Nervous"
"Male","No","Medium_City","White","Atheist",0,30,2.7,0,0,3,3,"17","College",8,2,4,0,"No",0,5,7,6,10,0,0,"Concrete Plan"
"Female","Yes","suburbs","White","Agnostic",0,26,3.5,10,10,2,1,"15","High_School",4,3,3,0,"No",0,2,3,4,10,5,100,"Grad School"
"Female","No","suburbs","Black","Christian",10,27,3,0,0,0,0,"still_waiting","High_School",5,3,3,10,"No",10,7,7,8,8,0,80,"Nervous"
"Male","No","big_city","Black","Muslim",4,19,2.5,2,2,11,3,"17","College",1,3,4,6,"No",7,6,8,6,9,10,0,"Concrete Plan"
"Female","Yes","suburbs","White","Jewish",4,29,3.8,2,1,0,0,"still_waiting","College",7,1,5,0,"No",1,1,1,6,10,0,0,"Nervous"
"Female","No","big_city","Black","Christian",0,19,3.4,6,4,6,5,"15","College",3,1,3,0,"No",0,2,2,1,8,5,10,"Nervous"
"Female","No","suburbs","White","Christian",8,28,3.8,4,3,0,0,"14","High_School",1,2,5,0,"No",0,10,10,7,10,0,0,"Nervous"
"Male","No","big_city","Asian","Atheist",0,26,2.9,0,0,3,1,"14","College",0,4,1,0,"No",0,5,3,7,6,0,20,"Concrete Plan"
"Male","Yes","big_city","Hispanic","Christian",8,25,3.6,18,24,13,3,"10","College",2,2,8,5,"No",9,4,4,5,5,0,0,"Concrete Plan"
"Male","No","suburbs","White","Atheist",0,34,1.9,0,0,0,0,"still_waiting","High_School",7,2,1,0,"No",2,3,2,4,3,0,30,"Nervous"
"Female","No","suburbs","White","Christian",7,24,3.9,0,0,4,2,"16","College",2,1,2,3,"No",10,8,7,6,2,0,100,"Grad School"
"Male","No","Small_Town","White","Christian",4,24,3.2,10,8,24,4,"16","College",1,1,5,0,"No",2,3,9,4,10,10,30,"Some Idea"
"Female","Yes","suburbs","White","Other",3,29,3.3,15,9,3,1,"17","College",3,3,5,0,"No",1,3,0,1,9,10,60,"Concrete Plan"
"Male","No","Small_Town","White","Christian",5,26,3,6,12,1,1,"12","1st_5th_grade",1,1,3,0,"No",1,2,5,5,6,0,20,"No Idea"
"Male","Yes","suburbs","White","Christian",7,29,3.7,2,7,0,0,"18","High_School",4,1,4,4,"No",9,5,7,3,8,0,10,"Nervous"
"Female","No","suburbs","Asian","Other",0,28,3.5,5,0,5,3,"16","High_School",2,10,5,8,"No",5,7,5,9,5,20,100,"Nervous"
"Female","No","suburbs","White","Jewish",2,31,3.4,6,10,5,1,"16","1st_5th_grade",5,3,5,0,"No",0,1,2,7,10,0,100,"Nervous"
"Female","No","big_city","Other","Christian",10,22,3.5,0,0,0,1,"16","College",18,4,6,10,"No",10,10,10,10,10,25,0,"Concrete Plan"
"Female","No","suburbs","Asian","Atheist",0,26,3.2,3,1,4,3,"15","1st_5th_grade",1,3,6,0,"Yes",2,5,5,4,8,5,20,"Grad School"
"Female","Yes","suburbs","White","Agnostic",0,26,1.4,6,4,1,0,"17","College",1,2,13,0,"No",0,4,9,6,6,0,70,"Some Idea"
"Female","Yes","Small_Town","White","Christian",6,26,3.8,7,13,1,1,"13","College",2,2,8,6,"No",9,2,6,6,8,0,20,"No Idea"
"Female","No","Small_Town","Asian","Christian",6,29,3.5,6,3,1,1,"14","0_Kindergarten",5,1,3,0,"Yes",0,5,3,7,9,0,100,"Nervous"
"Male","Yes","suburbs","White","Christian",8,27,3.6,8,16,0,1,"16","College",5,1,6,0,"No",3,3,4,8,9,0,10,"Concrete Plan"
"Female","Yes","big_city","Asian","Christian",3,31,3.5,1,0,0,0,"still_waiting","College",20,1,3,2,"No",1,5,8,9,10,0,100,"Nervous"
"Male","No","suburbs","Asian","Other",3,28,3.8,0,0,0,0,"still_waiting","0_Kindergarten",5,2,5,3,"No",1,5,5,6,8,0,100,"Concrete Plan"
"Male","No","suburbs","Asian","Other",6,33,3.5,0,0,0,0,"still_waiting","High_School",3,1,5,5,"No",6,6,4,7,6,10,20,"Concrete Plan"
"Female","No","big_city","Asian","Agnostic",1,30,3.7,5,10,0,0,"still_waiting","1st_5th_grade",3,10,5,1,"No",1,3,8,8,5,0,100,"Some Idea"
"Male","No","suburbs","White","Christian",5,28,3.8,8,10,28,3,"7","middle_school",1,2,5,0,"No",4,0,8,10,10,40,90,"Grad School"
"Male","No","big_city","Hispanic","Christian",7,25,3,10,4,12,2,"12","College",4,2,4,5,"No",5,5,5,5,10,0,50,"Grad School"
"Male","No","Medium_City","Other","Christian",6,24,2.2,0,0,5,1,"14","1st_5th_grade",5,0,1,5,"No",8,5,5,0,10,0,100,"Concrete Plan"
"Female","No","big_city","Hispanic","Other",6,22,2.7,2,2,2,2,"16","High_School",50,1,4,0,"Yes",3,0,4,10,10,0,0,"Nervous"
"Female","No","suburbs","White","Atheist",2,27,3.8,4,5,4,1,"15","High_School",3,7,4,0,"No",0,0,3,5,6,0,90,"Some Idea"
"Male","No","suburbs","Asian","Muslim",6,24,3,27,28,31,5,"15","College",10,1,10,6,"No",5,5,4,5,0,0,0,"Some Idea"
"Male","Yes","big_city","Asian","Buddhist",5,31,3.3,20,40,50,6,"13","middle_school",4,1,10,5,"No",10,6,8,10,6,30,50,"Grad School"
"Female","Yes","Small_Town","White","Christian",9,30,3.7,4,4,1,3,"14","College",4,2,2,5,"No",6,4,7,0,10,0,100,"Grad School"
"Female","No","Medium_City","Asian","Christian",7,33,3.8,2,1,0,0,"still_waiting","middle_school",1,3,2,10,"No",7,5,2,3,8,10,30,"Grad School"
"Female","Yes","Medium_City","White","Christian",3,28,3.8,18,18,5,0,"13","College",7,2,10,0,"No",7,5,8,7,8,0,100,"Concrete Plan"
"Male","No","Small_Town","Hispanic","Christian",4,27,2.4,0,0,6,1,"14","0_Kindergarten",5,1,2,0,"No",7,5,5,6,9,0,100,"Nervous"
"Female","Yes","suburbs","White","Christian",7,25,3.9,16,11,1,1,"15","High_School",7,3,7,0,"No",9,5,5,5,5,0,100,"Concrete Plan"
"Female","No","big_city","Black","Christian",5,17,2.9,0,0,1,1,"18","College",5,1,5,5,"No",0,5,5,10,10,10,0,"Grad School"
"Female","No","Medium_City","Asian","Christian",10,31,3.6,0,2,0,0,"still_waiting","College",1,4,4,9,"No",8,5,5,5,9,0,100,"Nervous"
"Male","No","Medium_City","White","Agnostic",0,28,2.8,4,8,1,1,"19","College",1,1,1,0,"No",1,7,7,7,8,0,100,"Some Idea"
"Male","No","suburbs","Asian","Agnostic",4,32,3,3,7,0,1,"18","High_School",5,6,3,0,"No",3,3,3,10,5,10,10,"Nervous"
"Female","No","suburbs","Black","Christian",7,20,3.3,4,2,2,2,"15","High_School",7,3,3,0,"No",2,5,5,5,10,0,0,"Concrete Plan"
"Male","No","Medium_City","White","Atheist",0,29,3.3,0,0,0,0,"still_waiting","College",1,2,2,0,"No",0,5,5,7,9,0,100,"Nervous"
"Male","No","suburbs","White","Christian",7,31,3.7,4,7,1,2,"15","High_School",3,2,3,0,"No",0,3,3,4,10,0,0,"Concrete Plan"
"Female","No","big_city","Asian","Christian",8,28,3.5,0,1,1,1,"12","High_School",2,8,5,9,"No",9,5,3,4,9,35,100,"Some Idea"
"Female","No","Small_Town","Asian","Hindu",6,29,2.8,6,7,6,0,"17","College",2,10,5,2,"No",5,5,5,4,6,0,100,"Some Idea"
"Female","No","suburbs","Asian","Agnostic",0,29,3.9,0,0,0,0,"still_waiting","High_School",1,2,4,0,"No",2,2,6,7,8,0,100,"Nervous"
"Male","No","suburbs","Asian","Agnostic",3,30,3.2,8,9,2,0,"18","College",3,1,3,0,"No",2,2,7,5,5,0,100,"Grad School"
"Female","No","suburbs","Hispanic","Christian",6,25,3.8,2,1,1,1,"16","High_School",6,7,3,0,"No",1,5,4,5,8,0,80,"Some Idea"
"Male","Yes","Medium_City","White","Christian",5,29,3.9,7,12,1,1,"13","College",1,0,5,3,"No",5,7,7,5,7,0,100,"Concrete Plan"
"Female","No","suburbs","White","Atheist",2,30,3.8,20,40,4,2,"16","College",7,5,5,0,"No",0,3,5,4,7,0,100,"No Idea"
"Male","Yes","Medium_City","Black","Jewish",1,13,1.2,2,5,5,2,"7","High_School",1,2,40,2,"No",0,1,1,1,1,5,80,"Concrete Plan"
"Female","No","suburbs","White","Christian",5,27,3.9,0,0,0,0,"still_waiting","College",7,2,3,1,"No",9,8,4,1,10,0,100,"Concrete Plan"
"Male","Yes","suburbs","White","Agnostic",5,28,3.2,8,30,4,2,"14","College",0,5,3,0,"No",0,5,6,3,8,0,50,"Nervous"
"Female","No","Medium_City","White","Atheist",0,25,3.8,5,6,0,0,"still_waiting","College",1,1,3,0,"No",0,1,3,0,9,10,100,"Nervous"
"Female","Yes","suburbs","White","Jewish",0,24,3.6,14,10,7,1,"12","High_School",7,3,5,0,"No",0,1,4,5,10,0,90,"Nervous"
"Female","Yes","Small_Town","White","Christian",6,26,3.1,8,6,0,0,"17","College",1,8,10,0,"No",2,0,2,5,9,0,100,"Grad School"
"Female","No","big_city","Hispanic","Other",1,21,2.1,2,0,2,1,"16","College",10,1,5,0,"Yes",5,5,5,0,9,0,40,"Nervous"
"Female","No","Small_Town","Asian","Other",4,25,3.2,1,2,1,1,"15","College",3,7,3,3,"No",0,4,1,1,6,25,10,"Grad School"
"Female","No","Medium_City","White","Agnostic",2,28,3.6,0,0,1,1,"20","College",1,1,1,0,"No",2,3,5,5,5,0,90,"Nervous"
"Female","No","big_city","White","Christian",10,28,3.5,2,0,0,0,"15","1st_5th_grade",2,2,4,5,"No",10,6,5,5,9,0,0,"Nervous"
"Male","Yes","suburbs","White","Christian",8,26,3.8,12,15,0,0,"15","College",2,2,10,2,"No",0,9,8,8,7,0,70,"Nervous"
"Male","No","Medium_City","Asian","Muslim",7,31,3.2,1,0,0,0,"still_waiting","High_School",1,2,11,0,"No",0,3,7,10,7,0,100,"Nervous"
"Female","No","suburbs","Asian","Christian",2,30,3.5,10,4,1,2,"19","College",4,9,3,1,"No",5,5,5,4,9,0,0,"Nervous"
"Male","No","suburbs","Asian","Christian",3,30,2.8,2,0,0,0,"14","College",4,2,3,2,"No",6,4,8,5,9,0,60,"Nervous"
"Male","No","suburbs","Hispanic","Agnostic",0,26,3,1,4,0,0,"still_waiting","High_School",0,1,3,5,"No",2,3,1,2,1,0,90,"Grad School"
"Male","No","big_city","Asian","Atheist",0,33,3.2,1,0,0,1,"18","High_School",0,3,2,5,"No",10,5,3,6,10,0,100,"Grad School"
"Female","No","big_city","Other","Atheist",0,25,3.2,10,4,1,0,"14","High_School",1,2,4,0,"Yes",0,0,5,7,5,5,100,"Some Idea"
"Male","Yes","suburbs","White","Christian",5,30,2.7,8,25,0,0,"17","1st_5th_grade",2,1,10,5,"No",1,5,4,5,8,10,50,"No Idea"
"Male","No","big_city","Other","Christian",8,16,3,0,0,42,3,"10","High_School",7,8,5,8,"No",5,5,5,3,9,0,0,"Concrete Plan"
"Male","No","big_city","Asian","Agnostic",0,28,1.7,6,2,0,2,"16","High_School",2,6,2,0,"No",2,3,4,5,4,0,100,"No Idea"
"Female","No","big_city","Asian","Agnostic",0,28,3.8,0,0,0,0,"still_waiting","High_School",1,2,3,5,"No",3,3,8,8,9,0,100,"Nervous"
"Female","Yes","suburbs","White","Christian",2,29,3.5,18,20,9,2,"14","College",2,4,2,0,"No",0,5,4,5,7,10,0,"No Idea"
"Male","No","Small_Town","White","Christian",9,32,3.8,2,8,0,0,"15","College",1,2,6,8,"No",10,7,7,5,10,0,70,"Grad School"
"Female","Yes","suburbs","White","Christian",2,31,3.7,1,0,0,1,"14","College",7,3,3,0,"No",2,8,5,3,10,20,60,"Nervous"
"Male","No","big_city","Asian","Buddhist",5,20,3.7,0,0,1,1,"18","College",3,10,2,4,"No",3,5,5,2,4,0,0,"Nervous"
"Male","Yes","suburbs","White","Christian",5,31,3,12,15,30,4,"13","College",3,1,2,10,"No",10,5,7,0,7,25,100,"Concrete Plan"
