"gender","genderID","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","socialMedia","texts","goodOrWell","parentRelationship","workHr","tuition","career"
"Female","Female","No","Medium City","White","Christian",5,27,4,8,10,2,2,"13","High School",2,"2",10,7,9,0,100,"Grad School"
"Female","Female","Yes","Big City Suburb","White","Atheist",0,34,4,10,5,0,0,"14","College",6,"4",5,6,9,0,100,"Grad School"
"Female","Female","No","Big City Suburb","White","Jewish",3,29,4,18,20,0,0,"15","College",7,"8",15,5,10,0,0,"Some Idea"
"Female","Female","Yes","Small Town","White","Christian",6,24,3.6,4,10,3,3,"14","middle school",2,"5",4,7,9,0,90,"Some Idea"
"Female","Female","Yes","Big City","Hispanic","Other Religion",1,28,3.4,12,14,1,1,"15","College",0,"2",7,2,10,15,70,"Nervous"
"Female","Female","Yes","Big City","White","Christian",0,28,3.7,25,40,6,1,"13","College",0,"2",5,5,3,10,100,"Nervous"
"Female","Female","No","Big City Suburb","Black","Agnostic",2,24,2.6,2,0,0,0,"14","College",3,"5",4,4,7,0,20,"Nervous"
"Female","Female","Yes","Big City Suburb","White","Jewish",6,30,4,8,2,0,0,"15","College",7,"5",10,5,10,0,100,"Concrete plan"
"Female","Female","Yes","Big City Suburb","White","Jewish",7,24,3.3,12,16,0,0,"15","High School",7,"3",6,10,7,0,100,"Grad School"
"Female","Female","No","Medium City","White","Christian",10,28,3.9,0,0,0,0,"still waiting","College",7,"1",5,1,8,0,100,"Some Idea"
"Female","Female","No","Big City","Black","Christian",5,23,3.4,4,1,0,0,"16","College",3,"2",6,7,7,0,0,"Grad School"
"Female","Female","No","Big City Suburb","Asian","Muslim",6,28,3.5,0,0,0,0,"still waiting","College",7,"2",4,3,8,10,80,"Grad School"
"Male","Male","No","Big City","Asian","Christian",5,31,3.3,0,1,3,3,"17","Kindergarten",7,"5",5,5,9,20,90,"Some Idea"
"Male","Male","No","Small Town","White","Christian",9,19,3,5,20,5,3,"16","High School",34,"4",8,5,10,0,0,"Concrete plan"
"Male","Male","Yes","Big City Suburb","White","Christian",1,24,3.5,5,11,6,2,"15","College",2,"1",4,6,5,0,100,"Some Idea"
"Male","Male","Yes","Big City Suburb","White","Jewish",4,30,4,6,10,2,2,"12","College",5,"2",10,5,10,0,50,"Some Idea"
"Female","Female","No","Big City Suburb","White","Christian",1,29,4,3,0,1,1,"15","High School",3,"2",4,4,8,0,80,"Grad School"
"Male","Male","Yes","Big City Suburb","White","Atheist",0,31,3.6,6,4,4,3,"14","High School",3,"4",3,3,8,10,50,"Nervous"
"Female","Female","No","Big City Suburb","Hispanic","Christian",5,29,3.4,4,0,0,0,"15","High School",1,"4",6,6,7,0,0,"Grad School"
"Female","Female","No","Big City Suburb","White","Christian",8,31,3.5,4,1,0,0,"still waiting","High School",2,"5",10,5,9,0,50,"Nervous"
"Female","Female","Yes","Big City Suburb","White","Christian",2,21,3.6,2,5,0,0,"18","College",4,"2",5,1,9,0,90,"Some Idea"
"Female","Female","No","Big City Suburb","White","Christian",2,32,4,6,7,1,1,"16","High School",2,"2",5,8,5,0,100,"No Idea"
"Male","Male","No","Big City Suburb","White","Christian",5,33,4,15,15,2,1,"16","College",4,"2",15,7,7,0,60,"Nervous"
"Female","Female","No","Big City Suburb","White","Christian",2,26,3.7,17,20,4,1,"15","Kindergarten",3,"3",10,6,8,0,100,"No Idea"
"Female","Female","No","Big City Suburb","Asian","Agnostic",0,27,4,10,10,5,2,"21","College",0,"1",4,6,7,0,100,"Nervous"
"Female","Female","No","Big City","Hispanic","Agnostic",2,27,3.4,4,4,4,1,"11","middle school",2,"4",3,4,6,0,30,"Nervous"
"Female","Female","No","Big City Suburb","White","Atheist",0,24,2.6,2,1,4,3,"14","Kindergarten",0,"3",1,2,0,0,100,"Nervous"
"Male","Male","No","Big City","Hispanic","Christian",5,23,2.9,0,0,1,1,"12","College",1,"1",2,2,10,0,0,"Grad School"
"Male","Male","No","Big City Suburb","White","Christian",2,29,2.9,1,0,9,3,"14","College",7,"3",6,8,10,0,100,"Concrete plan"
"Male","Male","No","Big City","Asian","Agnostic",1,28,4,1,2,1,2,"15","High School",5,"1",3,5,8,0,0,"Concrete plan"
"Female","Female","Yes","Big City Suburb","White","Agnostic",0,32,3.4,15,10,2,2,"15","College",2,"3",10,7,10,0,100,"Concrete plan"
"Male","Male","No","Medium City","Black","Christian",6,23,3.6,3,0,5,2,"17","College",4,"0",15,10,8,0,0,"Other"
"Female","Female","No","Big City Suburb","Hispanic","Atheist",0,26,3.5,4,6,11,1,"6","College",1,"1",3,3,8,0,10,"Nervous"
"Female","Female","No","Big City Suburb","White","Jewish",3,25,2.9,4,5,10,1,"15","lower grades",5,"3",5,5,6,5,80,"Nervous"
"Male","Male","No","Big City","Asian","Agnostic",0,29,2.2,0,0,1,1,"16","High School",1,"1",0,9,8,15,0,"Some Idea"
"Female","Female","Yes","Medium City","Other","Christian",8,30,3,4,5,1,2,"14","College",7,"1",8,5,5,0,90,"Grad School"
"Female","Female","No","Small Town","White","Christian",0,29,3.2,2,1,1,1,"18","middle school",10,"4",4,4,9,0,100,"Grad School"
"Female","Female","Yes","Big City Suburb","White","Agnostic",1,30,3.4,10,10,2,1,"17","Kindergarten",5,"2",5,3,10,0,100,"Nervous"
"Female","Female","No","Small Town","White","Christian",3,23,3.6,5,5,1,1,"15","College",1,"3",6,7,8,15,0,"No Idea"
"Male","Male","No","Big City Suburb","Asian","Hindu",2,30,3,0,0,0,0,"14","High School",3,"2",6,8,9,0,70,"Nervous"
"Male","Male","Yes","Big City Suburb","White","Agnostic",0,31,4,14,25,1,1,"13","College",2,"2",4,4,7,0,90,"Nervous"
"Male","Male","No","Big City Suburb","White","Atheist",0,28,3.8,4,4,7,3,"14","College",2,"1",20,9,2,5,10,"Concrete plan"
"Female","Female","No","Medium City","Asian","Muslim",8,23,2.8,0,0,0,0,"still waiting","middle school",14,"3",2,7,10,10,0,"Nervous"
"Female","Female","No","Big City Suburb","White","Christian",10,30,3.4,2,1,0,1,"16","College",4,"4",5,5,7,15,30,"Some Idea"
"Female","Female","No","Big City Suburb","White","Christian",4,27,4,16,15,3,1,"15","College",10,"2",10,0,10,0,60,"Concrete plan"
"Male","Male","Yes","Big City Suburb","White","Atheist",0,32,3.2,15,35,3,2,"16","College",1,"2",5,5,7,0,80,"Some Idea"
"Male","Male","No","Big City","Black","Christian",4,24,3.3,2,3,4,3,"16","College",1,"3",6,7,8,0,0,"Concrete plan"
"Male","Male","Yes","Big City Suburb","Asian","Christian",3,31,3.2,7,30,1,1,"13","High School",1,"2",5,7,9,0,100,"Nervous"
"Female","Female","No","Big City Suburb","White","Christian",8,24,3,0,0,0,0,"still waiting","College",3,"3",2,0,7,0,100,"Some Idea"
"Female","Female","Yes","Big City Suburb","White","Christian",8,32,3.8,8,10,1,1,"16","College",5,"3",12,3,10,10,90,"Concrete plan"
"Male","Male","No","Small Town","White","Christian",6,29,4,5,0,0,3,"15","High School",2,"2",4,5,10,0,70,"Nervous"
"Female","Female","No","Big City Suburb","White","Other Religion",8,26,3,16,18,0,1,"18","College",10,"4",6,0,8,5,90,"Grad School"
"Female","Female","No","Small Town","White","Christian",7,25,2.1,3,4,0,0,"16","High School",21,"8",4,5,8,10,100,"No Idea"
"Male","Male","No","Big City Suburb","White","Christian",3,31,4,42,50,2,1,"15","High School",3,"0",8,9,9,0,70,"Nervous"
"Female","Female","No","Big City Suburb","Asian","Muslim",10,28,3.9,0,0,0,0,"still waiting","lower grades",6,"2",5,6,8,0,50,"Some Idea"
"Female","Female","No","Medium City","White","Jewish",7,32,4,1,1,0,0,"18","High School",5,"3",8,2,8,0,50,"Nervous"
"Female","Female","No","Medium City","White","Christian",8,31,3.8,0,0,0,1,"15","High School",7,"3",5,5,9,15,30,"Nervous"
"Female","Female","No","Medium City","Asian","Christian",8,17,3.4,0,0,0,0,"still waiting","College",14,"5",6,4,10,0,100,"Concrete plan"
"Female","Female","No","Big City Suburb","Black","Christian",9,26,4,2,2,1,1,"15","lower grades",20,"3",4,5,7,0,40,"Grad School"
"Female","Female","No","Big City Suburb","Mixed","Agnostic",0,26,3,2,3,3,3,"16","College",3,"7",4,9,7,15,100,"Nervous"
"Female","Female","No","Big City","Asian","Buddhist",1,28,3.8,2,0,0,0,"still waiting","middle school",3,"1",3,8,8,0,100,"Grad School"
"Male","Male","No","Medium City","Asian","Atheist",0,31,3,2,1,0,0,"18","College",1,"1",4,7,9,0,60,"Nervous"
"Female","Female","No","Medium City","White","Christian",7,27,3.5,1,0,0,0,"still waiting","High School",2,"2",5,1,6,0,80,"Some Idea"
"Female","Female","No","Big City","Hispanic","Christian",3,23,3,16,10,1,2,"16","College",1,"10 or more",4,0,5,0,100,"Concrete plan"
"Female","Female","No","Big City Suburb","Asian","Agnostic",0,26,3.4,10,6,2,0,"18","College",1,"1",7,5,8,0,10,"Nervous"
"Male","Male","No","Big City Suburb","Asian","Muslim",5,22,4,4,7,6,1,"22","College",5,"10 or more",10,10,6,0,0,"Concrete plan"
"Female","Female","No","Medium City","Asian","Christian",10,27,4,0,0,0,0,"still waiting","High School",3,"3",6,8,10,0,100,"Some Idea"
"Female","Female","No","Big City Suburb","White","Christian",5,27,3,50,50,1,1,"17","lower grades",0,"10 or more",50,10,8,0,0,"Concrete plan"
"Female","Female","Yes","Big City Suburb","White","Christian",5,27,3.6,6,10,1,2,"14","College",7,"1",2,0,5,0,50,"Some Idea"
"Female","Female","No","Big City","Hispanic","Christian",8,28,3.4,6,4,0,0,"18","High School",7,"1",15,7,9,0,0,"Some Idea"
"Male","Male","No","Big City Suburb","White","Muslim",0,30,2.6,10,10,5,0,"13","Kindergarten",9,"3",3,8,10,0,100,"Concrete plan"
"Male","Male","No","Big City Suburb","Black","Christian",4,27,2.7,4,5,1,0,"18","College",4,"3",5,5,4,10,0,"Nervous"
"Female","Female","No","Big City Suburb","White","Christian",8,29,4,15,15,2,1,"15","High School",7,"10 or more",20,5,9,0,100,"No Idea"
"Female","Female","Yes","Big City Suburb","Hispanic","Christian",6,25,3.5,10,7,0,1,"14","middle school",7,"6",5,2,9,15,40,"Some Idea"
"Female","Female","No","Big City Suburb","Hispanic","Christian",7,22,4,4,0,0,0,"18","High School",7,"0",5,10,10,0,50,"Grad School"
"Male","Male","Yes","Big City Suburb","White","Atheist",1,27,3.8,10,15,8,1,"16","College",1,"3",5,5,8,5,50,"Nervous"
"Female","Female","No","Big City Suburb","Asian","Muslim",8,31,3.8,2,0,0,2,"16","High School",6,"4",5,5,9,0,100,"Grad School"
"Female","Female","No","Big City Suburb","Black","Christian",5,22,3.1,6,0,0,0,"14","Kindergarten",13,"1",10,9,9,0,40,"Nervous"
"Female","Female","No","Big City Suburb","Asian","Christian",6,31,4,6,4,2,2,"14","High School",1,"10 or more",4,5,8,0,90,"Nervous"
"Female","Female","No","Big City Suburb","Asian","Christian",0,26,4,0,0,0,0,"still waiting","middle school",5,"2",2,5,9,0,100,"No Idea"
"Female","Male","No","Big City","Asian","Atheist",3,25,3.3,2,2,0,2,"18","High School",3,"5",3,5,5,0,90,"No Idea"
"Female","Female","No","Big City Suburb","Other","Muslim",7,25,3.1,3,0,0,0,"still waiting","High School",7,"0",4,4,10,10,0,"Concrete plan"
"Female","Female","No","Medium City","Asian","Christian",3,27,3.5,8,0,0,1,"15","lower grades",7,"2",5,5,7,25,50,"Nervous"
"Female","Female","No","Big City","Hispanic","Christian",6,17,3,8,3,5,1,"16","College",7,"10 or more",2,0,9,0,80,"Concrete plan"
"Male","Male","No","Small Town","White","Christian",4,30,3.2,2,2,0,0,"still waiting","High School",2,"1",7,4,3,0,100,"Grad School"
"Female","Female","No","Big City Suburb","White","Christian",4,33,4,10,12,4,3,"13","College",3,"5",12,5,8,10,10,"Nervous"
"Female","Female","No","Big City Suburb","White","Christian",3,25,3.5,6,14,4,2,"14","College",2,"1",10,8,8,0,100,"Nervous"
"Male","Male","No","Medium City","Black","Christian",8,26,3.8,3,4,0,0,"14","middle school",5,"2",3,10,10,25,0,"Nervous"
"Female","Female","No","Big City Suburb","Asian","Christian",8,26,4,0,0,0,0,"still waiting","College",1,"2",4,3,8,0,80,"Some Idea"
"Female","Female","No","Big City","White","Agnostic",2,33,3.8,8,8,0,0,"still waiting","lower grades",3,"4",4,7,7,0,60,"Grad School"
"Female","Female","No","Big City Suburb","White","Jewish",5,25,3.7,0,0,1,1,"16","College",14,"5",5,6,10,0,100,"Grad School"
"Female","Female","No","Big City","Asian","Christian",5,28,2.5,30,12,18,3,"15","College",0,"4",4,3,6,35,100,"Concrete plan"
"Female","Female","Yes","Small Town","White","Christian",9,28,4,5,2,0,1,"16","College",5,"2",4,3,9,30,90,"Nervous"
"Male","Male","No","Medium City","White","Atheist",0,30,3,7,10,10,0,"15","College",1,"1",3,8,10,0,10,"Nervous"
"Female","Female","No","Big City Suburb","Asian","Agnostic",4,30,2.9,9,15,10,1,"14","High School",1,"4",5,4,3,0,100,"Nervous"
"Male","Male","No","Big City Suburb","White","Other Religion",5,31,4,3,0,2,3,"13","High School",1,"1",3,5,8,10,80,"Nervous"
"Male","Male","No","Big City","White","Atheist",3,30,3.9,0,0,0,0,"12","lower grades",4,"3",2,2,8,0,0,"No Idea"
"Male","Female","No","Small Town","White","Christian",4,29,3.8,10,6,0,0,"21","College",7,"2",2,0,10,15,100,"Grad School"
"Female","Female","No","Medium City","White","Agnostic",4,31,2.5,0,0,33,6,"16","College",4,"2",4,5,10,0,0,"Nervous"
"Male","Male","No","Big City Suburb","White","Christian",8,29,4,12,30,4,1,"14","High School",4,"2",7,6,10,0,100,"Grad School"
"Female","Female","No","Big City Suburb","Black","Christian",4,24,3.7,11,4,4,2,"15","College",10,"10 or more",5,8,10,10,0,"Grad School"
"Female","Female","No","Big City Suburb","Hispanic","Christian",6,25,4,10,10,1,1,"13","High School",5,"2",5,7,8,10,10,"Nervous"
"Male","Male","No","Big City","Asian","Atheist",0,31,2.7,0,0,0,1,"20","College",3,"10 or more",5,5,9,5,100,"Nervous"
"Female","Female","No","Big City","Hispanic","Agnostic",4,27,3.5,13,12,4,1,"14","College",5,"3",3,3,10,0,10,"Grad School"
"Female","Female","No","Big City Suburb","White","Christian",1,33,4,0,0,0,0,"still waiting","High School",5,"2",10,3,5,0,50,"Grad School"
"Female","Female","No","Big City Suburb","White","Other Religion",5,23,2.8,6,2,2,1,"18","High School",5,"3",4,6,8,0,100,"Grad School"
"Female","Female","No","Big City","Hispanic","Christian",5,22,2.5,0,0,1,1,"19","College",7,"10 or more",4,10,7,15,100,"Nervous"
"Male","Male","Yes","Big City Suburb","Other","Hindu",8,31,3.1,6,10,0,0,"18","High School",5,"2",6,4,9,5,100,"Other"
"Male","Male","No","Big City Suburb","Hispanic","Agnostic",0,25,2.5,3,6,1,1,"13","College",0,"2",3,3,7,20,20,"Nervous"
"Male","Male","No","Big City","Black","Agnostic",2,24,2.9,6,3,7,3,"12","High School",1,"2",3,3,7,0,0,"Nervous"
"Female","Female","No","Big City Suburb","White","Christian",4,31,4,10,8,1,1,"18","High School",3,"3",5,4,7,0,100,"Grad School"
"Female","Female","No","Big City Suburb","White","Jewish",7,27,3.9,5,6,0,0,"14","High School",4,"10 or more",4,5,10,0,100,"Concrete plan"
"Female","Female","No","Big City Suburb","Black","Christian",8,24,3,5,1,0,0,"still waiting","Kindergarten",9,"3",5,7,7,0,90,"Grad School"
"Female","Female","No","Big City","Hispanic","Other Religion",6,21,3.5,12,4,1,1,"16","lower grades",3,"2",4,7,8,40,50,"Some Idea"
"Female","Female","Yes","Small Town","White","Christian",6,26,4,10,18,2,1,"15","High School",1,"1",4,3,7,20,50,"Some Idea"
