"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","tweets","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Female","No","suburbs","Asian","Christian",10,25,2.5,0,0,0,1,"17","College",1,5,10,"No",10,5,5,0,3,0,90
"Female","No","big_city","Asian","Christian",5,27,3,2,1,2,2,"17","High_School",3,0,5,"No",0,2,2,5,10,0,100
"Female","No","big_city","Asian","Christian",10,36,3.9,0,0,0,1,"18","College",1,0,10,"No",6,7,2,0,8,0,50
"Female","No","big_city","Asian","Christian",7,27,3.2,0,0,0,0,"still_waiting","High_School",2,0,2,"No",8,5,5,2,9,0,100
"Female","No","suburbs","Asian","Buddhist",6,32,3.5,2,0,0,0,"still_waiting","College",7,0,2,"No",0,2,6,8,10,10,0
"Female","No","suburbs","Asian","Agnostic",1,30,3.8,9,6,1,1,"15","1st_to_5th_grade",2,0,2,"No",2,1,8,3,9,0,100
"Female","Yes","suburbs","Asian","Agnostic",0,24,2,3,0,0,0,"still_waiting","College",4,0,0,"No",5,5,3,2,9,15,0
"Female","No","suburbs","Asian","Hindu",5,30,3,12,10,1,1,"14","College",5,2,0,"No",0,3,3,5,10,0,70
"Female","No","suburbs","Asian","Christian",3,25,3,5,1,0,0,"still_waiting","0_to_Kindergarten",4,0,2,"No",5,2,9,7,9,0,100
"Female","No","suburbs","Asian","Christian",7,26,3.8,0,0,5,3,"15","middle_school",1,0,0,"No",4,6,4,8,10,0,100
"Male","Yes","Medium_City","Asian","Christian",5,32,3.9,2,1,2,2,"17","College",4,0,0,"No",5,4,3,0,9,0,60
"Male","No","suburbs","Asian","Agnostic",3,31,3.8,5,8,0,0,"17","High_School",1,5,5,"No",5,5,7,5,8,0,100
"Female","No","Medium_City","Asian","Muslim",7,31,3.6,3,0,0,0,"18","College",10,0,5,"No",2,7,3,2,8,0,50
"Female","No","big_city","Asian","Christian",7,29,3.8,1,0,2,2,"17","College",2,0,8,"No",7,6,7,5,8,10,90
"Female","No","big_city","Asian","Buddhist",3,32,3.8,2,0,0,2,"18","middle_school",2,0,4,"No",5,4,9,3,9,0,100
"Male","No","suburbs","Asian","Atheist",0,30,3.6,0,0,0,0,"still_waiting","College",3,0,0,"No",0,0,5,5,0,0,10
"Female","No","suburbs","Asian","Christian",4,30,3,4,0,0,0,"14","College",2,6,0,"No",2,5,5,3,9,5,100
"Male","No","suburbs","Asian","Christian",3,26,2.8,10,7,3,3,"16","middle_school",3,0,1,"No",1,7,5,10,8,0,100
"Male","No","Medium_City","Asian","Christian",8,30,2.2,4,2,7,4,"12","1st_to_5th_grade",3,0,6,"No",8,6,4,5,6,0,70
"Male","No","suburbs","Asian","Christian",5,23,3.1,5,6,1,1,"16","High_School",3,0,5,"No",3,5,3,0,10,0,50
"Female","No","suburbs","Asian","Agnostic",2,30,3.8,0,0,0,0,"still_waiting","High_School",0,0,3,"No",2,3,6,7,7,10,90
"Female","Yes","suburbs","Asian","Muslim",8,26,3.7,0,0,1,1,"14","College",12,0,1,"No",0,2,4,5,9,0,100
"Male","No","big_city","Asian","Atheist",1,23,3,1,0,1,1,"18","College",1,0,5,"No",4,5,6,2,7,0,10
"Male","No","Medium_City","Asian","Christian",8,36,3.7,2,3,1,1,"19","College",1,0,5,"No",5,5,5,5,5,0,0
"Female","No","Medium_City","Asian","Buddhist",4,32,3.5,3,10,0,0,"still_waiting","middle_school",7,0,5,"No",6,5,9,8,9,0,100
"Female","No","big_city","Asian","Christian",7,29,3.2,0,0,0,1,"18","College",1,0,8,"No",6,9,3,7,8,0,50
"Male","No","suburbs","Asian","Agnostic",0,27,3,8,8,2,2,"16","College",1,3,2,"No",2,8,5,7,8,40,50
"Female","No","big_city","Asian","Agnostic",3,28,3.7,1,0,0,0,"still_waiting","College",2,0,0,"No",0,3,2,5,8,25,0
"Female","No","suburbs","Asian","Christian",9,31,3.4,1,1,0,0,"16","College",5,4,7,"No",10,8,8,4,10,10,30
"Female","No","suburbs","Asian","Christian",10,29,2,0,0,0,0,"still_waiting","High_School",1,0,10,"No",7,7,6,3,9,15,0
"Female","No","suburbs","Asian","Christian",3,29,2.7,2,14,1,1,"14","High_School",5,1,2,"No",1,2,8,9,4,0,100
"Female","No","suburbs","Asian","Christian",9,30,3.7,1,0,0,0,"still_waiting","High_School",7,0,10,"No",10,5,5,3,9,40,100
"Female","No","suburbs","Asian","Christian",5,27,3.4,4,3,1,1,"18","College",3,0,0,"No",2,3,5,0,9,0,40
"Female","No","suburbs","Asian","Other",5,25,1.9,15,0,0,0,"still_waiting","0_to_Kindergarten",2,0,5,"No",10,5,4,7,9,0,10
"Male","No","suburbs","Asian","Christian",9,27,3.8,1,2,1,1,"17","College",1,0,8,"No",8,8,3,4,7,5,0
"Male","No","big_city","Asian","Atheist",2,32,4,4,0,0,1,"15","middle_school",6,0,2,"No",5,5,7,7,8,0,100
"Male","No","suburbs","Asian","Hindu",4,31,3.7,4,6,1,1,"18","College",2,0,1,"No",2,2,7,4,8,0,60
"Male","No","suburbs","Asian","Christian",9,31,3.7,1,5,0,0,"still_waiting","College",1,0,5,"No",5,5,5,8,8,0,100
"Female","No","suburbs","Asian","Hindu",10,31,3,4,6,1,1,"16","College",5,1,0,"No",4,5,4,4,6,10,40
"Female","No","suburbs","Asian","Agnostic",2,32,3.9,0,0,1,1,"16","College",3,0,0,"No",0,5,8,8,8,15,80
"Female","No","suburbs","Asian","Christian",5,29,2.9,3,3,1,2,"17","0_to_Kindergarten",4,1,0,"No",2,5,7,7,8,0,90
"Female","No","suburbs","Asian","Christian",3,31,3,12,15,5,2,"16","College",10,5,7,"No",3,4,8,9,9,0,100
"Female","No","suburbs","Asian","Christian",2,33,3.2,6,5,1,3,"16","College",4,2,0,"No",0,3,2,5,8,0,100
"Male","No","Medium_City","Asian","Christian",9,34,3.6,0,0,0,1,"still_waiting","middle_school",2,0,10,"No",5,10,8,5,9,0,100
"Male","No","suburbs","Asian","Atheist",0,30,2.5,0,0,1,1,"18","0_to_Kindergarten",3,1,10,"No",6,3,8,9,9,0,100
"Female","No","suburbs","Asian","Christian",10,27,2.9,0,0,0,1,"still_waiting","College",1,0,5,"No",8,5,5,0,10,0,80
"Male","No","suburbs","Asian","Christian",6,30,3.3,4,6,1,1,"16","middle_school",3,0,5,"No",8,5,7,8,7,0,90
"Female","No","suburbs","Asian","Other",7,26,2.8,4,0,0,0,"still_waiting","High_School",7,0,10,"No",0,3,5,3,9,0,70
"Male","No","big_city","Asian","Christian",4,32,3.7,0,0,1,1,"21","High_School",3,0,9,"No",2,9,9,2,8,0,100
"Male","No","suburbs","Asian","Atheist",0,32,2.9,5,5,0,0,"still_waiting","High_School",2,0,0,"No",0,2,1,0,10,0,100
"Male","No","suburbs","Asian","Muslim",5,19,2.1,50,0,14,0,"still_waiting","College",10,0,1,"No",7,5,10,5,10,0,0
"Male","No","suburbs","Asian","Christian",10,26,3.4,0,0,0,2,"17","College",4,0,7,"No",8,8,5,0,10,0,0
"Female","No","Small_Town","Asian","Christian",3,28,3.8,12,12,1,1,"17","High_School",5,10,5,"No",8,6,7,5,10,0,70
"Male","No","big_city","Asian","Agnostic",1,35,3.7,3,7,2,2,"13","High_School",1,5,0,"No",0,4,2,5,5,10,100
"Female","No","big_city","Asian","Buddhist",5,26,3.2,0,0,0,0,"still_waiting","middle_school",3,0,10,"No",5,6,8,10,9,0,100
"Female","No","big_city","Asian","Atheist",0,28,3.5,0,0,0,0,"still_waiting","1st_to_5th_grade",3,5,0,"No",0,1,4,7,8,15,10
"Female","No","big_city","Asian","Christian",7,29,3.3,0,0,0,1,"13","middle_school",2,0,10,"No",10,5,5,5,8,5,0
"Female","No","suburbs","Asian","Agnostic",0,27,3.7,1,1,1,1,"14","middle_school",5,0,3,"No",0,2,5,5,10,10,0
"Male","No","suburbs","Asian","Christian",6,28,2.4,5,1,8,1,"16","High_School",1,0,5,"No",2,8,10,10,9,0,100
"Female","No","suburbs","Asian","Agnostic",0,32,3.4,3,0,1,1,"18","College",1,0,0,"No",0,0,2,10,10,0,50
"Male","No","suburbs","Asian","Hindu",5,29,2.6,12,10,0,0,"still_waiting","1st_to_5th_grade",6,0,0,"No",10,2,5,2,10,0,100
"Female","Yes","Medium_City","Asian","Christian",1,27,3.4,4,15,1,1,"18","College",2,0,2,"No",4,6,4,6,8,0,100
"Male","No","big_city","Asian","Agnostic",5,29,3.1,12,15,0,0,"18","College",2,3,0,"No",3,3,6,7,8,15,0
"Male","No","big_city","Asian","Buddhist",5,18,2,10,5,6,3,"14","College",3,0,0,"No",0,5,6,0,10,0,0
"Female","No","suburbs","Asian","Agnostic",0,29,4,4,1,4,2,"15","College",5,0,0,"No",2,3,4,7,8,0,100
"Female","No","Small_Town","Asian","Muslim",10,30,3.8,0,0,0,0,"still_waiting","College",5,3,10,"No",9,5,2,0,9,0,100
"Female","No","big_city","Asian","Atheist",0,22,3,0,0,0,0,"still_waiting","0_to_Kindergarten",0,0,5,"No",8,6,5,8,6,0,100
"Female","No","big_city","Asian","Atheist",0,27,3.3,2,0,1,1,"18","0_to_Kindergarten",2,1,5,"No",4,5,9,9,9,10,100
"Male","No","big_city","Asian","Christian",7,31,2.5,3,10,2,2,"20","College",7,0,3,"No",6,4,6,7,7,0,100
"Female","No","suburbs","Asian","Hindu",7,33,3.5,0,0,0,0,"still_waiting","College",9,1,0,"No",0,1,4,3,10,0,100
"Female","No","suburbs","Asian","Agnostic",0,28,2.9,3,2,1,1,"16","College",2,0,0,"No",0,5,5,0,7,0,90
"Female","No","suburbs","Asian","Christian",8,28,2.3,0,0,0,0,"still_waiting","1st_to_5th_grade",10,0,5,"No",10,5,5,4,7,0,100
"Male","No","big_city","Asian","Other",7,29,3.4,12,6,4,4,"14","0_to_Kindergarten",7,0,5,"No",7,5,4,7,9,0,100
"Male","No","suburbs","Asian","Muslim",6,32,3.1,0,0,0,0,"still_waiting","High_School",7,3,10,"No",9,2,3,8,9,0,100
"Female","No","suburbs","Asian","Christian",8,32,3.9,0,0,0,0,"18","1st_to_5th_grade",0,0,9,"No",10,3,3,0,3,5,40
"Female","No","Small_Town","Asian","Agnostic",2,32,4,0,0,0,0,"still_waiting","College",4,0,2,"No",2,3,6,5,7,0,100
"Male","No","Small_Town","Asian","Muslim",3,32,3.8,0,0,0,0,"still_waiting","College",3,0,3,"No",8,3,6,6,10,0,100
"Male","No","Small_Town","Asian","Agnostic",3,32,3.6,2,0,0,1,"17","High_School",0,0,5,"No",3,5,8,8,7,0,0
"Male","No","Medium_City","Asian","Hindu",3,29,3.9,5,2,0,2,"16","High_School",10,0,3,"No",4,7,7,3,10,0,90
"Male","Yes","big_city","Asian","Agnostic",0,28,2.7,2,0,0,0,"still_waiting","College",2,0,2,"No",4,5,8,3,8,0,30
"Male","No","Small_Town","Asian","Agnostic",5,30,2.6,3,50,11,11,"17","High_School",7,50,0,"Yes",1,0,5,0,9,0,10
"Male","No","suburbs","Asian","Other",2,28,2.4,6,10,1,0,"18","High_School",7,0,0,"No",0,5,2,5,8,0,0
"Male","Yes","big_city","Asian","Christian",5,29,3.5,2,4,1,1,"15","middle_school",4,0,0,"No",5,5,10,0,8,0,100
"Female","No","suburbs","Asian","Christian",6,31,2.8,1,50,1,1,"12","College",9,3,2,"No",3,5,5,5,10,0,70
"Female","No","big_city","Asian","Agnostic",0,28,3.9,1,2,1,1,"19","middle_school",1,0,3,"No",8,5,4,8,9,0,100
"Female","No","suburbs","Asian","Muslim",6,28,2.9,2,1,0,0,"7","High_School",2,0,3,"No",2,2,4,1,8,10,50
"Female","No","Small_Town","Asian","Christian",4,26,3.7,0,0,5,2,"16","High_School",2,0,0,"No",3,8,5,7,9,0,70
"Male","No","Medium_City","Asian","Buddhist",2,29,2.5,0,2,1,0,"14","middle_school",1,0,5,"No",4,5,5,2,6,0,100
"Male","No","suburbs","Asian","Christian",9,28,3.5,0,0,1,1,"16","High_School",2,0,8,"No",3,0,8,5,7,0,100
"Male","No","Medium_City","Asian","Christian",2,22,3,15,0,0,0,"still_waiting","College",2,0,7,"No",3,4,6,6,5,0,0
"Female","No","suburbs","Asian","Atheist",4,33,3.2,0,0,0,0,"still_waiting","College",3,0,0,"No",4,3,5,8,8,5,100
"Male","No","suburbs","Asian","Hindu",6,28,3.8,4,4,0,1,"12","College",7,1,0,"No",5,5,4,1,8,0,60
"Male","No","big_city","Asian","Christian",10,21,2.5,0,0,0,0,"still_waiting","College",3,0,5,"No",5,5,5,5,5,0,100
"Female","Yes","Medium_City","Asian","Atheist",0,27,3.8,0,0,0,0,"21","1st_to_5th_grade",2,0,0,"No",3,5,7,7,8,0,50
"Female","No","Medium_City","Asian","Other",1,19,3,3,0,0,0,"still_waiting","College",5,6,10,"No",0,6,10,10,7,0,100
"Male","No","suburbs","Asian","Christian",8,34,3.8,0,0,0,0,"still_waiting","High_School",1,0,10,"No",10,7,8,2,7,0,100
"Male","Yes","suburbs","Asian","Hindu",0,32,2.8,10,20,3,1,"18","College",14,0,6,"No",0,6,5,10,2,0,100
"Male","No","suburbs","Asian","Christian",7,23,3.2,0,0,1,2,"13","High_School",3,0,6,"No",10,4,6,4,10,0,0
"Female","No","suburbs","Black","Christian",7,24,2.8,4,0,12,4,"12","middle_school",12,8,7,"Yes",0,6,6,7,6,0,0
"Male","No","Medium_City","Black","Christian",7,15,3.2,1,1,1,1,"10","College",2,0,1,"No",0,5,9,3,9,40,0
"Female","No","suburbs","Black","Christian",7,21,3.6,10,4,6,1,"14","College",1,1,0,"Yes",2,5,9,5,5,15,20
"Female","No","big_city","Black","Christian",8,23,2.4,10,8,46,4,"15","High_School",29,3,0,"Yes",5,8,5,2,7,50,0
"Female","No","big_city","Black","Christian",5,22,3.5,0,0,2,2,"16","High_School",5,0,8,"No",4,2,5,5,8,15,0
"Female","No","Small_Town","Black","Christian",5,19,3.5,4,0,2,2,"11","High_School",4,1,5,"No",5,5,5,7,10,10,0
"Female","No","big_city","Black","Christian",7,26,2.3,0,0,4,3,"16","College",6,2,3,"No",0,3,5,5,10,25,10
"Male","Yes","big_city","Black","Christian",4,18,2.7,8,4,9,1,"17","College",3,3,6,"No",5,5,5,5,8,10,0
"Female","No","big_city","Black","Christian",7,19,3.3,3,1,8,2,"15","1st_to_5th_grade",6,1,0,"No",3,0,3,0,10,10,0
"Female","Yes","suburbs","Black","Christian",4,24,3.4,5,6,0,0,"18","College",1,0,0,"No",0,3,6,0,10,0,80
"Male","No","big_city","Black","Christian",8,17,2.6,8,5,25,2,"16","High_School",7,10,5,"No",4,7,5,8,10,0,0
"Male","No","big_city","Black","Christian",10,19,3.9,0,0,1,1,"19","College",2,0,10,"No",5,5,5,5,10,10,0
"Male","No","big_city","Black","Christian",2,21,3,4,0,0,1,"12","College",1,3,5,"No",8,1,8,2,8,10,0
"Female","No","big_city","Black","Christian",7,22,3,5,1,2,2,"15","College",50,15,10,"No",10,5,10,7,8,20,70
"Male","Yes","suburbs","Black","Christian",7,25,2.8,8,4,8,1,"16","College",1,5,10,"No",4,5,4,5,5,10,30
"Female","No","big_city","Black","Christian",7,25,3,3,0,4,2,"13","College",2,4,0,"No",0,3,8,7,6,10,0
"Male","No","suburbs","Black","Christian",10,23,2.9,6,1,3,0,"12","middle_school",8,3,10,"No",5,5,5,5,9,0,0
"Female","No","big_city","Black","Christian",5,21,3.2,0,0,5,3,"8","High_School",12,0,4,"No",9,5,4,5,8,15,0
"Female","No","big_city","Black","Christian",6,30,3.4,0,0,0,0,"17","College",1,10,8,"No",8,6,7,4,8,10,10
"Female","No","big_city","Black","Christian",7,28,2.9,3,1,1,2,"13","High_School",3,2,0,"No",5,0,3,7,10,10,50
"Female","No","big_city","Black","Christian",7,26,2.8,0,0,14,2,"15","College",6,9,5,"No",7,2,8,5,8,15,100
"Female","No","Medium_City","Black","Christian",8,16,3,0,0,5,1,"15","High_School",7,1,9,"No",5,6,7,8,10,0,10
"Female","No","suburbs","Black","Christian",8,32,4,0,0,0,0,"still_waiting","College",3,0,6,"No",9,4,5,2,5,0,0
"Male","No","big_city","Black","Christian",9,23,2.1,2,4,14,2,"6","1st_to_5th_grade",7,6,5,"No",1,3,3,7,10,20,0
"Female","No","suburbs","Black","Christian",7,25,3,24,11,3,3,"13","College",5,0,0,"No",7,0,5,5,9,10,90
"Female","No","suburbs","Black","Christian",4,24,2.8,5,6,3,3,"15","High_School",6,2,1,"No",8,4,6,7,7,0,20
"Male","Yes","suburbs","Black","Christian",5,26,3.8,15,25,4,1,"13","High_School",6,0,0,"No",5,2,2,3,3,0,70
"Female","No","big_city","Black","Christian",7,29,3.6,0,1,0,1,"16","College",7,13,3,"No",6,2,3,5,9,10,10
"Male","No","big_city","Black","Christian",7,24,2.5,5,0,1,2,"16","High_School",7,2,5,"No",3,5,8,10,6,0,0
"Female","No","big_city","Black","Christian",1,17,3,2,1,0,1,"14","College",3,0,2,"No",0,5,4,0,8,0,0
