"gender","genderID","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","socialMedia","texts","goodOrWell","parentRelationship","workHr","tuition","career"
"Female","Female","No","Big City","Hispanic","Christian",5,22,3.5,10,5,2,1,"13","college",7,"5",3,3,10,0,100,"Some Idea"
"Female","Female","Yes","Medium City","White","Christian",1,27,3.5,6,9,1,1,"16","college",3,"5",3,4,6,0,90,"Grad School"
"Male","Male","Yes","Big City Subrub","White","Jewish",6,31,3.7,30,45,36,1,"15","college",2,"1",8,7,10,0,90,"No Idea"
"Male","Male","No","Big City","Hispanic","Other Religion",4,23,3.5,0,0,1,0,"still waiting","middle school",4,"5",3,5,9,10,10,"Some Idea"
"Female","Female","No","Big City","Asian","Christian",3,32,4,1,1,0,3,"14","lower grades",16,"6",5,5,5,5,70,"No Idea"
"Male","Male","Yes","Big City Subrub","White","Christian",1,24,3.4,18,30,6,1,"15","college",0,"0",13,10,10,0,100,"No Idea"
"Male","Male","No","Big City","Black","Christian",6,27,3.7,10,10,5,1,"15","middle school",4,"5",7,3,8,15,10,"Concrete plan"
"Male","Male","Yes","Big City Subrub","Asian","Hindu",5,29,3.4,10,9,0,0,"16","college",4,"4",5,8,8,0,90,"Nervous"
"Female","Female","No","Big City Subrub","White","Christian",5,21,3.6,16,12,2,3,"15","college",1,"2",8,5,10,0,100,"Nervous"
"Male","Male","No","Big City Subrub","White","Christian",5,33,2.9,0,0,1,2,"15","college",3,"2",6,7,8,0,90,"Nervous"
"Female","Female","Yes","Big City Subrub","Other","Christian",6,28,3.3,30,30,7,1,"13","college",2,"4",10,5,8,0,100,"Grad School"
"Male","Male","Yes","Big City Subrub","White","Christian",3,27,3.2,15,40,3,1,"13","high school",0,"0",1,8,8,0,100,"Nervous"
"Female","Female","No","Big City Subrub","Black","Christian",5,25,3.4,0,0,2,1,"19","lower grades",50,"2",2,5,10,15,100,"Concrete plan"
"Male","Male","No","Big City Subrub","White","Christian",3,16,2,24,40,2,1,"17","college",1,"2",7,2,8,0,20,"Nervous"
"Male","Male","No","Big City Subrub","Asian","Christian",3,29,2,5,6,0,0,"17","college",2,"2",3,7,8,0,100,"Nervous"
"Female","Female","No","Big City","White","Christian",3,28,4,0,0,1,1,"17","middle school",50,"0",3,0,10,0,100,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Christian",3,28,3.4,10,18,6,1,"14","college",7,"4",5,4,10,0,80,"Grad School"
"Female","Female","No","Big City Subrub","Asian","Atheist",0,29,3.8,10,0,0,0,"18","college",2,"8",3,1,3,0,100,"Some Idea"
"Male","Male","No","Small Town","White","Christian",8,24,2.6,0,0,4,5,"14","high school",6,"2",3,0,10,0,0,"Concrete plan"
"Female","Female","No","Big City","Asian","Atheist",0,25,3.6,1,0,0,0,"18","lower grades",1,"7",4,5,10,0,100,"Grad School"
"Male","Male","No","Medium City","White","Atheist",0,29,3.1,0,3,1,1,"18","college",2,"3",0,6,7,10,100,"Concrete plan"
"Female","Female","No","Big City Subrub","White","Agnostic",3,27,3.3,5,2,7,2,"14","kindergarten",1,"2",3,8,7,15,20,"Nervous"
"Male","Male","Yes","Big City Subrub","White","Other Religion",3,24,3.3,6,10,1,1,"14","middle school",2,"1",3,5,8,45,100,"Nervous"
"Male","Male","No","Big City","Hispanic","Christian",5,26,2,5,6,5,2,"16","college",1,"1",2,3,9,0,50,"No Idea"
"Female","Female","No","Big City","Asian","Atheist",0,31,3.6,1,0,2,3,"16","lower grades",4,"2",3,6,9,0,100,"Some Idea"
"Female","Female","Yes","Big City Subrub","Hispanic","Christian",6,29,3.4,3,5,5,3,"14","college",1,"2",7,5,10,5,30,"Grad School"
"Male","Male","No","Small Town","Hispanic","Other Religion",1,22,3.2,1,1,0,0,"still waiting","college",0,"10 or more",3,3,8,10,0,"No Idea"
"Male","Male","No","Big City Subrub","White","Jewish",1,29,3.8,15,50,3,0,"8","college",1,"0",5,3,3,0,100,"Concrete plan"
"Male","Male","No","Big City Subrub","Asian","Christian",10,32,3,0,0,0,0,"still waiting","middle school",1,"2",4,7,9,0,10,"Nervous"
"Female","Female","No","Big City Subrub","Asian","Christian",3,19,3.9,2,0,2,2,"19","college",4,"1",2,10,7,0,100,"Nervous"
"Female","Female","No","Big City","Hispanic","Agnostic",1,20,2.9,10,5,2,2,"18","college",4,"5",3,4,9,0,40,"Some Idea"
"Female","Female","No","Small Town","Asian","Hindu",7,29,3.5,0,0,0,0,"still waiting","kindergarten",4,"2",4,5,7,0,80,"Nervous"
"Female","Female","No","Big City Subrub","White","Agnostic",0,29,3.9,0,0,1,1,"16","college",2,"5",8,0,9,0,100,"Nervous"
"Male","Male","No","Small Town","White","Atheist",0,28,3.6,1,0,6,0,"still waiting","college",2,"1",2,5,8,0,100,"Some Idea"
"Male","Male","No","Big City","Hispanic","Christian",9,25,3.6,7,8,1,6,"14","kindergarten",15,"1",4,2,9,10,100,"Nervous"
"Female","Female","No","Big City","Hispanic","Christian",7,25,3.2,10,20,15,1,"13","college",7,"5",5,3,10,0,80,"Nervous"
"Male","Male","No","Medium City","White","Agnostic",0,27,2.8,5,20,19,1,"16","college",1,"3",0,9,5,0,0,"Grad School"
"Female","Female","No","Big City Subrub","White","Christian",5,25,3.4,13,12,11,1,"15","college",10,"3",8,5,10,10,10,"Concrete plan"
"Male","Male","No","Medium City","White","Christian",4,26,3.5,15,24,3,2,"16","college",2,"1",5,8,9,20,70,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Jewish",2,31,3.9,4,4,0,0,"18","kindergarten",6,"4",6,5,9,0,100,"Nervous"
"Female","Female","No","Big City","Hispanic","Christian",5,26,3.4,2,1,1,1,"13","kindergarten",3,"1",3,7,8,0,40,"Grad School"
"Female","Female","No","Big City","Other","Other Religion",4,21,3.4,48,25,1,3,"14","high school",6,"6",5,10,7,0,100,"Concrete plan"
"Female","Female","No","Big City","White","Christian",4,29,4,5,5,0,0,"18","high school",7,"5",6,6,10,0,50,"Some Idea"
"Female","Female","No","Big City","Hispanic","Christian",4,22,2.8,15,12,0,2,"15","college",7,"4",4,0,8,0,80,"Concrete plan"
"Female","Female","Yes","Medium City","White","Christian",8,27,3,12,10,2,0,"13","high school",7,"2",14,7,9,0,100,"Nervous"
"Female","Female","No","Big City","Asian","Christian",8,22,1.6,2,0,1,1,"15","college",3,"3",5,10,10,10,0,"Nervous"
"Male","Male","No","Medium City","Asian","Atheist",3,30,3.9,2,0,1,1,"17","high school",3,"2",7,7,8,0,100,"Some Idea"
"Male","Male","Yes","Big City Subrub","White","Jewish",1,29,3.2,4,0,0,1,"13","high school",7,"2",5,0,10,0,100,"Grad School"
"Female","Female","No","Big City Subrub","Black","Christian",5,20,1,6,1,5,3,"14","high school",5,"7",5,10,8,15,0,"Concrete plan"
"Male","Male","No","Medium City","White","Atheist",0,27,3.4,15,25,1,1,"15","high school",3,"3",4,5,10,10,50,"Grad School"
"Male","Male","No","Big City Subrub","White","Agnostic",0,32,2.5,10,7,2,2,"14","college",1,"2",5,7,9,0,0,"No Idea"
"Male","Male","No","Big City","Asian","Atheist",0,26,3.8,0,0,8,0,"13","middle school",3,"1",5,0,10,0,100,"Nervous"
"Male","Male","Yes","Big City","White","Jewish",3,28,3.8,4,4,1,1,"20","college",2,"2",4,5,10,10,100,"Some Idea"
"Male","Male","No","Big City","Asian","Atheist",1,31,3.5,1,0,0,0,"still waiting","college",3,"2",10,8,10,0,90,"Nervous"
"Male","Male","No","Big City Subrub","Other","Christian",7,31,3.2,9,20,1,4,"13","college",3,"3",6,6,6,20,90,"Nervous"
"Female","Female","No","Big City","Asian","Agnostic",0,31,3.8,0,0,1,1,"still waiting","kindergarten",5,"5",0,5,10,0,20,"Some Idea"
"Female","Female","Yes","Big City Subrub","White","Christian",6,25,3.4,2,15,1,1,"14","high school",6,"4",9,0,10,5,70,"Nervous"
"Male","Male","No","Big City","Black","Christian",1,19,1.9,8,2,24,1,"12","college",3,"0",0,5,9,0,10,"No Idea"
"Male","Male","No","Big City Subrub","White","Other Religion",7,31,3,2,1,5,3,"13","kindergarten",4,"1",6,0,10,0,90,"Some Idea"
"Female","Female","No","Medium City","Asian","Agnostic",0,31,3.3,10,11,0,1,"15","college",0,"2",4,8,8,0,100,"Some Idea"
"Male","Male","No","Big City","Asian","Muslim",7,26,4,3,0,0,1,"19","high school",4,"3",3,2,8,0,0,"Grad School"
"Female","Female","No","Big City Subrub","Asian","Agnostic",3,33,2.9,2,5,0,0,"19","college",0,"4",9,7,3,0,70,"Nervous"
"Male","Male","No","Big City","Black","Christian",5,29,2.7,2,0,2,0,"18","college",14,"7",3,6,7,0,0,"Nervous"
"Male","Male","No","Medium City","Asian","Atheist",0,31,4,1,0,0,0,"still waiting","middle school",1,"3",2,10,8,0,10,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Christian",1,28,3.4,6,6,2,2,"16","college",14,"1",3,5,10,10,100,"Nervous"
"Male","Male","Yes","Big City Subrub","White","Christian",0,28,3.7,3,0,0,0,"18","high school",8,"2",10,3,8,0,10,"No Idea"
"Male","Male","Yes","Big City","Black","Other Religion",5,26,2.5,0,0,50,3,"6","college",28,"1",14,0,10,20,60,"Nervous"
"Female","Female","No","Big City Subrub","Asian","Christian",7,22,2.7,4,3,1,1,"18","college",2,"2",4,10,9,5,100,"Grad School"
"Male","Male","No","Small Town","Other","Other Religion",5,31,3.4,0,0,12,3,"5","high school",1,"3",7,5,8,0,0,"Other"
"Female","Female","No","Big City","Black","Christian",8,26,2.7,3,1,1,1,"15","high school",2,"6",5,5,10,15,100,"Nervous"
"Female","Female","No","Medium City","White","Agnostic",0,27,4,15,15,3,1,"10","college",2,"2",5,3,5,0,90,"Grad School"
"Female","Female","Yes","Big City Subrub","White","Christian",8,31,3.8,10,10,1,1,"17","college",3,"3",10,5,9,5,100,"Grad School"
"Female","Female","Yes","Big City Subrub","White","Christian",4,31,4,5,10,0,1,"18","high school",2,"1",12,2,9,0,80,"Grad School"
"Male","Male","No","Big City Subrub","White","Christian",6,24,3.3,4,3,0,1,"16","college",6,"2",6,7,9,0,50,"Concrete plan"
"Female","Female","No","Big City Subrub","Asian","Hindu",7,31,2.4,4,1,3,2,"13","lower grades",4,"2",15,5,7,0,100,"Grad School"
"Male","Male","Yes","Big City Subrub","White","Christian",1,32,2.4,24,50,0,0,"still waiting","college",2,"4",10,8,8,0,50,"Nervous"
"Male","Male","No","Big City","Asian","Christian",1,33,4,0,0,2,0,"3","college",1,"1",1,1,8,0,100,"Grad School"
"Female","Female","No","Big City","Black","Christian",5,21,2,0,0,1,1,"15","college",1,"2",3,8,5,0,0,"Nervous"
"Male","Male","No","Big City Subrub","Other","Christian",5,24,2.7,1,7,1,2,"14","high school",1,"5",4,7,10,0,70,"Nervous"
"Female","Female","No","Medium City","Black","Christian",7,19,2.5,10,3,2,0,"12","kindergarten",2,"4",0,10,5,10,20,"Other"
"Female","Female","No","Big City Subrub","White","Agnostic",2,25,3.5,12,8,0,0,"14","college",1,"2",6,0,9,0,100,"Nervous"
"Female","Female","No","Medium City","Black","Christian",0,22,3.4,3,0,0,1,"16","college",1,"1",3,5,9,0,0,"Other"
"Male","Male","Yes","Big City Subrub","White","Christian",6,31,3,14,30,3,3,"9","college",2,"3",20,2,10,10,80,"Nervous"
"Male","Male","No","Big City","Asian","Atheist",0,27,3.6,1,0,0,0,"19","high school",2,"4",0,7,7,0,100,"No Idea"
"Male","Male","No","Big City","Asian","Agnostic",1,25,2.6,0,0,1,1,"18","college",2,"2",4,5,9,5,90,"Some Idea"
"Female","Female","Yes","Medium City","White","Christian",1,29,3.7,10,15,0,0,"15","college",1,"5",30,0,9,0,100,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Jewish",6,27,3.7,12,25,4,1,"16","college",5,"4",8,4,9,0,100,"Concrete plan"
"Male","Male","No","Big City","Black","Christian",8,23,2.9,6,3,26,6,"8","middle school",5,"1",4,10,7,0,0,"Nervous"
"Male","Male","No","Big City","Asian","Agnostic",4,25,3.3,0,0,0,0,"still waiting","high school",15,"5",1,5,8,0,80,"No Idea"
"Female","Female","Yes","Big City Subrub","White","Christian",6,31,3.5,15,10,0,2,"15","high school",8,"3",8,5,8,5,100,"Grad School"
"Female","Female","No","Big City Subrub","Asian","Hindu",6,28,3.7,6,2,0,0,"still waiting","lower grades",5,"10 or more",4,5,9,0,100,"Grad School"
"Female","Female","No","Big City","White","Christian",0,31,3.5,7,6,0,0,"18","college",10,"3",15,8,9,15,40,"Some Idea"
"Female","Female","No","Medium City","Asian","Christian",7,31,3.9,0,0,0,1,"19","college",2,"5",4,5,9,0,60,"Nervous"
"Male","Male","Yes","Big City Subrub","Other","Christian",7,28,1.9,6,7,4,2,"15","college",2,"7",20,5,9,0,10,"Nervous"
"Male","Male","No","Small Town","White","Other Religion",2,26,2.5,0,0,0,0,"still waiting","high school",2,"2",3,5,6,35,70,"Concrete plan"
"Female","Female","Yes","Small Town","White","Christian",4,29,3.7,13,13,3,3,"14","high school",1,"10 or more",1,7,5,0,100,"Nervous"
"Male","Male","No","Big City Subrub","White","Jewish",3,27,3.6,3,0,1,1,"14","lower grades",4,"4",3,2,8,0,0,"Grad School"
"Female","Female","No","Big City","Asian","Other Religion",5,30,3.7,0,0,0,1,"still waiting","college",2,"1",4,5,7,0,100,"Nervous"
"Male","Male","Yes","Big City Subrub","White","Agnostic",2,30,2.5,12,24,3,0,"19","college",1,"1",4,8,8,10,50,"Nervous"
"Male","Male","Yes","Big City Subrub","White","Christian",2,25,3,0,0,8,3,"13","college",0,"2",2,9,10,0,0,"Nervous"
"Male","Male","No","Big City","Black","Christian",7,19,2.5,6,2,3,1,"17","college",5,"5",5,5,10,0,0,"Nervous"
"Male","Male","No","Big City Subrub","White","Christian",5,26,3.4,7,21,4,1,"16","college",2,"1",3,10,8,0,20,"Nervous"
"Male","Male","Yes","Small Town","White","Atheist",0,28,3.3,8,21,1,2,"15","kindergarten",1,"4",4,8,8,0,80,"Nervous"
"Female","Female","No","Big City","Asian","Atheist",2,33,3.9,3,0,0,0,"still waiting","kindergarten",3,"3",8,8,7,0,100,"Nervous"
"Female","Female","No","Small Town","Black","Christian",5,27,3.5,3,0,2,0,"3","kindergarten",1,"5",3,9,8,0,40,"Nervous"
"Male","Male","No","Big City","Asian","Hindu",8,33,3.5,5,2,0,0,"still waiting","middle school",7,"1",15,2,7,0,100,"Grad School"
"Female","Female","Yes","Big City Subrub","White","Christian",8,24,3.7,3,2,0,0,"19","college",7,"3",6,5,10,0,70,"Grad School"
"Male","Male","No","Big City Subrub","Black","Christian",5,22,2.8,6,2,5,1,"16","high school",3,"3",4,5,9,0,60,"No Idea"
"Male","Male","No","Medium City","White","Agnostic",5,31,2.8,2,0,3,5,"15","college",0,"5",7,5,9,10,100,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Christian",8,30,3.9,6,12,0,0,"14","high school",1,"3",5,8,10,0,10,"Nervous"
"Female","Female","Yes","Medium City","Black","Atheist",0,26,3.3,11,14,5,2,"15","college",1,"4",3,8,5,0,90,"Nervous"
"Female","Female","No","Big City Subrub","White","Christian",4,22,2,4,3,5,2,"15","college",4,"8",4,7,4,0,40,"Nervous"
"Female","Female","No","Medium City","Asian","Muslim",7,20,3.5,0,0,0,0,"still waiting","high school",1,"5",3,5,10,0,0,"Nervous"
"Male","Male","No","Small Town","White","Christian",3,29,3.6,4,12,6,2,"12","high school",1,"1",10,7,9,0,0,"Grad School"
"Female","Other","No","Medium City","Asian","Atheist",0,31,3.8,0,0,0,1,"still waiting","high school",1,"8",2,6,8,5,100,"Nervous"
"Male","Male","Yes","Small Town","White","Agnostic",0,33,2.3,1,1,37,5,"15","college",2,"1",1,5,10,0,10,"No Idea"
"Female","Female","No","Big City","Hispanic","Christian",7,24,2.5,8,0,4,4,"15","college",1,"5",3,7,9,0,10,"Some Idea"
"Female","Female","Yes","Big City Subrub","White","Christian",7,28,3.4,5,6,0,2,"14","high school",7,"1",10,6,7,0,0,"Nervous"
"Female","Female","No","Small Town","White","Other Religion",4,24,3.8,4,3,1,1,"17","high school",2,"2",3,5,9,0,100,"Nervous"
"Male","Male","No","Big City Subrub","White","Christian",6,30,2.8,10,10,30,6,"14","high school",3,"3",15,5,7,0,40,"No Idea"
"Male","Male","Yes","Medium City","White","Jewish",5,28,3.5,20,50,9,1,"13","college",2,"1",3,9,10,0,90,"No Idea"
"Female","Female","No","Big City","Asian","Christian",2,25,3.5,0,0,0,0,"still waiting","kindergarten",15,"4",7,5,10,10,100,"No Idea"
"Female","Female","No","Big City","Hispanic","Other Religion",7,27,2.5,15,5,4,1,"16","college",2,"2",4,6,4,10,10,"Nervous"
"Male","Male","No","Big City","Asian","Atheist",0,29,3.5,0,1,3,3,"16","college",1,"3",11,7,7,0,100,"Nervous"
"Female","Female","Yes","Big City","Asian","Christian",8,24,3.5,0,0,0,1,"18","college",1,"4",5,1,9,0,50,"Nervous"
"Male","Male","Yes","Big City","Hispanic","Other Religion",6,20,1.2,9,9,3,4,"9","high school",3,"3",3,8,10,10,0,"Nervous"
"Female","Female","No","Big City","Asian","Christian",3,26,3.4,0,1,4,2,"13","middle school",1,"3",2,5,3,0,100,"Some Idea"
"Female","Female","No","Small Town","White","Agnostic",0,29,3.7,1,0,3,2,"14","high school",1,"4",5,8,9,0,100,"Nervous"
"Female","Female","No","Big City Subrub","Hispanic","Other Religion",10,24,3.2,0,0,1,1,"16","high school",7,"3",3,0,10,0,50,"Grad School"
"Male","Male","Yes","Small Town","White","Christian",6,23,3.8,12,30,2,1,"13","college",1,"2",2,8,10,0,90,"No Idea"
"Female","Female","No","Medium City","White","Christian",5,30,3.9,5,0,0,0,"still waiting","college",7,"2",10,7,9,0,50,"Concrete plan"
"Female","Female","Yes","Big City Subrub","White","Agnostic",1,27,3.4,9,12,0,0,"still waiting","college",0,"5",8,8,8,10,60,"No Idea"
"Female","Female","Yes","Big City Subrub","White","Christian",5,34,3.9,0,7,7,0,"15","high school",4,"5",8,7,10,0,100,"Grad School"
"Female","Female","Yes","Big City Subrub","White","Christian",6,27,1.8,6,12,6,3,"16","high school",3,"3",12,5,8,0,30,"Nervous"
"Female","Female","No","Big City","Asian","Atheist",0,29,3.6,8,0,1,1,"16","high school",1,"8",3,5,5,0,50,"Some Idea"
"Female","Female","No","Big City","Other","Christian",5,19,3.3,3,0,0,0,"still waiting","college",2,"1",6,0,9,5,90,"Grad School"
"Male","Male","No","Medium City","Asian","Other Religion",8,32,3.5,0,0,0,1,"still waiting","college",1,"2",1,0,7,10,100,"Concrete plan"
"Female","Female","No","Big City Subrub","White","Christian",8,27,3.6,6,6,0,1,"15","college",2,"3",4,3,10,0,0,"No Idea"
"Female","Female","No","Big City Subrub","White","Atheist",0,26,3.4,4,0,0,1,"16","high school",3,"2",7,5,10,0,100,"Concrete plan"
"Male","Male","No","Big City Subrub","Hispanic","Christian",5,20,2.5,0,0,0,0,"still waiting","high school",3,"7",6,10,10,0,0,"No Idea"
"Female","Female","No","Big City Subrub","Black","Christian",5,23,2.9,6,4,3,3,"15","high school",3,"1",11,5,9,10,90,"Some Idea"
"Female","Female","No","Big City Subrub","White","Christian",7,21,3.8,0,0,0,0,"still waiting","high school",5,"3",3,5,10,0,20,"No Idea"
"Male","Male","No","Small Town","White","Agnostic",2,28,2.7,4,4,1,2,"17","high school",1,"4",2,4,2,0,50,"Grad School"
"Female","Female","No","Big City","Asian","Christian",5,31,4,0,0,0,0,"3","high school",1,"1",5,5,5,0,100,"Concrete plan"
"Female","Female","No","Big City","Asian","Buddhist",2,27,3.5,0,0,0,0,"still waiting","high school",10,"5",6,5,10,0,0,"Nervous"
"Male","Male","No","Medium City","Asian","Christian",2,25,2.6,0,0,0,1,"12","college",1,"10 or more",2,10,10,10,100,"Some Idea"
"Female","Female","No","Medium City","Asian","Christian",8,28,3.8,0,0,0,0,"still waiting","high school",3,"2",3,3,9,5,0,"Some Idea"
"Female","Female","Yes","Small Town","White","Christian",5,23,2.9,8,15,4,1,"16","college",1,"3",2,7,10,10,80,"Grad School"
"Male","Male","No","Small Town","Asian","Christian",8,25,2.9,0,0,0,0,"still waiting","college",3,"2",3,2,8,0,100,"Nervous"
"Female","Female","No","Big City","Hispanic","Agnostic",3,24,2.8,10,5,1,1,"13","high school",2,"5",3,3,8,35,0,"Grad School"
"Male","Male","No","Medium City","White","Atheist",0,31,3.7,8,0,8,2,"16","high school",0,"1",5,5,7,0,100,"Some Idea"
"Female","Female","Yes","Medium City","White","Christian",8,27,3.1,6,8,0,2,"17","college",6,"2",12,0,10,0,100,"Grad School"
"Female","Female","Yes","Big City Subrub","White","Christian",1,30,3.8,12,25,10,2,"15","college",5,"2",8,5,9,0,90,"Nervous"
"Female","Female","No","Big City","Asian","Other Religion",5,31,3.8,5,0,3,3,"15","college",5,"4",7,5,6,10,100,"Nervous"
"Female","Female","No","Big City Subrub","Asian","Christian",7,29,3.7,6,4,0,0,"still waiting","kindergarten",7,"6",4,5,9,0,100,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Jewish",6,30,4,6,8,1,2,"14","college",2,"4",10,7,8,0,70,"Nervous"
"Male","Male","No","Big City","Asian","Atheist",0,32,3.6,1,0,2,3,"13","middle school",15,"1",10,10,9,0,100,"Concrete plan"
"Male","Male","No","Big City Subrub","White","Jewish",4,26,3.9,10,10,9,1,"15","college",14,"2",10,8,8,0,0,"Concrete plan"
"Female","Female","No","Small Town","White","Other Religion",7,22,3.3,0,0,0,1,"18","high school",1,"3",3,4,8,5,50,"Concrete plan"
"Male","Male","No","Medium City","Asian","Christian",8,35,3.9,9,12,3,2,"15","college",4,"2",5,9,7,0,100,"Concrete plan"
"Female","Female","No","Big City Subrub","Asian","Hindu",7,27,4,5,4,1,1,"15","high school",12,"1",3,6,9,10,100,"Nervous"
"Female","Female","No","Big City Subrub","White","Christian",7,29,3.6,0,0,0,0,"15","college",4,"3",3,4,8,0,100,"Grad School"
"Male","Male","No","Small Town","White","Agnostic",1,27,2.1,6,5,0,0,"21","college",0,"2",2,7,7,0,80,"Nervous"
"Male","Male","No","Big City Subrub","White","Christian",7,29,3.9,1,0,0,1,"15","middle school",10,"1",3,7,8,0,30,"Some Idea"
"Female","Female","No","Big City","Black","Christian",7,19,2.3,6,6,3,1,"14","college",7,"1",3,0,9,0,100,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Christian",4,24,3.7,6,0,0,0,"15","college",16,"4",5,8,10,0,90,"Nervous"
"Female","Female","No","Medium City","Black","Christian",7,26,3.6,14,4,1,2,"15","high school",7,"6",4,8,3,0,10,"No Idea"
"Male","Male","No","Small Town","White","Christian",2,23,3.6,7,7,3,1,"18","middle school",2,"4",9,9,9,15,90,"Some Idea"
"Female","Female","Yes","Big City Subrub","White","Christian",2,24,3.6,10,10,1,1,"15","college",5,"2",2,6,8,0,100,"No Idea"
"Male","Male","Yes","Big City","Hispanic","Christian",6,24,2.7,5,15,5,1,"15","high school",5,"5",5,5,9,0,0,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Christian",6,26,3.6,20,20,5,1,"14","college",5,"10 or more",5,5,9,0,90,"Nervous"
"Female","Female","Yes","Medium City","White","Christian",5,27,3.5,8,20,1,1,"17","high school",5,"4",3,5,10,0,90,"Some Idea"
"Female","Female","No","Big City","Asian","Agnostic",0,29,3.5,0,0,1,1,"15","kindergarten",5,"2",4,4,10,0,100,"Grad School"
"Female","Female","No","Small Town","Asian","Christian",10,30,3.2,7,3,1,1,"20","college",6,"3",10,9,5,0,0,"Nervous"
"Male","Male","No","Big City","Black","Agnostic",0,25,2,14,3,2,1,"12","college",1,"6",5,5,9,0,20,"No Idea"
"Male","Male","No","Big City Subrub","Asian","Atheist",0,29,3.6,0,0,0,0,"5","high school",1,"1",5,10,10,0,100,"No Idea"
"Female","Female","No","Big City Subrub","White","Other Religion",4,27,4,11,0,7,0,"15","college",0,"0",7,5,5,0,10,"Grad School"
"Female","Female","No","Medium City","White","Christian",3,25,2.3,10,10,0,0,"18","college",1,"4",16,8,2,0,30,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Christian",7,23,3.8,28,15,2,1,"14","college",5,"10 or more",4,6,9,0,100,"Some Idea"
"Female","Female","No","Medium City","White","Christian",8,22,3.4,0,0,0,0,"still waiting","kindergarten",2,"3",2,5,9,0,0,"Nervous"
"Female","Female","No","Big City","Black","Christian",6,18,3.1,3,0,2,1,"16","college",3,"2",9,5,10,0,10,"Concrete plan"
"Female","Female","No","Big City Subrub","White","Christian",4,33,4,6,2,0,1,"17","college",1,"2",2,4,8,0,100,"Nervous"
"Male","Male","No","Medium City","White","Christian",3,28,3.8,10,6,1,0,"16","high school",2,"3",5,3,8,0,10,"Some Idea"
"Male","Male","No","Medium City","Asian","Agnostic",4,30,3.5,5,2,0,3,"16","high school",1,"3",10,10,7,0,100,"Nervous"
"Female","Female","Yes","Big City Subrub","White","Christian",7,26,2.9,25,50,1,0,"12","high school",6,"10 or more",10,4,10,0,100,"No Idea"
"Female","Female","Yes","Big City Subrub","Asian","Agnostic",0,29,3.4,1,0,1,1,"18","high school",2,"4",5,5,5,0,100,"Some Idea"
