"gender","genderID","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","callParents","socialMedia","texts","goodOrWell","expectedIncome","indepVsRespect","curiosityVsManners","selfRelianceVsObedience","considerateVsWellBehaved","primary","president","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career","section"
"Male","Male","Yes","Big City Subrub","White","Jewish",5,31,3.6,12,20,5,2,"12","college",3,"3",6,5,600,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Independent",4,8,0,90,6,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,25,3.5,7,5,1,3,"16","college",5,"10 or more",6,7,60,"independence","good manners","obedience","being considerate","John Kacich","Unsure",8,"Republican",3,8,0,100,9,"L1"
"Female","Female","No","Medium City","White","Agnostic",2,24,3.7,12,12,2,1,"15","high school",5,"6",3,5,100,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",6,8,35,0,1,"L1"
"Male","Male","No","Big City Subrub","Hispanic","Christian",5,29,3.2,8,8,1,1,"17","college",9,"2",5,5,200,"respect for their elders","curiosity","obedience","being considerate","Bernie Sanders","Hillary Clinton",1,"Democratic",5,10,0,20,7,"L1"
"Male","Male","Yes","Big City Subrub","White","Christian",4,28,2.7,8,12,2,2,"13","college",1,"3",6,5,80,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Democratic",5,8,0,80,7,"L1"
"Female","Female","No","Big City Subrub","White","Religious but not one of the above",7,24,3,5,3,0,0,"17","middle school",7,"4",6,3,80,"respect for their elders","good manners","self-reliance","being considerate","Marco Rubio","Gary Johnson",8,"Republican",6,10,0,90,0,"L1"
"Female","Female","No","Big City Subrub","White","Agnostic",1,23,3.6,9,8,3,2,"7","high school",2,"10 or more",4,0,50,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",0,"Democratic",5,10,0,100,5,"L1"
"Female","Female","No","Big City","Asian","Agnostic",0,31,3.4,0,0,0,0,"20","high school",3,"3",3,8,200,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",0,"Republican",5,7,0,100,6,"L1"
"Female","Female","No","Big City","Black","Religious but not one of the above",8,18,2.5,6,6,7,4,"7","high school",3,"5",7,10,50,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",5,"Democratic",4,10,20,80,10,"L1"
"Male","Male","Yes","Big City","Hispanic","Christian",5,26,3.7,10,45,5,1,"14","high school",4,"2",10,7,150,"respect for their elders","curiosity","obedience","being considerate","Bernie Sanders","Unsure",3,"Democratic",5,8,0,10,2,"L1"
"Female","Female","No","Big City","Other","Christian",2,23,3.6,2,0,3,0,"10","middle school",10,"5",6,4,50,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",6,"Democratic",8,3,0,0,8,"L1"
"Female","Female","No","Medium City","Asian","Christian",5,28,3.9,10,3,2,1,"16","college",4,"2",7,0,30,"respect for their elders","good manners","obedience","being considerate","Unsure","Unsure",5,"Democratic",5,5,10,50,5,"L1"
"Male","Male","No","Medium City","White","Agnostic",0,31,4,0,0,0,0,"still waiting","high school",1,"4",2,8,45,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",0,"Democratic",3,9,0,100,3,"L1"
"Female","Female","No","Small Town","Asian","Christian",8,27,4,20,20,3,1,"16","college",2,"4",7,5,80,"respect for their elders","good manners","obedience","being considerate","Ted Cruz","Unsure",5,"Democratic",5,9,0,100,8,"L1"
"Female","Female","No","Medium City","Asian","Hindu",7,28,3,5,2,0,1,"16","high school",2,"1",2,5,50,"respect for their elders","curiosity","obedience","being considerate","Bernie Sanders","Unsure",2,"Other",8,8,0,100,6,"L1"
"Female","Female","No","Big City Subrub","White","Christian",5,27,3.7,2,5,1,1,"15","high school",7,"3",7,8,500,"independence","good manners","obedience","being considerate","Unsure","Unsure",5,"Republican",4,9,0,90,3,"L1"
"Female","Female","No","Big City","Asian","Atheist",3,32,3.8,4,4,0,0,"still waiting","high school",2,"4",7,4,500,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",4,7,0,60,9,"L1"
"Male","Male","No","Medium City","White","Christian",1,26,3.2,5,10,0,0,"13","college",7,"1",20,8,500,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Donald Trump",5,"Republican",1,10,0,50,5,"L1"
"Female","Female","No","Medium City","Hispanic","Christian",8,26,4,6,0,0,0,"18","high school",4,"1",4,5,70,"independence","good manners","obedience","being considerate","Donald Trump","Donald Trump",5,"Republican",3,8,0,100,5,"L1"
"Female","Female","No","Small Town","White","Christian",7,32,3.7,4,2,1,2,"15","college",1,"1",3,7,90,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",0,"Democratic",2,3,15,60,7,"L1"
"Male","Male","Yes","Big City Subrub","Asian","Christian",3,28,3.7,16,11,5,3,"15","high school",3,"1",8,5,500,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Unsure",5,"Other",5,10,0,100,10,"L1"
"Female","Female","No","Big City","Hispanic","Christian",4,27,3.1,10,12,4,1,"11","college",4,"10 or more",6,0,75,"independence","good manners","obedience","well-behaved","Unsure","Unsure",0,"Other",5,10,0,0,10,"L1"
"Male","Male","No","Big City","Black","Christian",3,25,2.7,15,25,2,0,"13","college",0,"5",5,5,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",3,0,0,0,5,"L1"
"Female","Female","No","Big City","Hispanic","Christian",2,27,3.1,4,4,2,0,"16","college",1,"2",5,6,200,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Donald Trump",5,"Republican",3,5,0,100,2,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",8,24,4,10,6,2,2,"15","college",3,"3",3,0,300,"respect for their elders","good manners","obedience","well-behaved","Donald Trump","Donald Trump",10,"Republican",6,10,5,100,8,"L1"
"Female","Female","Yes","Medium City","White","Christian",7,28,3.2,10,15,0,0,"17","college",2,"3",5,6,100,"respect for their elders","good manners","obedience","being considerate","Donald Trump","Donald Trump",9,"Republican",2,6,5,70,6,"L1"
"Female","Female","No","Medium City","White","Christian",9,19,3.2,2,0,1,1,"16","high school",4,"3",2,2,40,"respect for their elders","good manners","self-reliance","being considerate","Ted Cruz","Donald Trump",8,"Democratic",5,7,0,30,5,"L1"
"Female","Female","No","Big City Subrub","White","Christian",2,29,4,10,6,0,1,"17","high school",3,"2",16,6,90,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",3,"Democratic",6,7,0,70,4,"L1"
"Female","Female","No","Big City Subrub","White","Agnostic",0,25,3.3,2,0,0,0,"still waiting","high school",2,"6",3,0,90,"independence","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",0,"Democratic",5,9,0,10,9,"L1"
"Male","Male","Yes","Big City Subrub","White","Jewish",6,27,3.5,6,25,6,0,"15","high school",2,"1",12,7,110,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",4,10,10,90,4,"L1"
"Female","Female","No","Big City Subrub","Hispanic","Religious but not one of the above",3,22,2.9,12,20,4,0,"15","college",4,"10 or more",3,0,45,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",4,"Democratic",5,5,20,50,3,"L1"
"Female","Female","No","Big City Subrub","Hispanic","Religious but not one of the above",2,24,3,0,0,2,1,"16","high school",7,"4",4,8,100,"respect for their elders","curiosity","obedience","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",4,0,5,40,6,"L1"
"Female","Female","No","Big City Subrub","White","Jewish",1,22,3.3,1,1,1,1,"17","lower grades",5,"5",3,7,70,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",5,"Democratic",5,7,0,100,10,"L1"
"Female","Female","No","Big City Subrub","White","Atheist",1,26,3.7,7,2,4,1,"14","college",5,"4",3,5,75,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",5,5,0,0,2,"L1"
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",5,26,3.8,0,0,1,1,"14","high school",5,"8",2,5,55,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",5,"Democratic",5,8,0,100,9,"L1"
"Female","Female","Yes","Small Town","White","Religious but not one of the above",2,28,3.5,5,9,2,1,"14","college",4,"2",5,2,80,"independence","curiosity","self-reliance","being considerate","Ben Carson","Gary Johnson",3,"Democratic",5,6,0,20,4,"L1"
"Female","Female","No","Big City Subrub","Hispanic","Christian",2,27,3.5,5,6,3,2,"16","lower grades",1,"5",3,6,30,"independence","curiosity","obedience","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",10,0,30,100,0,"L1"
"Male","Male","No","Big City","Asian","Atheist",0,31,4,6,10,2,3,"13","high school",11,"5",12,7,1000,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",7,10,0,100,8,"L1"
"Female","Female","No","Small Town","White","Christian",8,26,4,9,9,2,1,"14","college",4,"4",5,5,80,"independence","good manners","self-reliance","being considerate","Unsure","Hillary Clinton",4,"Democratic",5,10,10,100,7,"L1"
"Male","Male","No","Big City","Black","Christian",5,19,3.7,8,2,0,2,"15","middle school",50,"5",0,10,300,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Unsure",3,"Democratic",10,9,0,0,5,"L1"
"Male","Male","No","Big City","Black","Christian",10,24,3,5,0,14,2,"14","high school",2,"4",10,0,200,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",0,"Democratic",5,10,0,0,5,"L1"
"Female","Female","No","Big City Subrub","White","Christian",7,26,4,16,24,3,2,"14","college",3,"4",14,5,90,"independence","good manners","self-reliance","being considerate","Donald Trump","Donald Trump",5,"Republican",5,9,0,90,8,"L1"
"Female","Female","No","Big City Subrub","White","Christian",6,30,3.8,6,5,0,1,"13","high school",2,"5",6,3,50,"independence","good manners","self-reliance","well-behaved","Donald Trump","Donald Trump",9,"Republican",5,10,15,100,7,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",6,33,3.4,10,14,0,0,"16","high school",1,"3",5,10,80,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",3,"Democratic",1,9,0,100,6,"L1"
"Female","Female","No","Big City","Black","Christian",2,23,3.8,0,0,0,0,"12","high school",5,"7",5,3,124,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",5,5,0,10,5,"L1"
"Male","Male","No","Big City Subrub","Asian","Christian",7,29,3.7,0,0,0,0,"still waiting","high school",5,"2",3,8,80,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",5,"Democratic",7,7,0,40,6,"L1"
"Female","Female","No","Big City Subrub","White","Jewish",7,27,3.7,6,6,1,2,"14","high school",5,"2",7,4,80,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",3,"Democratic",5,10,0,80,7,"L1"
"Female","Female","Yes","Medium City","Black","Christian",7,24,3,2,0,2,1,"13","college",1,"6",3,5,90000,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",0,9,0,10,0,"L1"
"Female","Female","No","Big City Subrub","White","Muslim",1,29,1.7,2,0,2,1,"18","high school",4,"2",3,1,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",5,"Democratic",4,5,30,0,3,"L1"
"Male","Male","No","Big City Subrub","White","Atheist",0,29,3.7,6,1,0,0,"16","high school",1,"1",2,3,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",10,"Democratic",6,4,15,0,7,"L1"
"Female","Female","No","Small Town","Hispanic","Christian",7,23,3.8,5,0,0,1,"16","high school",2,"3",6,6,75,"respect for their elders","good manners","obedience","well-behaved","Donald Trump","Donald Trump",10,"Republican",2,9,0,100,5,"L1"
"Male","Male","No","Medium City","White","Christian",10,23,3.8,0,0,0,1,"18","college",20,"1",15,0,1000,"respect for their elders","curiosity","self-reliance","well-behaved","Donald Trump","Donald Trump",10,"Republican",10,10,10,0,8,"L1"
"Female","Female","No","Big City Subrub","White","Agnostic",0,27,3.5,0,0,8,2,"14","middle school",0,"10 or more",3,7,200,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Donald Trump",5,"Republican",2,1,0,100,5,"L1"
"Female","Female","Yes","Big City","White","Christian",6,29,3.4,3,20,15,0,"14","college",14,"3",24,5,80,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",1,"Democratic",6,10,20,100,9,"L1"
"Female","Female","No","Big City Subrub","White","Atheist",0,26,4,3,4,1,1,"15","lower grades",1,"3",4,10,30,"independence","good manners","self-reliance","well-behaved","Unsure","Unsure",2,"Democratic",5,8,0,0,5,"L1"
"Male","Male","No","Big City Subrub","White","Christian",6,24,3.9,5,0,6,2,"17","college",1,"3",10,2,500,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",4,"Democratic",9,10,0,80,6,"L1"
"Male","Male","No","Big City Subrub","Asian","Atheist",0,24,3.6,5,0,0,1,"18","lower grades",2,"2",7,6,120,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Unsure",2,"Democratic",7,7,0,20,7,"L1"
"Female","Female","No","Big City Subrub","Hispanic","Religious but not one of the above",7,19,3.4,0,0,0,0,"14","college",0,"4",4,5,60,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",1,0,10,0,10,"L1"
"Female","Female","No","Big City Subrub","White","Agnostic",2,27,3.3,11,10,1,1,"15","lower grades",4,"5",6,10,130,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",5,10,10,20,7,"L1"
"Female","Female","No","Big City Subrub","Other","Christian",3,25,4,0,0,0,0,"13","high school",5,"0",3,1,50,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",4,"Democratic",6,5,10,50,7,"L1"
"Female","Female","No","Big City","Black","Christian",10,23,3.2,2,0,0,1,"15","college",10,"6",3,10,500,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",6,"Democratic",9,8,0,10,7,"L1"
"Male","Male","No","Big City Subrub","Asian","Agnostic",0,27,3.5,0,0,0,0,"17","middle school",1,"0",3,10,120,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Unsure",5,"Other",5,6,0,40,5,"L1"
"Female","Female","No","Big City Subrub","Other","Christian",5,20,3.4,5,0,3,1,"12","middle school",4,"2",3,4,85,"respect for their elders","good manners","obedience","well-behaved","Bernie Sanders","Jill Stein",3,"Democratic",0,4,0,0,5,"L1"
"Male","Male","No","Big City Subrub","Other","Christian",4,20,3.8,6,2,2,2,"17","college",13,"1",6,6,85,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Democratic",6,8,15,10,5,"L1"
"Female","Female","No","Medium City","Hispanic","Atheist",0,28,3.8,15,15,0,0,"18","college",3,"2",10,4,150,"independence","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",1,"Democratic",6,8,10,100,5,"L1"
"Female","Female","No","Big City Subrub","Hispanic","Christian",5,24,4,9,3,0,1,"14","high school",18,"10 or more",4,7,75,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Hillary Clinton",9,"Democratic",6,8,0,100,8,"L1"
"Female","Female","No","Big City Subrub","White","Christian",0,25,3.7,11,14,1,1,"16","lower grades",2,"2",3,4,80,"respect for their elders","good manners","self-reliance","being considerate","Donald Trump","Donald Trump",0,"Independent",5,5,0,90,8,"L1"
"Male","Male","No","Big City Subrub","Other","Atheist",0,29,4,5,6,3,4,"13","college",2,"0",10,1,300,"respect for their elders","curiosity","self-reliance","well-behaved","Bernie Sanders","Other",1,"Democratic",6,9,0,50,10,"L1"
"Female","Female","No","Medium City","Hispanic","Christian",5,28,3.6,4,4,0,0,"18","lower grades",1,"2",3,4,75,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",8,5,0,100,7,"L1"
"Female","Female","No","Big City Subrub","White","Jewish",6,27,4,3,3,0,1,"15","high school",12,"1",15,10,50,"independence","curiosity","obedience","being considerate","Hillary Clinton","Hillary Clinton",4,"Democratic",10,7,35,100,4,"L1"
"Female","Female","No","Big City","White","Jewish",5,27,3.6,6,4,0,0,"17","college",6,"2",5,3,50,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",1,"Democratic",5,9,5,100,1,"L1"
"Female","Female","No","Big City Subrub","White","Jewish",5,23,4,10,5,0,0,"15","high school",3,"3",4,0,100,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",5,10,0,80,8,"L1"
"Female","Female","No","Big City Subrub","White","Christian",7,28,4,4,2,1,0,"15","high school",2,"4",4,10,100,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",6,"Democratic",4,8,5,100,6,"L1"
"Female","Female","No","Big City","Hispanic","Christian",5,24,4,5,3,0,0,"still waiting","college",7,"3",5,7,80,"independence","good manners","obedience","well-behaved","Bernie Sanders","Hillary Clinton",7,"Democratic",5,10,0,0,6,"L1"
"Female","Female","No","Big City Subrub","White","Atheist",0,26,3.5,10,6,2,1,"14","high school",4,"4",10,5,600,"independence","good manners","obedience","being considerate","Unsure","Unsure",5,"Other",5,8,0,0,0,"L1"
"Female","Female","No","Small Town","White","Christian",7,34,3.8,0,0,0,2,"17","high school",35,"2",2,5,96,"respect for their elders","good manners","obedience","being considerate","Unsure","Unsure",5,"Democratic",5,10,0,0,5,"L1"
"Male","Male","No","Big City Subrub","White","Jewish",5,31,2.2,16,17,14,1,"14","college",7,"2",10,5,200,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Gary Johnson",3,"Democratic",9,3,5,50,0,"L1"
"Female","Female","Yes","Small Town","White","Christian",6,24,3.6,7,3,3,2,"13","college",6,"2",5,0,35,"independence","curiosity","obedience","being considerate","Unsure","Unsure",1,"Democratic",3,8,10,50,8,"L1"
"Male","Male","No","Small Town","Asian","Hindu",1,30,4,0,0,0,0,"still waiting","middle school",5,"1",0,5,50,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Gary Johnson",3,"Democratic",1,7,0,50,2,"L1"
"Male","Male","No","Big City Subrub","White","Jewish",1,32,3.3,4,5,1,1,"17","college",0,"3",2,7,200,"independence","curiosity","self-reliance","being considerate","Other","Gary Johnson",3,"Democratic",7,7,0,90,7,"L1"
"Female","Female","No","Medium City","Asian","Christian",7,24,3.5,10,13,3,0,"12","middle school",7,"4",10,0,150,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",0,5,0,30,8,"L1"
"Female","Female","No","Big City Subrub","White","Christian",3,28,3.7,4,3,0,0,"13","high school",4,"2",3,5,80,"independence","good manners","self-reliance","being considerate","Donald Trump","Donald Trump",7,"Republican",4,6,0,10,1,"L1"
"Female","Female","Yes","Small Town","White","Atheist",0,32,2.5,3,3,1,2,"15","college",6,"1",3,8,60,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",4,"Independent",5,8,15,10,5,"L1"
"Female","Female","Yes","Small Town","White","Christian",7,26,3,3,4,1,1,"14","high school",2,"3",5,7,100,"respect for their elders","good manners","self-reliance","being considerate","Donald Trump","Donald Trump",6,"Republican",5,7,0,10,8,"L1"
"Female","Female","No","Big City Subrub","Black","Christian",8,23,3.8,11,10,0,0,"15","lower grades",14,"9",3,5,90,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Hillary Clinton",1,"Democratic",5,8,0,100,8,"L1"
"Male","Male","No","Big City","Asian","Atheist",0,34,3.7,1,0,0,1,"18","college",5,"2",0,10,20,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",5,"Democratic",6,8,0,90,8,"L1"
"Female","Female","Yes","Big City Subrub","White","Christian",7,24,3.2,5,5,0,0,"16","college",3,"1",3,8,70,"respect for their elders","good manners","obedience","well-behaved","Bernie Sanders","Hillary Clinton",8,"Republican",7,10,10,100,10,"L1"
"Female","Female","No","Big City Subrub","White","Christian",6,26,3.7,0,0,0,1,"still waiting","lower grades",3,"2",5,5,60,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Independent",8,8,10,80,10,"L1"
"Male","Male","Yes","Big City Subrub","White","Christian",2,27,3.3,7,10,3,1,"16","kindergarten",2,"2",10,7,100,"independence","curiosity","self-reliance","well-behaved","Donald Trump","Donald Trump",8,"Republican",7,8,0,90,3,"L1"
"Female","Female","No","Big City","Asian","Agnostic",3,29,3.6,1,1,0,0,"still waiting","college",1,"1",7,7,90,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",3,"Democratic",6,7,0,100,4,"L1"
"Female","Female","No","Big City","White","Christian",1,32,3.1,0,0,1,1,"18","college",0,"2",1,1,35,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",0,"Democratic",7,7,5,90,2,"L1"
"Female","Female","No","Big City Subrub","White","Jewish",7,24,4,11,10,1,0,"15","high school",5,"3",7,5,100,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",0,"Democratic",0,10,0,100,0,"L1"
"Female","Female","No","Big City","Hispanic","Christian",6,28,3,10,12,4,0,"14","college",2,"2",3,2,200,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",9,"Democratic",5,6,0,70,7,"L1"
"Male","Male","No","Big City","Hispanic","Christian",3,27,3.5,6,12,10,2,"12","high school",3,"2",8,3,90,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Gary Johnson",3,"Democratic",5,8,0,90,9,"L1"
"Female","Female","Yes","Big City Subrub","White","Jewish",3,28,3.3,8,8,5,1,"16","college",7,"2",2,3,75,"respect for their elders","curiosity","obedience","being considerate","Hillary Clinton","Other",1,"Democratic",2,8,10,90,3,"L1"
"Female","Female","No","Small Town","White","Christian",6,27,3.9,0,0,1,1,"19","college",2,"2",3,1,50,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",6,"Republican",8,7,10,100,0,"L1"
"Female","Female","No","Big City Subrub","Other","Religious but not one of the above",4,24,2.9,4,4,2,2,"12","high school",1,"3",4,5,75,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",4,"Republican",8,8,0,0,9,"L1"
