"gender","Age","height","weight","Pets","Speed","Cash","Sleep","Shoes","Charity","Cheat","Greek","Handed","Soulmate"
"female",21,69,165,5,80,0,8,30,50,0,"yes","left","few"
"female",18,69,145,2,92,90,6.5,15,75,2,"no","right","few"
"male",21,72,195,2,101,20,9,4,60,3,"yes","right","hundreds"
"female",19,70,170,1,117,52,5.5,39,50,8,"yes","right","few"
"female",21,66,126,3,110,40,6.5,30,100,0,"yes","right","one"
"male",20,67,185,10,100,110,6.5,4,10,1,"no","right","hundreds"
"female",20,68,135,0,90,15,7,41,85,0,"yes","right","few"
"male",19,76,185,6,92,46,6.5,5,100,0,"no","right","few"
"female",19,66,130,4,83,8,7,10,80,0,"no","right","dozens"
"male",19,72,183,0,90,74,7,12,40,3,"no","right","few"
"male",21,71,180,2,110,20,6.5,4,50,0,"no","right","few"
"female",19,63,134,4,85,5,6.5,12,75,0,"yes","right","few"
"female",18,65,120,0,65,1000,7,19,20,0,"yes","right","few"
"male",19,75,172,10,100,15,7,20,50,1,"no","right","few"
"male",20,72,125,1,92,25,7.5,2,30,0,"no","left","none"
"female",20,70,136,7,110,2,9,23,100,0,"no","right","few"
"female",24,64,134,0,100,20,7,15,45,2,"no","left","few"
"female",22,68,140,7,0,7,6,13,50,0,"no","right","few"
"male",19,69,173,20,130,7,5,4,20,10,"no","right","few"
"female",19,68,125,1,120,26,6,8,70,10,"no","right","few"
"male",21,68,180,1,70,50,7,2,50,0,"no","right","one"
"female",19,69,155,0,80,100,8,13,90,5,"no","left","few"
"female",19,64,156,2,126,43,6.5,25,70,2,"no","right","dozens"
"female",21,68,125,1,90,0,4,13,95,0,"no","right","none"
"male",19,68,143,1,85,22,6,7,55,10,"no","left","few"
"female",20,64,117,0,130,200,5.5,30,25,2,"no","right","few"
"female",19,63,130,0,90,5,7,15,70,1,"no","right","one"
"male",19,73,168,8,105,300,7,9,30,10,"yes","ambidextrous","millions"
"male",18,72,165,0,85,10,8,3,20,3,"no","right","few"
"male",18,75,250,9,105,69,9,8,0,1,"no","right","millions"
"female",19,63,135,0,98,53,8.5,23,50,3,"no","right","one"
"female",21,62,105,0,90,50,8,17,40,3,"no","ambidextrous","few"
"female",20,61,165,1,105,600,6.5,60,40,4,"no","right","one"
"female",19,67,135,2,104,3,7,13,50,9,"yes","right","dozens"
"male",20,72,176,2,105,120,7.5,8,75,3,"yes","right","hundreds"
"female",19,66,127,10,92,23,7.5,9,40,0,"no","right","few"
"male",22,66,154,1,37,50,6,2,15,0,"no","right","none"
"male",21,72,162,2,102,93,7.5,4,30,2,"no","right","one"
"female",18,63,180,2,97,51,7.5,29,75,35,"no","right","thousands"
"female",19,62,106,2,105,50,8,30,50,3,"no","right","one"
"male",19,75,211,2,96,0,7.5,3,75,0,"yes","right","one"
"female",19,68,104,1,0,27,9,6,85,0,"no","right","few"
"female",19,66,145,7,97,200,6.5,22,30,3,"yes","right","few"
"female",20,64,128,0,105,60,8,20,60,3,"yes","right","few"
"female",19,71,145,2,105,1,7,15,65,10,"no","left","one"
"female",21,64,129,3,100,40,8,20,50,1,"yes","right","few"
"female",20,67,175,1,60,5,7,40,20,0,"no","right","few"
"female",19,66,167,4,94,100,7,19,95,1,"no","right","hundreds"
"female",19,65,130,1,123,31,6,22,100,40,"no","left","dozens"
"female",20,62,160,7,110,6,7.5,35,75,1,"yes","right","few"
"female",20,64,135,2,90,30,5.5,15,10,0,"no","ambidextrous","one"
"male",20,70,135,1,95,80,7,5,80,5,"no","right","few"
"female",19,63,140,0,80,21,6,8,50,0,"no","right","few"
"female",19,62,111,0,55,26,8,14,10,0,"no","right","one"
"female",19,70,135,6,105,110,7,30,5,0,"no","right","dozens"
"female",18,64,110,1,133,200,7,17,50,1,"no","right","few"
"female",23,58,142,15,100,9,5.5,26,60,3,"no","right","few"
"female",20,70,152,3,102,76,11,12,100,4,"no","right","few"
"male",19,75,165,1,101,10,8,6,80,0,"no","left","one"
"male",19,67,200,3,80,40,7,2,60,5,"no","ambidextrous","few"
"female",19,64,114,2,86,23,6.5,35,95,0,"no","right","few"
"male",19,72,190,0,95,23,6.5,3,15,90,"no","right","few"
"female",19,68,134,1,90,47,7.5,20,80,0,"no","right","dozens"
"male",19,67,160,0,100,2,7,4,15,1,"no","right","few"
"male",19,70,171,0,95,0,7,4,25,0,"yes","right","dozens"
"female",23,63,115,5,130,1000,6,50,30,0,"no","right","few"
"female",20,63,118,1,88,5,6,10,95,0,"no","right","dozens"
"male",20,72,140,1,116,3,8,1,5,3,"no","right","thousands"
"male",23,73,185,1,90,0,7.5,14,100,1,"no","right","few"
"female",19,63,130,5,100,30,6,22,50,7,"yes","right","one"
"female",19,61,110,5,90,300,8,20,5,0,"yes","left","few"
"male",20,70,145,5,110,200,7.5,6,0,2,"no","ambidextrous","few"
"female",19,62,98,1,120,0,7,13,50,0,"no","right","dozens"
"female",19,61,130,0,80,85,7.5,20,100,0,"yes","right","few"
"female",19,70,160,1,95,11,7,15,40,15,"yes","right","one"
"male",19,72,169,0,75,18,7,9,10,5,"no","right","dozens"
"female",19,62,140,3,95,150,7.5,10,10,10,"no","right","few"
"male",21,67,140,2,85,23,9,3,50,1,"no","left","few"
"female",19,64,145,2,100,150,7,23,90,3,"yes","right","few"
"male",20,74,280,0,93,130,8,4,0,3,"no","ambidextrous","few"
"male",20,71,165,1,90,20,6,3,60,0,"no","right","one"
"female",19,62,135,2,100,50,7,16,70,10,"yes","ambidextrous","few"
"male",19,76,218,4,122,0,6,10,50,0,"yes","ambidextrous","one"
"male",20,72,160,0,100,29,5.5,4,90,3,"yes","right","thousands"
"female",20,63,140,1,84,3,7,15,80,0,"no","right","one"
"female",19,63,127,5,102,36,7,25,40,9,"no","right","few"
"female",20,63,164,1,105,70,8,10,95,0,"no","right","one"
"female",20,67,160,1,120,35,8,27,100,10,"no","right","one"
"female",20,64,120,0,75,16,7,30,30,1,"no","ambidextrous","few"
"male",20,71,170,0,110,2,6,5,95,0,"yes","right","few"
"female",19,67,132,3,80,40,7.5,14,50,5,"no","right","one"
"male",19,68,148,0,90,200,9,3,20,0,"no","right","one"
"male",19,68,130,0,90,200,6,3,60,0,"no","right","few"
"male",19,69,159,0,19,4,8,6,70,7,"yes","right","millions"
"male",21,68,140,0,110,0,7.5,10,10,5,"no","right","millions"
"female",19,62,115,1,80,32,7,40,55,0,"no","right","hundreds"
"female",21,66,140,1,0,0,10,5,50,0,"no","right","few"
"female",21,63,106,0,90,1,7,25,90,5,"no","left","few"
"female",19,67,145,4,95,50,8,15,80,2,"no","right","few"
"female",19,74,155,0,100,15,7,10,70,3,"no","right","none"
"female",20,66,150,11,130,0,6.5,7,55,1,"no","right","few"
"female",20,61,105,1,80,95,9,7,30,0,"no","right","few"
"male",21,78,200,1,105,10,6,5,50,0,"yes","right","thousands"
"female",19,61,105,0,90,0,7.5,20,30,0,"no","right","one"
"female",19,67,127,0,100,86,7.5,30,60,0,"no","right","few"
"female",19,67,135,1,85,30,8,20,95,4,"yes","left","few"
"male",21,67,141,0,120,0,7,10,5,20,"no","right","few"
"male",19,68,167,0,93,0,8,4,70,30,"no","right","few"
"female",17,49,81,5,2,2,3,3,75,40,"yes","left","one"
"female",19,66,126,2,95,8,6.5,20,55,10,"no","right","few"
"male",19,69,175,12,115,45,7,3,30,2,"yes","right","few"
"male",20,71,140,2,121,0,6.5,6,90,0,"no","right","one"
"female",19,65,131,2,102,50,7,19,25,0,"yes","right","dozens"
"male",21,61,264,10,125,93,4,3,25,0,"no","right","one"
"female",20,66,143,3,103,20,7,37,30,0,"yes","right","few"
"female",19,61,105,2,70,140,7,33,80,0,"no","right","few"
"male",19,71,195,0,100,19,7.5,7,25,35,"yes","right","millions"
"female",21,61,105,50,120,8,7,78,50,0,"no","right","few"
"male",19,72,200,2,120,12,7.5,6,75,30,"yes","right","one"
"female",19,60,120,0,95,4,7.5,14,30,0,"no","left","one"
"female",20,63,130,3,80,0,8,10,50,0,"no","right","few"
"male",19,76,156,4,95,63,8,5,50,10,"no","right","few"
"female",19,63,110,2,65,200,7,7,75,7,"no","right","dozens"
"male",19,71,172,3,105,60,7.5,3,80,10,"no","right","hundreds"
"female",19,60,97,1,60,45,5.5,7,50,2,"no","right","few"
"female",20,63,122,0,100,80,7.5,45,30,1,"yes","right","few"
"female",18,61,130,1,100,50,8,23,100,1,"yes","right","few"
"male",19,71,200,2,115,20,7,10,50,0,"yes","right","few"
"male",20,67,160,4,102,0,7,2,30,0,"no","right","dozens"
"male",19,68,130,3,105,35,7.5,5,15,0,"yes","right","hundreds"
"female",20,64,205,27,100,45,7.5,36,95,1,"no","right","few"
"male",18,78,175,12,120,10,10,10,50,10,"no","right","thousands"
"female",18,64,144,0,100,150,7,30,25,2,"no","right","millions"
"male",18,71,175,1,115,30,8,3,50,5,"no","right","one"
"female",19,63,115,0,100,40,6,30,50,0,"no","left","few"
"female",21,60,105,1,90,0,7.5,19,25,3,"no","right","few"
"male",20,77,170,0,150,10,8,5,55,0,"no","right","dozens"
"female",22,62,109,0,0,0,8,8,50,0,"no","right","millions"
"female",19,67,148,1,80,80,7,10,20,2,"no","right","none"
"female",20,63,118,3,0,50,9,10,80,0,"no","right","few"
"female",19,60,94,0,70,150,8,10,60,0,"no","right","few"
"male",20,71,235,3,125,44,7.5,5,100,4,"no","right","few"
"female",20,64,153,4,110,20,6,23,15,4,"no","right","few"
"female",19,68,130,1,100,0,7,37,30,0,"yes","right","dozens"
"female",19,69,155,5,90,4,7.5,30,40,3,"no","left","few"
"female",21,70,130,1,110,0,7.5,20,10,1,"no","right","few"
"female",19,68,135,3,103,12,5.5,18,70,15,"no","right","few"
"male",24,73,170,2,180,0,6,4,10,0,"no","ambidextrous","dozens"
"female",21,63,120,0,85,40,7,20,30,0,"no","right","one"
"female",21,66,120,2,100,1,6.5,12,10,5,"no","right","few"
"male",20,71,175,2,85,24,7,6,70,0,"yes","right","few"
"female",19,65,135,10,85,35,8,15,50,10,"no","right","few"
"male",18,71,155,0,100,300,7,7,50,0,"no","right","one"
"female",21,64,120,3,95,6,7,25,50,5,"no","left","few"
"female",19,66,125,4,85,65,9,10,50,0,"no","right","few"
"female",19,63,120,0,72,20,6.5,9,25,3,"no","right","one"
"female",18,69,135,0,85,100,7.5,60,50,50,"no","right","few"
"male",19,68,201,3,110,20,7,6,40,50,"no","right","dozens"
"female",20,63,136,2,115,5,7,25,40,1,"no","right","few"
"male",20,68,155,1,98,32,8.5,10,25,8,"no","right","few"
"male",18,68,145,1,75,5,8,2,100,10,"no","right","few"
"female",20,65,103,1,95,110,6.5,17,80,5,"no","right","few"
"female",20,65,150,2,90,10,8,30,0,15,"no","left","one"
"female",19,66,120,2,90,20,7,40,100,0,"yes","left","one"
"female",19,61,140,0,80,40,7.5,10,30,0,"no","left","one"
"male",19,64,136,2,110,60,6.5,5,20,5,"no","right","few"
"female",19,63,120,1,100,14,8,47,100,0,"no","right","few"
"male",19,70,170,0,119,14,7.5,4,30,0,"no","right","millions"
"female",18,65,116,5,85,45,8,16,75,2,"no","right","thousands"
"female",26,66,155,3,90,2,6.5,6,60,0,"no","right","few"
"female",19,63,125,0,90,30,8.5,20,50,7,"yes","right","none"
"female",21,70,170,5,85,12,7,30,50,5,"yes","right","few"
"female",20,66,150,5,105,16,8,23,20,0,"no","right","thousands"
"male",18,64,103,1,0,400,7.5,3,40,0,"no","ambidextrous","few"
"male",20,69,155,2,100,0,8,15,20,0,"no","right","few"
"male",20,75,230,3,115,15,6.5,10,65,0,"no","left","one"
"female",20,67,147,12,125,150,7,18,40,7,"yes","right","few"
"female",19,70,165,6,90,60,8,20,35,15,"no","left","few"
"female",19,65,160,5,107,41,8.5,10,50,1,"no","right","one"
"female",18,66,138,3,80,31,7.5,9,55,6,"no","right","few"
"female",17,64,115,2,85,0,7.5,74,40,4,"no","right","few"
"female",20,66,180,9,85,40,7,25,90,1,"no","right","few"
"female",20,66,130,3,90,150,7,20,75,0,"no","right","few"
"male",19,73,215,4,90,39,6.5,5,70,3,"no","right","few"
"female",21,64,148,2,92,30,8,50,95,1,"no","right","few"
"male",19,67,135,2,110,13,9,6,1,5,"yes","right","few"
"female",18,67,155,6,90,44,7.5,15,75,1,"no","left","one"
"female",19,59,115,0,80,20,7,8,70,7,"no","right","one"
"female",21,67,140,10,113,3,7.5,18,60,2,"yes","right","few"
"female",18,67,160,0,90,45,8,10,90,10,"no","right","few"
"female",20,66,120,4,87,25,6,15,20,0,"yes","right","few"
"female",21,64,135,6,80,0,6.5,10,85,0,"no","right","hundreds"
"female",19,60,98,1,90,24,8.5,40,50,5,"no","right","one"
"female",19,69,200,25,100,10,7,8,35,2,"no","right","few"
"female",20,63,120,10,136,14,5,6,90,2,"no","right","few"
"male",18,73,155,1,85,20,8.5,6,80,2,"no","right","dozens"
"male",20,67,155,7,110,0,8,6,1,100,"no","right","dozens"
"female",20,65,150,2,10,1000,7,8,50,0,"no","right","few"
"female",19,61,110,5,76,20,6.5,22,50,0,"yes","right","dozens"
"female",19,63,140,1,80,25,6.5,15,60,2,"no","right","few"
"female",21,63,154,1,102,40,9,35,50,5,"no","right","few"
"female",21,65,125,5,100,4,7,19,80,0,"yes","right","one"
"female",19,66,135,0,80,15,7,20,55,0,"yes","right","dozens"
"female",20,68,145,1,90,0,5.5,28,70,0,"yes","left","dozens"
"female",20,65,138,0,75,45,6,15,40,0,"no","right","one"
"female",18,60,114,2,90,5,7.5,20,25,0,"no","right","one"
"male",19,66,140,1,100,0,7.5,7,0,10,"yes","right","few"
"female",18,64,125,6,80,43,6.5,26,40,10,"no","right","few"
"female",19,64,112,0,109,0,7,15,75,0,"no","right","hundreds"
"female",18,64,145,50,115,0,6,15,10,0,"no","right","one"
"female",20,61,300,0,87,17,5,19,50,100,"no","right","hundreds"
"female",19,63,123,1,85,25,8.5,35,65,1,"no","left","dozens"
"female",20,62,120,2,110,15,8,30,50,5,"yes","right","few"
"male",21,75,220,1,103,50,8,4,40,3,"no","left","few"
"female",19,64,98,2,101,140,6,25,30,0,"no","right","few"
"male",20,70,170,0,100,40,7.5,10,0,10,"yes","right","dozens"
"male",20,72,196,6,110,300,8,2,0,100,"yes","ambidextrous","one"
"female",19,59,97,0,100,40,5,13,30,6,"no","right","one"
"female",20,62,98,0,80,10,6,6,10,0,"no","right","few"
"female",19,67,132,1,75,23,8,10,75,3,"no","right","few"
"female",21,65,117,0,90,30,6,15,35,0,"no","right","one"
"female",19,61,100,5,100,20,7,15,50,35,"no","right","few"
"male",20,70,180,1,80,59,8,8,50,0,"no","right","dozens"
"male",19,74,200,4,97,1,6,6,100,25,"no","right","one"
"female",20,67,164,8,92,50,6.5,12,60,2,"no","right","few"
"female",19,66,149,0,0,20,7.5,8,85,4,"no","right","few"
"female",18,69,134,6,81,12,7.5,10,50,2,"no","left","few"
"female",18,66,155,0,91,7,6.5,11,15,0,"no","right","one"
"female",21,67,138,3,90,8,7.5,30,25,0,"yes","right","few"
"female",19,64,132,5,85,85,6.5,25,70,5,"yes","left","few"
"female",20,62,145,2,107,0,8,35,30,2,"no","right","few"
"male",21,66,117,0,120,35,6.5,14,25,2,"no","right","few"
"male",19,76,207,3,125,0,7,12,40,10,"yes","right","few"
"male",20,68,150,0,93,95,6.5,4,45,0,"no","right","few"
"male",18,67,170,0,60,40,7.5,6,40,3,"no","right","few"
"female",20,65,130,0,85,19,6,10,1,10,"no","right","few"
"female",19,67,137,7,120,35,8,20,60,4,"yes","right","few"
"female",19,69,130,1,30,0,7,10,90,3,"no","right","few"
"male",19,67,160,5,105,100,7,2,80,2,"no","right","hundreds"
"male",22,71,220,30,95,0,7.5,8,100,0,"no","left","dozens"
"male",21,71,190,0,105,45,7.5,6,20,0,"yes","right","thousands"
"male",22,70,142,0,181,16,5.5,7,30,0,"no","right","few"
"female",19,68,145,4,0,85,6,14,50,2,"no","right","few"
"female",19,62,110,1,60,60,6,17,0,2,"no","right","few"
"female",19,69,130,2,88,0,7,21,70,0,"yes","right","few"
"female",19,64,122,1,80,15,7.5,30,20,0,"no","right","few"
"female",20,72,220,3,110,0,4.5,20,45,2,"no","right","few"
"female",19,64,126,3,0,1,4.5,15,40,0,"no","ambidextrous","few"
"female",20,63,129,0,90,1,7,25,15,1,"yes","right","few"
"male",18,68,125,2,90,100,7.5,15,50,0,"yes","ambidextrous","few"
"female",20,65,125,13,40,9,7,9,95,1,"no","right","hundreds"
"male",19,73,170,4,140,1000,4,25,10,0,"yes","right","one"
"female",21,69,145,2,95,32,7.5,50,50,2,"yes","left","few"
"female",19,63,130,4,100,1,7,37,30,3,"no","right","one"
"female",19,67,174,1,100,140,7,18,70,7,"no","right","few"
"female",20,65,136,1,115,40,6.5,22,40,0,"yes","right","dozens"
"female",19,66,119,19,90,0,7.5,55,75,3,"no","right","dozens"
"female",19,65,125,0,98,32,7,60,95,4,"yes","right","few"
"male",19,68,185,7,126,40,9.5,8,45,6,"no","right","thousands"
"female",19,66,155,0,80,0,6.5,31,50,0,"no","right","few"
"male",21,72,175,4,91,8,7,9,80,3,"yes","right","few"
"male",21,69,143,5,115,21,7,7,0,10,"no","right","thousands"
"female",21,67,160,1,103,1,8,20,55,10,"yes","right","few"
"male",19,74,185,0,95,37,7,6,30,0,"yes","right","thousands"
"female",19,63,114,0,120,15,8,15,5,0,"no","right","dozens"
"female",19,63,130,6,90,0,6,25,50,2,"no","right","few"
"female",19,65,120,2,140,20,7,20,50,15,"no","ambidextrous","few"
"male",19,68,190,2,125,47,7,7,0,30,"yes","right","millions"
"male",19,70,155,2,130,20,7,6,100,2,"no","right","few"
"female",20,65,200,1,83,150,6,6,50,0,"no","right","one"
"male",20,72,153,1,0,30,7,5,5,1,"no","right","one"
"female",29,62,177,6,100,11,7,5,50,0,"no","ambidextrous","few"
"female",20,69,188,7,102,0,5,37,50,35,"yes","left","hundreds"
"male",18,76,155,5,100,10,8.5,4,10,30,"yes","right","dozens"
"male",19,69,155,1,100,80,7,6,50,10,"no","right","one"
"female",21,61,99,1,0,50,7,27,10,1,"no","right","one"
"female",19,62,115,2,100,64,8,27,1,15,"yes","right","few"
"female",21,64,138,12,120,68,5.5,14,25,10,"no","right","few"
"male",19,71,165,6,110,0,7,13,10,0,"yes","right","dozens"
"male",20,66,135,1,120,2,6.5,5,15,4,"no","right","few"
"female",21,66,197,20,94,24,7,17,60,4,"no","right","few"
"male",18,74,195,0,120,80,5.5,2,25,0,"no","right","one"
"male",18,70,153,0,102,39,7,7,10,0,"no","right","thousands"
"female",18,63,120,7,120,40,7,30,70,0,"no","right","few"
"female",21,63,125,1,56,40,7,7,5,1,"no","right","few"
"female",21,62,122,1,95,3,6.5,30,60,10,"no","right","few"
"female",19,69,135,2,92,44,8,15,80,1,"yes","right","one"
"female",19,66,157,1,124,90,5,16,80,5,"no","right","one"
"female",19,61,170,3,80,10,8,30,5,0,"no","right","millions"
"female",20,62,110,2,110,24,7,22,40,2,"no","left","dozens"
"female",19,63,97,3,55,57,7,11,70,0,"no","right","dozens"
"female",19,65,140,0,70,26,7.5,11,100,0,"no","right","one"
"female",19,63,113,1,85,8,6.5,23,50,1,"yes","right","millions"
"female",18,68,135,5,97,25,8,30,90,3,"no","right","few"
"male",19,70,165,3,100,20,7,3,50,4,"yes","right","dozens"
"female",19,62,120,3,80,130,7,45,10,3,"yes","right","few"
"male",19,65,113,0,65,200,7,5,20,0,"no","right","few"
"male",19,67,145,1,95,21,8,10,1,0,"yes","right","few"
"male",21,70,210,1,91,41,7,3,20,3,"no","right","hundreds"
"female",18,68,143,2,70,43,8,17,50,1,"no","right","few"
"female",20,69,150,2,50,60,8,10,60,10,"no","right","dozens"
"female",19,62,130,1,65,12,7.5,10,30,2,"no","right","few"
"female",20,66,110,0,85,36,4.5,10,100,10,"no","right","one"
"female",19,64,120,1,112,50,6.5,25,40,2,"yes","right","few"
"male",20,66,190,0,100,3,3,15,30,5,"yes","right","few"
"female",19,65,125,2,90,10,7.5,65,45,15,"no","right","millions"
"male",19,72,185,2,100,0,6.5,20,10,2,"yes","right","dozens"
"female",19,65,118,1,80,20,6,15,75,1,"no","right","few"
"female",19,65,108,2,85,100,7,18,95,2,"no","right","few"
"male",21,65,140,0,95,60,7.5,12,90,1,"no","right","few"
"female",21,70,168,3,95,60,7.5,22,75,5,"yes","right","few"
"female",19,66,126,4,85,29,9,13,70,0,"no","right","few"
"female",20,63,200,4,100,11,6,12,75,3,"no","right","few"
"female",26,64,102,10,10,12,6.5,18,35,0,"no","right","one"
"female",19,64,108,3,96,45,6.5,20,50,3,"no","right","few"
"female",21,64,120,3,103,5,6,25,55,3,"yes","right","dozens"
"male",20,70,175,0,86,10,6.5,4,1,0,"no","left","dozens"
"female",21,68,140,3,100,0,6.5,10,70,5,"yes","ambidextrous","few"
"female",21,66,180,5,30,4,7,30,55,1,"no","right","dozens"
"female",19,66,120,3,80,0,7,10,30,0,"no","right","few"
"female",21,65,157,60,115,20,8,50,60,0,"yes","right","thousands"
"male",18,72,165,1,0,25,7,7,20,1,"no","right","one"
"female",19,63,115,4,80,0,10,30,90,0,"no","right","hundreds"
"male",19,77,180,2,95,14,8,4,50,0,"no","right","thousands"
"male",20,73,203,2,158,140,8,14,10,4,"yes","right","few"
"female",20,71,132,4,90,0,7.5,7,50,9,"no","ambidextrous","few"
