"gender","genderID","ethnicity","citizen","Muslim","religious","conservative_self","conservative_parents","sexualOrientation","familyKnowsSexualOrientation","age_sexualOrientation","changeSexualOrientation","sameSexExperience","dateTransgender","MFS_self","MFS_present","MFS_attraction","gayFeelings","lesbianFeelings","sexPartners","relationship","sexInSeriousRelationship","seriousSex","sexBeforeMarriage","children","abortion","bed","birthMonth","TProll","TPconfig","foodPreference","burgers","innocentVsGuility","sexVsLove","attendance","version"
"Female","Female","White","Yes","Uncertain",6,6,8,"straight","Yes",16,"No","No","No",8,8,0,7,7,0,0,6,9,"Unsure",2,"Neutral","No","November","Under","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",2
"Male","Male","White","Yes","No",0,0,10,"straight","Yes",10,"No","No","No",2,2,10,0,0,1,1,10,5,"Yes - I already have",2,"Always Legal","Yes","May","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",2
"Female","Female","White","Yes","Uncertain",6,5,8,"straight","Yes",5,"No","No","No",10,10,2,0,0,4,2,6,6,"Yes - I already have",3,"Neutral","No","June","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","No",1,1,8,"bi","No",13,"No","No","Yes",6,7,3,0,0,2,1,8,3,"Yes - I already have",2,"Legal most of the time","No","March","No preference","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",2
"Male","Male","Asian","Yes","No",8,5,5,"straight","Yes",2,"No","No","No",0,1,10,10,10,1,2,5,5,"Yes - I already have",2,"Neutral","Yes","June","No preference","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Male","Male","Asian","No","Uncertain",2,7,3,"straight","Yes",7,"No","No","No",0,0,10,0,0,0,1,4,7,"Unsure",2,"Illegal most of the time","No","February","Under","FOLD","Burger King","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Female","Female","Asian","Yes","No",2,0,2,"straight","Yes",7,"No","No","Yes",8,9,2,0,0,0,0,6,4,"Yes - I would",2,"Always Legal","No","January","Under","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","No",5,2,6,"straight","Yes",2,"No","No","No",0,0,0,5,0,0,1,9,7,"Yes - I would",3,"Always Legal","Yes","September","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",1
"Male","Male","Asian","No","No",2,8,4,"straight","Yes",7,"No","Yes","No",2,1,9,0,0,0,0,10,10,"Unsure",2,"Always Legal","No","October","Under","FOLD","Burger King","Burger King","Innocent Executed","No Love","funeral",1
"Male","Male","Asian","No","Uncertain",0,5,5,"straight","Yes",12,"No","No","No",5,4,10,5,4,0,0,9,3,"Yes - I would",3,"Illegal most of the time","No","August","No preference","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","White","Yes","Uncertain",6,3,6,"straight","Yes",9,"No","No","No",8,8,1,0,0,3,2,8,7,"Yes - I already have",2,"Always Legal","Yes","July","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Male","Male","Other","Yes","Yes",3,4,7,"straight","Yes",5,"No","No","No",3,3,7,2,0,1,1,8,6,"Yes - I already have",2,"Always Legal","Yes","May","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",1
"Male","Male","Asian","No","No",5,5,5,"straight","Yes",11,"No","No","No",0,2,7,0,0,0,0,0,0,"Yes - I would",2,"Neutral","No","February","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","Asian","Yes","No",4,7,8,"straight","Yes",2,"No","No","No",10,10,2,10,10,1,0,2,2,"Yes - I already have",3,"Neutral","Yes","November","Under","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","No",0,2,4,"bi","Some do",19,"No","No","Yes",6,8,4,0,0,1,1,5,8,"Yes - I already have",0,"Always Legal","No","October","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Male","Male","Hispanic","Yes","Uncertain",3,3,3,"straight","Yes",2,"No","No","No",5,0,5,10,5,1,1,10,8,"Yes - I would",4,"Neutral","No","March","Under","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",2
"Female","Female","Asian","Yes","No",1,2,2,"straight","Yes",2,"No","Yes","No",8,10,1,2,2,6,3,2,5,"Yes - I already have",3,"Legal most of the time","No","September","Under","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Male","Male","White","Yes","Uncertain",7,6,6,"straight","Yes",10,"No","No","No",3,3,7,9,9,10,3,5,6,"Yes - I already have",2,"Neutral","No","August","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","Asian","No","Yes",3,5,6,"bi","Yes",12,"No","No","No",5,5,3,0,0,2,2,5,5,"Yes - I would",1,"Always Legal","Yes","July","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","funeral",1
"Male","Male","Asian","No","Yes",0,2,1,"straight","No",17,"No","No","No",5,6,3,4,3,4,5,5,2,"No",2,"Legal most of the time","Yes","January","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",2
"Male","Male","White","No","No",6,4,4,"straight","Yes",8,"No","No","No",2,2,0,0,0,2,0,3,3,"Yes - I already have",3,"Always Legal","No","August","No preference","FOLD","Burger King","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","Uncertain",4,6,8,"straight","Yes",4,"No","No","No",10,9,2,0,0,2,0,7,4,"Yes - I already have",4,"Always Legal","No","October","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Male","Male","Hispanic","Yes","No",7,5,5,"straight","Yes",5,"No","No","No",3,3,9,6,5,2,3,8,6,"Yes - I already have",3,"Illegal most of the time","No","October","No preference","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","Hispanic","Yes","No",8,6,9,"straight","Yes",13,"No","No","No",0,2,10,8,3,4,2,3,3,"Yes - I would",4,"Always Legal","No","April","Over","WAD","Burger King","Burger King","Guilty Free","No Love","funeral",1
"Female","Female","White","Yes","Uncertain",4,4,6,"straight","Yes",4,"No","Yes","No",9,8,3,10,8,11,0,5,6,"Yes - I already have",3,"Legal most of the time","No","March","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Male","Male","White","Yes","No",5,3,3,"straight","Yes",2,"No","No","No",0,0,10,0,0,1,1,3,7,"Yes - I would",2,"Neutral","Yes","June","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","White","Yes","Uncertain",6,1,6,"straight","Yes",7,"No","Yes","No",8,7,2,0,0,11,5,8,3,"Yes - I already have",2,"Legal most of the time","No","February","Under","FOLD","Burger King","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","White","Yes","No",3,0,0,"straight","Yes",10,"No","No","No",3,6,2,0,0,0,1,4,10,"Yes - I would",2,"Always Legal","Yes","March","Over","WAD","Burger King","Burger King","Innocent Executed","No Sex","wedding",2
"Male","Male","Hispanic","Yes","Yes",0,10,5,"straight","Yes",2,"No","No","No",0,0,9,10,10,2,0,5,5,"Yes - I would",0,"Legal most of the time","Yes","July","Over","FOLD","Burger King","Burger King","Innocent Executed","No Love","wedding",1
"Female","Female","White","Yes","No",7,4,6,"straight","Yes",13,"No","No","No",10,10,2,0,0,5,2,6,5,"Yes - I already have",2,"Always Legal","No","September","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","Asian","No","Uncertain",2,0,10,"straight","Yes",5,"No","No","No",0,0,10,5,5,0,0,5,5,"Unsure",2,"Neutral","No","September","No preference","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",1
"Male","Male","Asian","Yes","No",7,4,8,"straight","Yes",6,"No","No","No",5,4,6,5,5,2,1,7,5,"Yes - I already have",4,"Illegal most of the time","No","October","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","White","Yes","No",3,2,2,"straight","Yes",6,"No","No","No",8,8,3,0,0,0,0,5,8,"Yes - I would",4,"Always Legal","Yes","March","Over","WAD","Burger King","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","Hispanic","Yes","No",5,7,8,"straight","Yes",2,"No","No","No",0,0,10,9,9,3,1,7,7,"Yes - I already have",3,"Illegal most of the time","No","April","No preference","FOLD","Mcdonalds","Burger King","Innocent Executed","No Love","wedding",2
"Female","Female","White","Yes","No",0,2,3,"straight","Yes",4,"No","No","No",9,9,1,0,0,0,0,5,5,"Yes - I would",3,"Always Legal","No","November","Under","WAD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",1
"Female","Female","Asian","Yes","No",9,5,6,"straight","Yes",4,"No","No","No",8,8,3,1,1,0,1,4,10,"No",3,"Always Legal","No","October","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","No",5,5,5,"straight","Yes",2,"No","Yes","No",9,8,2,0,0,7,3,10,5,"Yes - I would",3,"Always Legal","Yes","December","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","wedding",1
"Male","Male","Asian","No","No",0,5,5,"straight","Yes",10,"No","No","No",5,5,5,4,4,2,1,8,8,"Yes - I would",1,"Always Legal","Yes","August","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Male","Male","White","Yes","Uncertain",6,8,9,"straight","Yes",2,"No","No","No",9,10,7,9,9,9,2,6,8,"Yes - I already have",2,"Always Legal","No","March","No preference","FOLD","Burger King","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","White","Yes","No",3,1,8,"straight","Yes",6,"No","No","No",7,6,0,0,0,7,3,8,6,"Yes - I already have",3,"Legal most of the time","No","April","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","White","Yes","Yes",4,4,7,"straight","Yes",2,"No","No","No",8,8,0,1,3,2,1,6,5,"Yes - I already have",3,"Legal most of the time","Yes","August","No preference","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Male","Male","Hispanic","Yes","No",2,2,3,"straight","Yes",8,"No","No","No",1,1,8,0,0,6,1,8,1,"Yes - I already have",2,"Legal most of the time","Yes","November","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","Black","Yes","No",6,2,3,"straight","Yes",2,"No","No","No",10,9,0,10,10,2,1,8,10,"Yes - I already have",5,"Illegal most of the time","Yes","February","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","funeral",2
"Male","Male","Other","Yes","Yes",2,3,3,"bi","No",3,"No","No","No",1,4,9,1,1,38,1,2,6,"No",8,"Neutral","Yes","March","Under","WAD","Burger King","Burger King","Innocent Executed","No Love","wedding",1
"Female","Female","Other","No","Uncertain",2,1,2,"asexual","Some do",3,"Yes","No","No",2,3,1,3,3,2,1,2,3,"No",1,"Illegal most of the time","Yes","February","Under","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",1
"Female","Female","Asian","Yes","No",7,6,7,"straight","Yes",2,"No","No","No",10,8,1,5,5,0,0,1,10,"No",2,"Legal most of the time","Yes","April","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Male","Male","White","Yes","Uncertain",0,4,5,"straight","Yes",11,"Yes","No","No",3,4,0,0,0,0,0,3,0,"Yes - I would",2,"Always Legal","No","May","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","White","Yes","Yes",8,10,10,"straight","Yes",2,"No","Yes","No",8,9,0,0,3,0,0,9,10,"Yes - I would",3,"Always Legal","No","September","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","White","Yes","Yes",5,7,10,"straight","Yes",10,"No","No","No",9,10,0,8,2,3,1,9,9,"Yes - I already have",2,"Always Legal","Yes","March","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",2
"Male","Male","Asian","Yes","No",3,1,3,"straight","Yes",7,"No","No","No",5,5,7,10,10,0,2,0,0,"No",2,"Always Legal","Yes","July","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Male","Male","White","Yes","No",1,2,3,"straight","Yes",7,"No","No","No",2,2,8,0,0,5,1,8,5,"Yes - I already have",2,"Legal most of the time","No","May","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","Hispanic","Yes","No",8,7,5,"straight","Yes",10,"No","Yes","No",9,10,2,6,6,0,0,0,8,"No",3,"Illegal most of the time","No","July","Under","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Uncertain",7,5,5,"straight","Yes",6,"No","No","No",10,10,0,5,5,6,1,6,4,"Yes - I already have",2,"Always Legal","No","March","No preference","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","White","Yes","Uncertain",3,3,6,"straight","Yes",7,"No","No","No",8,8,3,0,0,0,0,3,6,"Yes - I would",4,"Legal most of the time","No","November","No preference","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Male","Male","Hispanic","Yes","No",6,7,9,"straight","Yes",4,"No","No","No",1,2,8,2,8,3,1,9,9,"Yes - I would",2,"Always Legal","No","November","No preference","FOLD","Burger King","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Other","Other","Yes","Uncertain",10,5,10,"straight","Yes",2,"No","No","No",7,7,6,0,0,0,0,6,10,"Unsure",5,"Always Illegal","No","December","No preference","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Male","Male","Asian","No","Uncertain",0,1,2,"straight","Yes",7,"No","No","No",5,5,5,5,5,1,2,5,5,"Yes - I would",2,"Neutral","Yes","February","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Male","Other","White","Yes","Yes",0,7,6,"straight","Yes",2,"No","No","No",0,0,10,0,10,2,1,9,9,"Yes - I already have",2,"Always Legal","Yes","October","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","White","Yes","Uncertain",0,3,7,"straight","Yes",7,"No","Yes","No",8,8,3,0,0,10,2,7,9,"Yes - I already have",3,"Always Legal","No","March","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","Yes",5,5,3,"straight","Yes",2,"No","No","No",0,0,10,0,0,4,3,7,5,"Yes - I already have",3,"Illegal most of the time","No","September","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","White","Yes","Yes",7,10,8,"straight","Yes",2,"No","No","No",10,10,10,10,10,14,1,8,5,"Yes - I already have",2,"Illegal most of the time","Yes","July","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","wedding",1
"Female","Female","Asian","No","No",7,5,6,"straight","Yes",6,"No","No","No",10,7,5,3,3,0,1,0,0,"No",0,"Always Legal","Yes","March","Under","FOLD","Burger King","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Male","Male","Asian","Yes","Yes",10,10,9,"straight","Yes",2,"No","No","No",0,0,0,10,10,0,0,0,0,"No",0,"Illegal most of the time","Yes","January","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","Hispanic","Yes","No",2,3,4,"bi","No",17,"No","Yes","Yes",8,6,5,0,0,50,1,9,7,"Yes - I already have",0,"Legal most of the time","No","April","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Male","Male","Asian","No","No",0,5,5,"straight","Yes",10,"No","No","No",2,3,8,5,2,1,1,6,5,"Yes - I already have",1,"Neutral","Yes","June","No preference","FOLD","Burger King","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","Asian","No","Yes",0,8,8,"straight","Yes",10,"No","No","No",5,7,3,0,0,0,0,0,0,"Unsure",1,"Illegal most of the time","Yes","February","Under","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Female","Female","Hispanic","Yes","No",0,8,9,"straight","Yes",10,"No","No","No",10,10,0,10,10,20,5,10,10,"Yes - I already have",4,"Always Legal","No","December","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Male","Male","Asian","Yes","No",6,2,4,"gay/lesbian","No",13,"No","Yes","No",2,5,2,0,0,0,2,4,1,"Yes - I would",2,"Legal most of the time","No","May","Under","FOLD","Burger King","Burger King","Innocent Executed","No Love","wedding",1
"Male","Male","White","Yes","No",3,4,7,"straight","Yes",17,"Yes","No","No",2,1,8,1,0,1,0,8,2,"Yes - I already have",3,"Legal most of the time","No","November","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","Asian","Yes","No",3,3,8,"straight","Yes",6,"No","No","No",9,10,3,4,4,2,1,5,10,"Yes - I already have",1,"Always Legal","No","July","Over","WAD","Burger King","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","Uncertain",7,1,4,"bi","No",16,"No","Yes","No",3,4,8,0,0,1,0,3,7,"Yes - I would",2,"Legal most of the time","No","May","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",1
"Female","Female","White","Yes","Yes",5,3,8,"straight","Yes",2,"No","No","No",10,9,0,0,0,2,2,5,10,"Yes - I already have",3,"Always Legal","Yes","January","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Male","Male","Asian","No","No",1,2,3,"straight","Yes",15,"No","No","No",1,0,9,9,5,2,3,5,4,"Yes - I already have",2,"Illegal most of the time","Yes","June","Over","FOLD","Burger King","Mcdonalds","Guilty Free","No Love","funeral",1
"Male","Male","Asian","No","Yes",0,0,0,"straight","Yes",2,"No","No","No",0,0,0,0,0,0,0,0,0,"Yes - I would",0,"Neutral","Yes","January","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",1
"Female","Female","White","Yes","No",5,0,3,"bi","Some do",13,"No","Yes","No",5,5,5,0,0,2,0,8,4,"Yes - I already have",4,"Always Legal","Yes","October","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","Black","Yes","Yes",7,2,0,"straight","Yes",10,"No","Yes","No",10,10,0,5,5,11,3,10,10,"Yes - I already have",3,"Always Legal","No","August","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","funeral",1
"Male","Male","White","Yes","Yes",0,7,5,"straight","Yes",5,"No","No","No",3,2,9,0,0,1,1,7,6,"Yes - I already have",3,"Always Legal","No","May","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Uncertain",6,3,5,"straight","Yes",5,"No","No","No",8,7,2,2,2,0,0,4,7,"Unsure",3,"Illegal most of the time","No","March","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Male","Male","Other","Yes","No",1,8,7,"straight","Yes",7,"No","No","No",4,4,6,0,0,1,1,6,7,"Yes - I already have",2,"Always Legal","Yes","June","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",2
"Female","Female","White","Yes","No",2,1,3,"straight","Yes",5,"No","Yes","Yes",8,7,3,0,0,1,2,9,9,"Yes - I already have",3,"Always Legal","No","September","Under","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",1
"Male","Male","White","Yes","No",0,1,4,"gay/lesbian","Yes",17,"No","No","No",5,3,5,0,0,0,0,8,6,"Yes - I would",3,"Always Legal","No","May","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","Hispanic","Yes","No",8,3,5,"straight","Yes",5,"No","No","No",5,5,3,2,2,0,0,0,8,"Unsure",4,"Illegal most of the time","No","June","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","wedding",1
"Female","Female","Black","Yes","Uncertain",3,5,5,"straight","Yes",12,"No","No","No",8,9,0,2,2,3,1,10,5,"Yes - I already have",2,"Always Legal","No","August","No preference","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","White","Yes","Yes",5,6,9,"straight","Yes",8,"No","No","No",5,5,3,0,0,3,1,8,6,"Yes - I already have",3,"Illegal most of the time","No","February","Under","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","wedding",2
