"gender","genderID","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","callParents","socialMedia","texts","goodOrWell","expectedIncome","indepVsRespect","curiosityVsManners","selfRelianceVsObedience","considerateVsWellBehaved","primary","president","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career"
"Male","Male","No","Medium City","Asian","Atheist",0,35,3.9,7,10,1,2,"16","high school",2,"5",15,5,80,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Gary Johnson",4,"Republican",5,9,0,90,6
"Male","Male","No","Medium City","Asian","Hindu",7,30,3.9,5,5,1,1,"16","high school",2,"1",2,5,150,"respect for their elders","good manners","obedience","being considerate","Marco Rubio","Unsure",3,"Republican",5,8,0,100,8
"Female","Female","No","Big City","Asian","Religious but not one of the above",0,32,3.9,0,0,0,0,"still waiting","kindergarten",2,"3",0,5,20,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Unsure",6,"Other",4,8,15,40,7
"Male","Male","Yes","Big City Subrub","White","Atheist",0,35,3.1,5,10,1,1,"13","college",1,"1",8,8,100,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",3,"Democratic",9,9,25,100,3
"Male","Male","No","Big City Subrub","Asian","Christian",5,34,4,0,0,0,1,"16","high school",7,"1",10,7,200,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",4,"Independent",8,9,0,100,4
"Male","Male","No","Big City Subrub","Other","Christian",5,28,3.9,0,0,10,4,"14","middle school",0,"0",1,9,140,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Donald Trump",6,"Other",6,4,0,10,10
"Male","Male","No","Big City","Asian","Religious but not one of the above",0,27,3.8,0,0,0,1,"still waiting","high school",1,"6",5,8,20,"independence","good manners","self-reliance","being considerate","Other","Other",5,"Other",3,8,0,100,2
"Male","Male","No","Big City Subrub","White","Christian",3,34,3.9,10,15,1,1,"13","middle school",3,"1",2,8,90,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",3,8,0,80,7
"Male","Male","No","Big City Subrub","Asian","Christian",3,32,3.6,4,0,1,1,"15","high school",0,"3",4,6,200,"respect for their elders","good manners","self-reliance","being considerate","Marco Rubio","Unsure",6,"Other",5,9,0,100,3
"Male","Male","No","Big City Subrub","Asian","Hindu",2,34,3.9,10,30,0,1,"9","college",2,"8",15,8,350,"respect for their elders","curiosity","self-reliance","being considerate","John Kacich","Gary Johnson",5,"Independent",3,6,0,80,8
"Female","Female","No","Big City Subrub","White","Christian",4,32,3.8,7,7,1,2,"15","high school",6,"4",11,7,200,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Independent",4,6,15,40,9
"Female","Female","No","Big City","Asian","Religious but not one of the above",1,30,3.4,2,0,0,1,"17","middle school",2,"2",7,6,300,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Other",7,7,0,100,5
"Male","Male","No","Big City Subrub","White","Atheist",0,32,3,15,15,26,1,"13","college",1,"1",5,7,120,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",2,"Democratic",5,7,0,100,9
"Female","Female","No","Medium City","Asian","Buddhist",6,25,3.6,1,0,0,0,"still waiting","college",1,"2",3,8,200,"independence","good manners","self-reliance","well-behaved","Unsure","Unsure",1,"Democratic",6,8,10,100,4
"Male","Male","Yes","Big City Subrub","White","Christian",4,31,3,5,3,4,1,"14","college",5,"1",4,3,80,"independence","curiosity","self-reliance","being considerate","John Kacich","Hillary Clinton",2,"Democratic",1,9,0,90,2
"Male","Female","No","Medium City","Other","Agnostic",0,32,3,2,4,0,0,"still waiting","college",4,"1",3,7,200,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",8,"Democratic",7,5,15,70,10
"Male","Male","No","Big City","Asian","Buddhist",4,30,3.7,5,0,0,0,"still waiting","college",4,"7",0,5,200,"independence","curiosity","self-reliance","being considerate","Donald Trump","Gary Johnson",0,"Other",10,4,0,100,5
"Female","Female","No","Medium City","Asian","Atheist",0,29,4,0,0,0,0,"still waiting","middle school",2,"3",3,5,120,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",5,"Democratic",6,10,0,100,9
"Female","Female","No","Big City","Asian","Agnostic",1,30,3.9,0,0,0,0,"still waiting","kindergarten",1,"1",0,6,100,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",1,"Other",7,7,10,100,5
"Female","Female","No","Big City Subrub","Asian","Hindu",4,34,4,0,0,0,0,"still waiting","college",4,"1",7,6,200,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",5,6,0,100,0
"Female","Female","Yes","Big City Subrub","White","Jewish",2,25,3.2,5,8,6,0,"16","college",5,"1",10,4,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",6,6,0,20,2
"Male","Male","No","Big City Subrub","Asian","Hindu",7,32,3.7,0,0,0,0,"still waiting","middle school",5,"2",3,7,250,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Other",6,"Independent",8,10,0,100,8
"Male","Male","No","Big City","Other","Atheist",0,29,3.5,1,2,8,1,"19","college",3,"2",5,9,200,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",3,7,0,100,0
"Male","Male","No","Big City","Asian","Agnostic",1,28,2.5,1,1,50,1,"22","kindergarten",2,"1",3,5,99999,"respect for their elders","curiosity","self-reliance","being considerate","Other","Other",5,"Other",9,7,0,90,9
"Female","Female","No","Medium City","White","Jewish",2,31,4,10,10,1,0,"19","college",3,"4",6,5,80,"independence","curiosity","self-reliance","being considerate","Unsure","Donald Trump",3,"Democratic",6,10,0,100,5
"Male","Male","No","Big City Subrub","Asian","Atheist",0,30,3.8,1,0,1,1,"17","high school",4,"3",3,8,2000,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Other",3,5,0,100,1
"Male","Male","No","Big City Subrub","Asian","Christian",8,28,3.8,0,0,0,0,"still waiting","lower grades",2,"2",10,5,10000,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Republican",5,7,0,50,7
"Female","Female","No","Big City Subrub","Asian","Religious but not one of the above",6,29,3.7,0,1,4,4,"13","college",0,"4",15,5,100,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Other",7,7,0,20,7
"Female","Female","No","Medium City","Asian","Religious but not one of the above",0,13,3.7,3,0,1,1,"19","high school",2,"3",3,8,100,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",2,"Other",5,9,0,100,3
"Female","Female","No","Big City","Asian","Atheist",0,33,3.9,4,0,0,0,"still waiting","high school",10,"3",7,8,10000,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Unsure",5,"Other",5,9,0,90,7
"Female","Female","No","Big City Subrub","White","Christian",6,27,2.9,15,30,0,0,"18","high school",1,"10 or more",10,7,200,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",6,"Other",3,10,10,70,0
"Female","Female","No","Big City Subrub","Asian","Christian",3,26,3.6,20,5,6,0,"16","college",2,"10 or more",4,6,94,"independence","good manners","self-reliance","being considerate","Unsure","Hillary Clinton",5,"Other",5,6,0,0,7
"Female","Female","No","Big City","Asian","Religious but not one of the above",2,34,3.5,3,0,0,0,"still waiting","middle school",2,"10 or more",3,5,50,"independence","good manners","self-reliance","well-behaved","Unsure","Unsure",3,"Other",5,7,0,90,4
"Male","Male","No","Big City","Asian","Atheist",0,33,3.9,2,0,0,1,"18","college",1,"2",3,9,500,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",5,"Other",6,10,0,100,8
"Female","Female","No","Big City Subrub","Asian","Atheist",0,14,3.5,16,5,1,1,"17","college",2,"2",4,0,500,"independence","curiosity","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",3,"Independent",6,4,20,30,1
"Male","Male","No","Big City Subrub","White","Agnostic",1,30,3.1,5,10,1,1,"15","college",5,"3",5,7,90,"independence","curiosity","self-reliance","being considerate","John Kacich","Unsure",5,"Other",4,9,0,70,7
"Male","Male","No","Big City Subrub","White","Muslim",0,28,3.1,10,10,25,3,"15","college",6,"3",12,10,10000,"respect for their elders","curiosity","self-reliance","well-behaved","Bernie Sanders","Gary Johnson",4,"Democratic",5,7,0,90,4
"Male","Male","No","Big City Subrub","Asian","Agnostic",1,34,2.8,4,5,0,0,"19","college",1,"1",3,3,90,"independence","curiosity","self-reliance","being considerate","Unsure","Gary Johnson",5,"Democratic",7,6,0,100,10
"Male","Male","No","Big City Subrub","White","Jewish",7,34,3.3,0,0,0,0,"still waiting","lower grades",4,"2",3,9,80,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",5,9,0,90,2
"Female","Female","No","Big City Subrub","Asian","Atheist",0,33,3.8,0,0,0,0,"still waiting","high school",0,"2",3,6,200,"independence","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",5,"Other",6,8,0,100,6
"Male","Male","No","Medium City","Asian","Agnostic",0,34,3.7,0,0,0,0,"still waiting","high school",2,"1",3,3,1000,"independence","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",4,"Independent",6,10,0,100,10
"Male","Male","No","Small Town","White","Christian",3,30,3.3,18,36,12,1,"11","college",1,"3",4,9,150,"respect for their elders","good manners","self-reliance","being considerate","Unsure","Unsure",5,"Other",3,8,0,50,5
"Female","Female","Yes","Big City Subrub","White","Christian",8,32,3.3,8,10,1,2,"16","high school",1,"4",5,7,150,"independence","curiosity","self-reliance","being considerate","John Kacich","Jill Stein",5,"Libertarian",7,9,0,100,6
"Female","Female","No","Medium City","Asian","Buddhist",5,30,3.4,5,0,0,6,"9","high school",6,"5",5,6,500,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Unsure",5,"Republican",5,8,10,40,5
"Male","Male","Yes","Big City Subrub","Asian","Hindu",5,31,4,7,0,1,2,"16","college",7,"5",3,10,300,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Gary Johnson",3,"Democratic",5,3,0,70,10
"Female","Female","No","Big City","Asian","Agnostic",0,30,4,1,0,0,0,"still waiting","college",2,"1",2,6,240,"respect for their elders","good manners","self-reliance","well-behaved","Other","Other",6,"Democratic",4,10,5,80,10
"Male","Male","No","Small Town","Asian","Christian",1,28,2.5,1,3,1,0,"21","high school",1,"2",4,3,100,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",5,"Republican",3,6,0,100,4
"Female","Female","Yes","Big City Subrub","Other","Religious but not one of the above",6,29,3.8,3,5,6,4,"14","college",0,"2",3,5,90,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",5,9,10,20,10
"Female","Female","No","Small Town","Asian","Christian",8,24,3,8,11,1,0,"18","college",4,"3",7,4,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Unsure",5,"Independent",5,10,0,100,2
"Female","Female","No","Small Town","Asian","Religious but not one of the above",8,31,4,1,0,0,0,"still waiting","high school",1,"1",4,7,100,"respect for their elders","good manners","obedience","well-behaved","John Kacich","Hillary Clinton",1,"Independent",5,10,0,100,6
"Female","Female","No","Big City Subrub","Asian","Religious but not one of the above",2,20,3.9,0,0,0,2,"14","college",2,"2",2,5,1000,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Other",5,"Independent",5,8,10,90,7
"Male","Male","Yes","Medium City","Asian","Christian",4,31,3.6,2,3,2,2,"17","college",1,"2",3,10,1000,"independence","curiosity","self-reliance","being considerate","Donald Trump","Donald Trump",8,"Republican",5,9,15,70,9
"Female","Female","No","Big City","Asian","Atheist",0,34,3.9,2,3,2,2,"16","college",3,"4",5,5,200,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",3,"Independent",4,6,0,100,10
"Female","Female","No","Big City Subrub","White","Atheist",0,33,4,0,0,0,0,"still waiting","kindergarten",1,"3",3,6,90,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Gary Johnson",3,"Independent",8,8,0,100,5
"Male","Male","No","Big City Subrub","Asian","Religious but not one of the above",2,33,3.8,1,1,0,0,"still waiting","lower grades",7,"2",5,2,10,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",5,"Democratic",4,8,0,80,6
"Male","Male","Yes","Small Town","Other","Christian",5,26,3.4,4,4,4,3,"19","high school",15,"9",9,5,6,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",1,"Democratic",1,7,15,20,4
"Male","Male","No","Medium City","Other","Agnostic",0,24,2.1,0,0,0,0,"still waiting","high school",0,"1",1,10,70,"respect for their elders","good manners","obedience","being considerate","Hillary Clinton","Hillary Clinton",4,"Democratic",2,8,10,0,7
"Male","Male","Yes","Big City Subrub","Asian","Hindu",4,31,3.2,3,5,1,0,"17","high school",6,"5",7,7,75,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",5,"Democratic",5,3,0,90,7
"Female","Female","Yes","Big City Subrub","Other","Religious but not one of the above",5,26,3.8,6,5,2,1,"14","college",1,"4",15,5,80,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",5,"Democratic",5,8,0,0,5
"Female","Female","No","Big City Subrub","Asian","Agnostic",2,28,3.7,1,0,7,2,"16","lower grades",2,"2",5,2,20,"respect for their elders","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",6,"Democratic",7,5,5,100,7
"Male","Male","No","Big City Subrub","Asian","Buddhist",7,31,3.7,5,1,2,1,"18","high school",1,"2",10,7,100,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",6,"Other",3,8,0,100,3
"Male","Male","No","Big City Subrub","Other","Atheist",1,34,3.9,1,0,0,0,"still waiting","college",4,"3",10,0,250,"respect for their elders","good manners","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",2,"Democratic",2,8,0,100,9
"Male","Male","No","Big City Subrub","Asian","Hindu",0,34,3.9,1,5,1,1,"13","high school",6,"1",20,1,75,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",3,"Democratic",5,10,0,50,5
"Male","Male","No","Medium City","White","Agnostic",0,32,4,0,0,0,0,"still waiting","high school",2,"3",4,7,120,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",1,"Democratic",7,6,0,50,8
"Male","Male","No","Medium City","Asian","Muslim",5,35,3.5,0,0,1,3,"13","high school",15,"1",10,7,2000,"respect for their elders","curiosity","self-reliance","well-behaved","Bernie Sanders","Hillary Clinton",1,"Democratic",3,8,0,100,8
"Male","Male","No","Big City","Asian","Atheist",0,30,3.9,0,0,2,3,"still waiting","high school",1,"1",2,5,50,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",6,"Independent",4,7,0,100,6
"Male","Male","Yes","Big City Subrub","Other","Agnostic",4,27,2.2,3,5,2,2,"14","college",5,"3",3,7,100,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",2,"Democratic",5,6,0,0,8
"Female","Male","No","Big City","Asian","Agnostic",3,29,3.7,3,3,2,2,"16","high school",3,"5",5,5,500,"independence","good manners","self-reliance","being considerate","Unsure","Hillary Clinton",5,"Independent",5,5,0,80,5
"Male","Male","No","Big City","Asian","Buddhist",2,30,3.2,1,0,0,0,"still waiting","middle school",3,"1",3,5,100,"independence","good manners","self-reliance","being considerate","Unsure","Unsure",4,"Other",8,3,0,100,3
"Female","Female","No","Big City","Asian","Atheist",0,33,3.4,6,6,15,0,"18","college",3,"4",10,5,100,"respect for their elders","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",0,"Democratic",8,7,10,70,7
"Male","Male","Yes","Big City","Other","Christian",5,27,2.9,5,10,17,2,"15","college",7,"2",7,10,500,"respect for their elders","good manners","obedience","well-behaved","Hillary Clinton","Hillary Clinton",7,"Democratic",10,9,0,100,9
"Female","Female","No","Big City","Asian","Buddhist",5,32,3.8,0,0,0,0,"still waiting","lower grades",5,"2",5,7,500,"respect for their elders","good manners","self-reliance","well-behaved","Unsure","Hillary Clinton",5,"Other",4,8,0,80,3
"Male","Male","No","Big City","Asian","Atheist",0,31,4,8,0,0,1,"12","high school",2,"1",5,10,200,"independence","good manners","self-reliance","well-behaved","Donald Trump","Donald Trump",0,"Other",4,7,0,100,10
"Female","Female","No","Big City","Asian","Buddhist",6,28,3.8,0,0,1,1,"18","college",3,"2",3,5,10,"independence","curiosity","self-reliance","being considerate","Unsure","Unsure",4,"Other",3,8,0,100,8
"Male","Male","No","Medium City","Asian","Hindu",4,33,3.7,0,0,0,0,"still waiting","kindergarten",7,"3",10,7,100,"respect for their elders","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",4,9,0,100,5
"Male","Male","No","Big City","Asian","Christian",3,31,3.5,0,2,8,0,"still waiting","middle school",2,"1",2,7,1000,"respect for their elders","curiosity","self-reliance","well-behaved","Unsure","Unsure",7,"Other",5,7,0,100,10
"Female","Female","Yes","Medium City","White","Religious but not one of the above",3,26,3.2,9,20,7,0,"13","college",7,"2",6,8,100,"respect for their elders","good manners","obedience","well-behaved","Unsure","Unsure",3,"Democratic",6,10,15,60,0
"Male","Male","No","Big City","Asian","Atheist",2,28,3.5,0,0,1,3,"16","high school",3,"4",3,3,1000,"respect for their elders","good manners","obedience","being considerate","Unsure","Unsure",5,"Other",5,8,0,100,5
"Male","Male","No","Big City Subrub","Asian","Atheist",3,31,4,4,4,0,1,"18","college",2,"4",4,10,10000,"independence","curiosity","self-reliance","being considerate","Unsure","Donald Trump",5,"Green",7,7,10,100,0
"Male","Male","No","Medium City","White","Christian",5,27,3.9,0,2,1,1,"19","college",7,"1",2,10,200,"respect for their elders","good manners","obedience","well-behaved","Marco Rubio","Hillary Clinton",6,"Libertarian",4,10,10,60,6
"Female","Female","No","Big City Subrub","Asian","Hindu",3,33,3,2,0,0,0,"still waiting","kindergarten",10,"3",4,8,150,"respect for their elders","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",4,"Democratic",3,8,0,100,8
"Male","Male","No","Big City","Asian","Atheist",0,34,3.8,2,2,2,2,"15","college",2,"4",10,5,60,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",4,"Other",8,8,0,100,3
"Female","Female","No","Big City","Asian","Agnostic",0,32,3.8,4,0,0,0,"still waiting","college",2,"3",5,8,800,"independence","good manners","self-reliance","being considerate","Unsure","Donald Trump",5,"Democratic",2,8,0,100,3
"Female","Female","Yes","Big City Subrub","White","Christian",6,31,3.5,10,5,1,1,"16","college",3,"4",15,8,200,"respect for their elders","good manners","obedience","being considerate","Bernie Sanders","Unsure",3,"Independent",3,9,5,100,5
"Male","Male","No","Big City Subrub","Asian","Hindu",5,34,3.6,2,0,0,0,"still waiting","kindergarten",15,"2",10,10,1000,"independence","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",5,"Other",6,9,0,70,5
"Male","Male","No","Big City","Asian","Atheist",2,29,3.7,5,0,0,0,"still waiting","high school",6,"1",10,4,500,"respect for their elders","good manners","obedience","well-behaved","Unsure","Unsure",5,"Democratic",5,9,0,100,7
"Male","Male","Yes","Big City","White","Jewish",0,29,3.8,12,35,10,0,"13","college",7,"4",10,10,1500,"independence","curiosity","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",3,"Democratic",4,4,10,100,10
"Male","Male","Yes","Big City Subrub","White","Christian",2,23,3.2,15,10,0,0,"18","college",3,"10 or more",7,7,80,"independence","curiosity","self-reliance","being considerate","John Kacich","Hillary Clinton",5,"Independent",5,8,15,0,10
"Male","Male","Yes","Big City Subrub","White","Atheist",0,36,3.6,5,15,1,1,"20","college",2,"1",4,7,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",8,"Independent",4,7,0,100,3
"Male","Male","No","Big City","Asian","Buddhist",8,32,3.8,0,5,2,1,"20","lower grades",5,"1",8,5,1000,"respect for their elders","good manners","self-reliance","being considerate","Donald Trump","Donald Trump",8,"Other",6,4,0,100,8
"Male","Male","Yes","Big City Subrub","Other","Jewish",0,27,3.8,1,0,2,6,"15","high school",4,"4",7,3,10,"independence","curiosity","obedience","well-behaved","Hillary Clinton","Donald Trump",3,"Republican",2,3,10,50,9
"Male","Male","No","Big City","Other","Agnostic",0,23,3,16,14,5,1,"16","college",1,"4",3,0,160,"independence","good manners","self-reliance","well-behaved","Bernie Sanders","Jill Stein",0,"Other",8,10,15,10,3
"Female","Female","No","Medium City","Asian","Christian",7,32,3.9,0,0,0,0,"17","high school",3,"2",5,8,10,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Hillary Clinton",5,"Republican",4,10,0,100,8
"Female","Female","Yes","Big City Subrub","White","Christian",1,29,3.8,12,20,4,2,"13","college",0,"5",10,8,75,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",3,"Democratic",7,9,0,10,5
"Female","Female","No","Big City","Asian","Agnostic",3,13,3.1,4,1,0,5,"10","middle school",1,"5",2,5,10000,"independence","good manners","self-reliance","being considerate","Hillary Clinton","Donald Trump",4,"Independent",4,10,0,90,2
"Male","Male","Yes","Medium City","White","Atheist",0,28,2.7,8,20,3,1,"13","college",3,"1",10,7,100,"independence","curiosity","self-reliance","well-behaved","Bernie Sanders","Unsure",4,"Democratic",7,9,0,100,7
"Female","Female","No","Big City Subrub","White","Christian",4,27,2.9,5,8,0,0,"16","high school",3,"2",5,5,350,"respect for their elders","curiosity","self-reliance","being considerate","Unsure","Unsure",3,"Other",8,10,10,100,0
"Male","Male","No","Big City","White","Christian",4,30,3.6,1,0,0,1,"17","high school",6,"3",3,8,250,"respect for their elders","good manners","self-reliance","being considerate","Ted Cruz","Donald Trump",7,"Independent",6,9,10,80,8
"Male","Male","No","Medium City","Asian","Atheist",1,25,3.8,0,0,1,2,"20","middle school",1,"5",3,9,1000,"respect for their elders","good manners","self-reliance","being considerate","Hillary Clinton","Donald Trump",6,"Other",5,8,0,100,5
"Male","Male","No","Big City","White","Christian",6,28,3.6,0,0,0,0,"still waiting","middle school",2,"4",2,5,100,"respect for their elders","good manners","obedience","well-behaved","Donald Trump","Donald Trump",10,"Independent",5,8,0,100,7
"Male","Male","No","Big City","White","Atheist",0,29,2.8,4,4,4,1,"16","college",1,"1",5,7,100,"independence","curiosity","self-reliance","being considerate","Bernie Sanders","Hillary Clinton",0,"Democratic",4,10,0,100,2
"Male","Male","No","Big City","Asian","Buddhist",3,33,3.6,5,10,1,1,"19","middle school",2,"2",3,7,50,"independence","good manners","self-reliance","well-behaved","Unsure","Unsure",5,"Other",6,9,0,40,9
"Female","Female","No","Small Town","Other","Christian",3,33,3.5,5,3,6,2,"15","college",5,"4",3,5,480,"respect for their elders","curiosity","self-reliance","well-behaved","Unsure","Unsure",5,"Other",7,10,0,0,8
"Female","Female","No","Big City Subrub","Asian","Agnostic",0,25,3.4,5,2,1,4,"14","kindergarten",4,"6",3,6,50,"independence","good manners","self-reliance","being considerate","Bernie Sanders","Unsure",3,"Other",6,6,5,30,4
"Male","Male","No","Big City Subrub","Asian","Agnostic",0,32,3,0,0,0,0,"15","high school",0,"1",0,10,100,"independence","curiosity","self-reliance","being considerate","Unsure","Hillary Clinton",4,"Democratic",7,6,0,100,8
"Female","Female","No","Medium City","Asian","Hindu",4,34,3.9,6,0,0,0,"still waiting","college",7,"2",10,8,200,"independence","good manners","self-reliance","well-behaved","Hillary Clinton","Hillary Clinton",2,"Democratic",4,10,0,100,7
"Female","Female","No","Medium City","Asian","Atheist",0,32,3.9,4,0,1,1,"16","college",2,"2",10,8,200,"independence","curiosity","self-reliance","being considerate","Donald Trump","Donald Trump",5,"Other",7,8,0,100,7
"Female","Female","No","Big City","Asian","Atheist",2,28,3.9,7,0,0,0,"still waiting","middle school",1,"2",8,5,100,"independence","good manners","obedience","well-behaved","Unsure","Unsure",6,"Other",6,8,0,100,6
"Female","Female","Yes","Medium City","White","Christian",4,26,3.7,18,26,20,2,"13","college",2,"3",10,10,100,"independence","good manners","self-reliance","being considerate","Donald Trump","Donald Trump",7,"Republican",2,7,0,0,3
