"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","vote","politicalParty","president","workHr","tuition"
"female","no","big city suburb","Black","Christian",7,21,2.5,10,10,5,6,"yes",6,5,5,5,10,"Democrat","Obama",0,60
"female","no","big city suburb","Hispanic","Agnostic",0,26,2.7,4,0,1,0,"yes",4,5,6,4,10,"Other","Obama",30,0
"female","yes","small town","White","Christian",7,23,3.1,25,30,5,0,"yes",3,5,5,3,5,"Democrat","Undecided",0,80
"female","yes","big city suburb","White","Jewish",7,28,3.5,14,10,1,5,"no",5,3,5,5,10,"Democrat","Obama",0,100
"male","no","big city","Asian","Atheist",2,25,3.3,3,0,8,5,"no",0,4,4,10,5,"Other","Obama",0,100
"female","yes","big city suburb","Mixed","Christian",4,29,3.7,6,4,1,1,"no",5,5,8,5,8,"Other","Obama",0,100
"male","no","big city suburb","Mixed","Christian",4,29,2.8,10,10,1,1,"no",5,5,7,3,9,"Republican","Obama",35,50
"male","no","big city suburb","Asian","Agnostic",1,27,3.1,2,0,0,10,"yes",6,5,5,2,2,"Other","Undecided",0,0
"female","no","big city suburb","Hispanic","Christian",4,28,3.2,10,12,4,4,"yes",0,2,6,0,10,"Democrat","Obama",10,20
"female","no","big city","Mixed","Agnostic",0,27,2.5,2,4,1,3,"yes",0,5,6,4,2,"Other","Not Voting",10,20
"male","yes","big city suburb","White","Jewish",2,24,3.5,12,30,3,2,"no",1,3,5,3,10,"Democrat","Obama",0,90
"male","no","medium city","Asian","Muslim",7,34,4,5,0,0,10,"no",9,2,5,5,8,"Democrat","Obama",0,80
"male","yes","big city suburb","White","Christian",6,25,3.5,10,13,1,10,"no",1,7,7,8,10,"Republican","Romney",0,90
"female","yes","big city suburb","White","Christian",9,25,3,5,4,0,10,"no",10,7,7,0,10,"Republican","Romney",15,50
"female","no","small town","White","Christian",9,26,3.7,0,0,0,8,"no",8,7,9,5,9,"Republican","Romney",5,20
"female","no","big city","Black","Other Religion",2,22,2.1,6,2,2,5,"no",3,1,5,3,9,"Democrat","Obama",15,10
"female","yes","big city suburb","White","Christian",7,27,3.3,5,40,21,10,"no",9,9,8,5,10,"Republican","Romney",5,60
"female","no","big city suburb","Hispanic","Other Religion",5,19,3.9,24,0,0,0,"no",10,5,5,0,10,"Democrat","Obama",0,50
"female","yes","big city suburb","White","Jewish",3,23,3.5,9,6,8,1,"no",4,2,4,2,10,"Democrat","Obama",0,100
"female","yes","medium city","White","Christian",2,25,3.3,7,5,0,0,"no",3,3,2,5,0,"Democrat","Not Voting",5,90
"female","no","big city suburb","White","Christian",7,26,3.7,6,4,1,0,"no",2,6,7,10,3,"Republican","Romney",15,90
"female","no","big city suburb","Asian","Agnostic",4,28,2.9,30,6,2,0,"no",0,3,4,4,2,"Democrat","Not Voting",0,80
"male","no","medium city","White","Christian",6,22,3.4,24,45,1,5,"no",5,10,6,10,10,"Republican","Romney",0,100
"female","no","big city","Black","Christian",7,27,3.1,13,6,4,5,"no",7,3,5,10,10,"Democrat","Obama",25,0
"female","no","big city","Mixed","Christian",4,22,2.8,7,6,4,0,"no",5,1,5,4,10,"Democrat","Obama",15,0
"female","no","small town","White","Christian",0,21,3.3,0,0,3,0,"no",0,8,8,0,0,"Republican","Not Voting",0,0
"male","no","big city suburb","Asian","Hindu",10,33,3,3,0,1,0,"no",0,3,3,9,8,"Democrat","Obama",0,100
"female","yes","big city suburb","White","Christian",4,30,2.8,17,25,5,3,"yes",4,7,6,5,7,"Republican","Romney",0,90
"male","no","small town","White","Christian",7,30,3.2,15,18,0,8,"no",9,8,10,6,9,"Republican","Romney",0,20
"female","no","big city suburb","White","Atheist",0,27,3.6,14,20,8,0,"yes",0,6,7,5,0,"Other","Not Voting",10,10
"female","no","small town","White","Christian",8,20,3.6,2,0,0,9,"no",10,8,8,8,10,"Republican","Romney",0,80
"female","no","big city suburb","White","Christian",5,21,3.4,5,7,5,1,"no",2,1,4,1,0,"Other","Not Voting",5,70
"male","no","small town","Hispanic","Christian",5,27,3.2,8,8,0,4,"no",10,5,5,5,0,"Other","Not Voting",0,0
"male","no","big city suburb","Mixed","Atheist",0,26,3.3,9,15,33,10,"no",3,5,5,10,0,"Other","Not Voting",20,100
"male","no","big city","Black","Other Religion",0,19,3.5,7,0,0,9,"no",3,3,3,1,10,"Democrat","Obama",10,70
"male","no","big city","Black","Christian",7,18,3,3,0,1,8,"no",9,5,3,5,8,"Other","Undecided",20,0
"male","no","small town","White","Christian",6,28,3.7,4,10,5,5,"no",9,8,5,7,7,"Republican","Romney",30,40
"female","no","big city suburb","Asian","Atheist",5,28,3.4,2,2,0,1,"no",7,5,7,5,0,"Other","Not Voting",15,100
"female","no","medium city","White","Christian",8,29,3.4,5,1,0,1,"no",9,5,7,7,0,"Other","Not Voting",0,30
"female","no","medium city","Mixed","Christian",5,29,3.5,7,3,1,0,"no",3,3,5,5,10,"Democrat","Obama",10,60
"female","yes","small town","White","Christian",8,24,3.4,23,15,0,0,"no",5,9,10,0,10,"Republican","Romney",0,100
"male","no","medium city","White","Christian",7,21,4,0,0,14,1,"yes",1,3,3,5,10,"Other","Obama",40,0
"male","no","big city suburb","Hispanic","Atheist",0,24,2.9,8,6,5,0,"no",0,2,5,6,8,"Democrat","Obama",0,70
"female","no","medium city","White","Agnostic",4,28,3.8,5,2,2,0,"no",0,2,5,0,10,"Democrat","Obama",0,50
"female","no","big city suburb","Black","Christian",4,30,3.4,8,8,2,6,"no",0,3,4,7,10,"Democrat","Obama",0,100
"female","no","big city suburb","White","Other Religion",2,22,3.4,0,0,25,8,"no",0,5,8,6,9,"Other","Romney",0,10
"male","no","small town","Hispanic","Christian",1,27,2.7,2,2,0,1,"no",2,2,2,6,10,"Democrat","Obama",5,0
"female","no","big city suburb","White","Christian",8,28,3.3,14,19,5,5,"no",9,10,9,9,8,"Republican","Romney",15,100
"male","no","big city suburb","Black","Christian",4,22,3.5,8,5,6,4,"no",6,4,4,7,10,"Democrat","Obama",10,0
"female","yes","big city suburb","White","Christian",9,25,3.3,15,5,0,7,"no",10,8,5,2,5,"Republican","Romney",0,80
"male","no","small town","Mixed","Christian",8,24,2.8,12,12,5,3,"no",5,4,5,3,10,"Democrat","Obama",20,50
"female","no","medium city","White","Atheist",0,24,3.3,3,7,0,0,"no",0,2,6,0,10,"Democrat","Obama",35,80
"female","no","big city suburb","White","Other Religion",5,25,3.4,4,1,0,0,"no",0,3,5,5,5,"Democrat","Obama",10,50
"female","yes","big city suburb","White","Christian",4,24,3.9,6,7,2,0,"no",0,3,4,8,0,"Democrat","Not Voting",0,30
"female","no","big city","Hispanic","Other Religion",4,20,3.4,5,3,2,1,"no",0,0,10,7,0,"Republican","Not Voting",15,0
"female","no","big city suburb","Mixed","Agnostic",0,26,2.8,10,16,8,5,"no",2,2,4,0,0,"Democrat","Obama",0,80
"male","no","big city suburb","White","Christian",6,31,3.8,12,35,9,0,"yes",2,3,3,5,9,"Democrat","Obama",0,100
"female","no","big city","White","Christian",2,25,3.4,8,5,0,5,"no",2,7,6,9,10,"Republican","Romney",0,100
"female","no","big city suburb","White","Agnostic",0,30,3.2,10,13,0,0,"yes",4,4,4,5,6,"Other","Obama",0,100
"female","no","big city","Asian","Christian",5,25,2.5,0,0,1,5,"no",2,6,4,5,5,"Democrat","Obama",0,100
"female","no","big city suburb","White","Christian",10,29,3.5,5,0,0,10,"no",9,10,10,1,10,"Republican","Romney",0,100
"male","no","big city suburb","Mixed","Christian",7,21,3.2,0,0,0,10,"no",10,5,5,5,5,"Democrat","Undecided",0,10
"female","no","big city suburb","Asian","Christian",8,25,3.4,0,0,0,8,"no",9,7,7,6,5,"Other","Undecided",15,10
"male","no","big city","Asian","Christian",6,21,3.5,0,0,0,5,"no",8,5,7,5,0,"Democrat","Not Voting",5,0
"female","no","big city suburb","White","Christian",7,24,2.6,10,9,1,1,"no",0,2,4,3,10,"Democrat","Obama",5,90
"female","no","small town","Black","Christian",8,22,3.5,1,0,0,10,"no",10,5,5,10,10,"Republican","Obama",5,10
"female","no","medium city","White","Christian",8,28,3.2,6,6,3,0,"no",0,5,5,5,8,"Other","Obama",0,10
"female","yes","big city suburb","Mixed","Jewish",4,29,3.6,8,6,2,3,"no",1,3,4,5,7,"Democrat","Obama",0,100
"female","yes","big city suburb","White","Christian",7,28,3.8,11,12,1,0,"no",3,5,6,8,2,"Other","Undecided",0,100
"female","yes","big city suburb","Hispanic","Christian",6,25,3.3,13,12,0,0,"no",0,3,4,0,10,"Democrat","Obama",10,60
"male","no","big city suburb","Hispanic","Agnostic",4,24,3.6,2,0,0,3,"no",8,7,6,6,6,"Democrat","Undecided",10,20
"female","no","big city","Black","Christian",8,27,3.2,4,0,6,2,"no",3,1,4,5,10,"Democrat","Obama",20,0
"male","yes","big city","White","Jewish",5,26,3,14,12,3,3,"no",1,3,5,8,6,"Democrat","Obama",0,90
"female","no","medium city","White","Christian",2,29,3.2,20,20,10,0,"yes",0,3,5,0,2,"Democrat","Undecided",30,100
"male","no","big city suburb","Black","Other Religion",3,21,2.9,3,0,7,0,"no",0,3,3,0,10,"Democrat","Obama",0,100
"female","yes","big city suburb","White","Christian",4,31,4,10,8,4,8,"no",0,4,3,9,2,"Other","Not Voting",0,100
"female","no","big city","White","Christian",5,30,3.5,4,2,3,0,"no",0,0,5,8,0,"Other","Not Voting",0,10
"male","no","big city suburb","Asian","Agnostic",2,33,3.3,14,25,2,0,"no",4,4,4,7,7,"Other","Obama",0,0
"female","no","small town","White","Agnostic",2,30,3.3,10,12,0,0,"yes",0,3,3,1,3,"Other","Obama",10,10
"female","no","big city","Black","Christian",2,19,2.8,4,2,8,0,"no",0,3,5,5,8,"Democrat","Obama",0,0
"male","yes","big city suburb","White","Christian",2,27,3,5,10,5,5,"yes",0,3,3,8,10,"Democrat","Obama",0,60
"female","no","big city suburb","White","Christian",8,26,3.8,5,4,1,1,"no",3,5,4,0,2,"Democrat","Undecided",0,80
"female","no","big city","Asian","Agnostic",2,20,2.6,2,0,0,2,"no",5,5,5,2,7,"Democrat","Obama",10,20
"male","yes","small town","White","Muslim",3,26,3.6,13,30,17,3,"no",0,3,5,3,2,"Democrat","Obama",0,30
"male","yes","small town","White","Christian",9,27,3.8,4,8,0,5,"no",5,2,8,1,10,"Democrat","Obama",10,50
"male","no","big city","Hispanic","Agnostic",0,23,2.4,3,1,1,2,"no",0,3,6,7,5,"Democrat","Obama",0,10
"female","yes","small town","White","Christian",8,26,3.5,15,30,12,0,"no",7,5,5,4,0,"Other","Not Voting",0,0
"female","yes","big city suburb","White","Christian",8,31,3.9,6,6,0,1,"no",9,8,8,0,10,"Republican","Romney",0,100
"male","yes","big city","White","Christian",3,28,3,20,35,3,3,"no",0,2,3,5,9,"Democrat","Obama",0,100
"female","yes","big city suburb","Mixed","Christian",7,29,2.9,10,8,21,1,"no",5,3,4,8,1,"Democrat","Not Voting",25,70
"female","yes","big city suburb","White","Christian",4,29,3.6,10,10,2,0,"no",0,5,7,7,10,"Republican","Romney",15,100
"female","yes","big city","Hispanic","Christian",7,22,3.2,10,5,0,0,"no",3,4,3,4,3,"Democrat","Obama",0,70
"female","yes","small town","White","Christian",3,23,3.5,15,25,10,5,"no",3,5,6,6,5,"Republican","Undecided",0,90
"female","no","big city suburb","White","Christian",7,26,2.8,0,0,0,5,"no",5,5,10,6,9,"Republican","Romney",15,100
"female","no","small town","White","Christian",2,26,3.3,12,14,0,3,"no",10,5,4,1,0,"Democrat","Not Voting",0,10
"female","no","big city","White","Christian",8,24,3.7,2,0,0,9,"no",8,7,8,2,8,"Democrat","Obama",10,50
"female","yes","big city suburb","White","Christian",7,24,3,3,4,2,0,"no",0,5,8,8,2,"Republican","Not Voting",0,100
"male","yes","big city suburb","Asian","Christian",3,34,3.9,15,15,3,8,"no",2,5,10,10,0,"Other","Not Voting",0,90
"female","no","big city suburb","White","Christian",10,24,3.5,0,0,0,10,"no",10,10,8,5,10,"Republican","Romney",0,100
"male","no","medium city","White","Christian",7,28,2.9,10,20,3,10,"no",10,5,5,8,6,"Other","Undecided",0,90
"male","no","big city suburb","Asian","Christian",8,31,3.6,0,0,0,10,"no",0,3,4,3,6,"Democrat","Obama",0,50
"female","no","big city suburb","White","Christian",1,26,3,10,10,0,0,"no",4,3,6,1,9,"Democrat","Obama",10,40
"male","no","medium city","Mixed","Christian",6,27,3.8,10,3,0,3,"no",9,7,5,9,0,"Other","Not Voting",5,50
"female","yes","big city suburb","White","Christian",7,28,3.8,4,3,2,6,"no",4,7,7,2,10,"Republican","Romney",0,100
"female","no","big city suburb","White","Atheist",0,28,3.2,15,24,10,1,"no",3,4,5,5,7,"Democrat","Undecided",15,60
"male","yes","big city suburb","White","Christian",1,27,3.1,20,35,6,5,"no",4,9,10,8,10,"Republican","Romney",15,90
"female","no","big city suburb","White","Christian",4,32,3.8,2,2,0,0,"no",2,6,4,5,6,"Republican","Undecided",10,80
"male","no","big city suburb","White","Atheist",0,24,3.4,8,10,1,0,"no",0,2,3,8,10,"Other","Obama",20,60
"male","no","medium city","White","Agnostic",0,28,3.9,0,3,0,0,"no",0,3,6,0,10,"Democrat","Obama",5,50
"female","no","small town","White","Christian",7,28,2.5,5,2,9,10,"no",5,5,8,8,10,"Other","Obama",5,90
"male","yes","big city","White","Jewish",4,29,3.6,20,50,7,5,"no",1,4,5,4,3,"Democrat","Obama",0,100
"male","no","big city suburb","Asian","Buddhist",4,29,3.2,10,10,13,7,"no",5,4,7,7,0,"Democrat","Not Voting",0,100
"male","no","big city suburb","Asian","Christian",3,35,3.1,4,10,2,1,"no",3,3,5,7,3,"Democrat","Not Voting",10,90
"male","yes","big city suburb","White","Other Religion",7,26,2.9,5,5,0,0,"no",3,4,6,7,2,"Other","Undecided",0,70
"female","no","medium city","Asian","Agnostic",3,28,2.8,8,12,0,0,"no",2,2,4,7,8,"Democrat","Obama",15,0
"female","no","big city suburb","Black","Christian",10,26,3.7,1,0,0,8,"no",7,4,6,5,5,"Democrat","Obama",0,100
"female","no","big city","Black","Christian",6,22,2.8,2,0,2,8,"no",0,3,4,5,10,"Democrat","Obama",10,80
"female","no","big city","Asian","Christian",7,33,3.3,4,2,1,0,"yes",3,3,3,3,3,"Other","Obama",0,0
"female","no","big city","Hispanic","Other Religion",5,24,2.1,4,14,3,1,"no",0,0,2,0,10,"Democrat","Obama",0,0
"male","no","big city suburb","Asian","Other Religion",10,27,3.3,6,9,1,0,"yes",8,3,6,5,3,"Democrat","Romney",40,100
"female","no","big city suburb","Asian","Hindu",8,22,1.8,5,5,0,0,"no",5,6,5,3,3,"Democrat","Obama",0,100
"female","no","big city suburb","White","Christian",4,25,3.7,10,5,1,0,"no",3,3,5,7,10,"Other","Obama",0,60
"female","yes","big city suburb","White","Christian",6,26,3.9,6,6,1,3,"no",8,5,5,3,3,"Other","Not Voting",0,60
"female","yes","big city suburb","White","Christian",2,27,3.4,10,5,20,2,"yes",0,1,5,3,8,"Democrat","Obama",0,100
"female","no","big city suburb","Asian","Christian",7,28,3.4,3,0,0,5,"no",10,6,4,3,10,"Democrat","Obama",0,100
"male","yes","medium city","White","Christian",8,26,3.9,15,20,4,8,"no",6,8,5,6,10,"Republican","Romney",10,80
"female","yes","big city","Hispanic","Christian",5,29,3.2,6,15,2,0,"yes",2,3,3,1,7,"Democrat","Obama",20,0
"female","no","big city","Black","Christian",5,23,3.4,4,1,0,2,"no",4,4,1,3,9,"Other","Obama",20,0
"female","yes","medium city","White","Jewish",4,27,3.6,2,7,2,0,"no",4,3,5,4,6,"Other","Obama",0,100
"male","no","big city suburb","Asian","Christian",7,27,2.8,0,0,0,10,"no",10,3,7,5,0,"Democrat","Not Voting",0,100
"female","yes","medium city","White","Christian",7,27,3.4,12,10,3,0,"no",3,5,4,2,1,"Democrat","Not Voting",0,100
"female","no","big city suburb","White","Agnostic",2,30,3.7,6,10,0,0,"no",0,1,5,5,10,"Democrat","Obama",10,0
"male","yes","big city suburb","White","Christian",4,30,3.6,12,30,2,5,"no",5,5,5,5,5,"Republican","Romney",10,50
"female","yes","small town","White","Jewish",5,26,3.8,10,10,1,0,"no",0,2,6,5,10,"Democrat","Obama",10,80
"female","no","big city","Hispanic","Other Religion",7,21,3.2,5,3,5,0,"no",5,2,4,7,2,"Democrat","Obama",0,50
"male","no","big city suburb","White","Christian",6,31,3.2,25,25,21,1,"no",5,7,5,7,10,"Democrat","Obama",10,80
"male","no","big city suburb","Asian","Hindu",9,26,3.1,0,0,1,5,"no",8,5,4,2,4,"Democrat","Obama",0,90
"male","no","small town","White","Christian",7,21,3.4,10,20,1,5,"no",2,5,7,5,7,"Other","Romney",0,10
"male","no","big city","Asian","Agnostic",1,30,2.8,7,5,0,0,"no",2,5,5,8,8,"Democrat","Obama",0,100
"female","no","big city suburb","White","Christian",5,25,3.4,3,2,1,0,"no",3,3,8,5,8,"Democrat","Obama",15,60
"male","no","big city","Hispanic","Other Religion",6,21,3.2,7,4,3,0,"no",4,3,0,6,0,"Other","Not Voting",10,0
"male","no","small town","Asian","Christian",0,26,3.6,0,0,0,10,"no",10,3,4,2,2,"Republican","Romney",10,0
"male","no","big city suburb","White","Atheist",3,26,2.8,8,8,9,2,"no",2,3,2,1,0,"Democrat","Not Voting",0,80
"female","no","medium city","Asian","Christian",5,27,3.2,2,0,0,4,"no",4,3,5,5,0,"Republican","Not Voting",0,100
"female","yes","big city suburb","White","Christian",8,21,3,5,5,1,2,"no",6,3,4,0,10,"Democrat","Obama",10,50
"female","no","big city suburb","White","Christian",3,31,3.7,6,10,0,0,"no",10,8,7,7,10,"Other","Romney",0,100
"male","no","big city","White","Christian",7,32,2.8,18,36,1,7,"no",9,7,6,7,3,"Republican","Obama",0,70
"male","yes","big city suburb","White","Christian",6,30,3.9,30,35,5,4,"no",4,7,5,9,9,"Other","Romney",5,90
"male","no","big city suburb","White","Christian",5,27,3.5,0,0,0,10,"no",8,10,10,10,7,"Republican","Romney",0,100
"male","no","medium city","White","Christian",7,29,3.2,3,0,1,5,"no",3,2,9,5,10,"Other","Undecided",15,90
"female","yes","big city suburb","White","Christian",2,26,3.3,9,12,1,0,"yes",2,2,5,6,10,"Democrat","Obama",15,70
"female","yes","big city","Hispanic","Agnostic",2,29,3.6,8,10,1,0,"no",0,2,3,7,10,"Democrat","Obama",0,20
"male","yes","big city","White","Agnostic",0,25,3.9,20,30,1,0,"no",0,4,7,5,0,"Other","Not Voting",10,70
"female","yes","small town","White","Christian",3,28,3.9,12,8,0,1,"no",6,8,10,6,10,"Republican","Other",0,50
"male","yes","big city suburb","White","Agnostic",1,28,3.9,18,17,1,1,"no",0,5,4,7,9,"Democrat","Obama",0,90
"male","no","big city","Black","Christian",8,24,2.8,1,12,0,0,"no",2,0,5,5,10,"Democrat","Obama",40,30
"male","yes","big city suburb","White","Christian",5,28,2.8,6,20,20,2,"no",5,5,6,6,5,"Democrat","Obama",20,50
"female","no","big city","Hispanic","Agnostic",0,25,3.9,0,0,0,0,"no",0,1,3,5,10,"Democrat","Obama",10,50
"female","yes","big city suburb","Hispanic","Christian",3,26,3.2,2,3,0,0,"no",2,2,4,8,10,"Democrat","Obama",15,30
"male","no","big city","Asian","Buddhist",1,30,3,10,3,48,10,"no",5,5,5,7,10,"Republican","Obama",0,100
"female","yes","big city","Hispanic","Christian",1,24,3.2,24,5,1,0,"no",4,0,4,4,4,"Democrat","Obama",0,90
"female","no","big city suburb","White","Other Religion",3,29,3.6,8,6,1,0,"no",4,0,6,4,10,"Democrat","Obama",10,80
"female","no","medium city","Black","Other Religion",3,20,2.8,2,1,2,0,"yes",5,3,4,5,5,"Democrat","Obama",10,0
"female","no","big city suburb","White","Christian",5,29,2.6,2,2,1,0,"no",0,3,4,2,0,"Democrat","Not Voting",5,0
