"age","height","weight","pets","speed","cash","sleep","shoeNums","gender","charity","cheat","greek","handed","love"
19,73,215,2,100,1,7,3,"male",30,0,"no","right","few"
19,66,128,2,94,12,4.5,21,"female",5,0,"no","right","dozens"
20,70,142,0,91,0,7,4,"male",90,8,"no","right","dozens"
20,75,215,0,111,27,5.5,1,"male",10,0,"no","right","few"
20,66,116,1,85,36,7.5,25,"female",90,0,"no","right","one"
20,69,170,5,100,19,7,10,"male",50,0,"yes","right","few"
21,63,150,0,90,15,3,45,"female",40,0,"no","right","few"
22,64,99,0,100,14,7.5,15,"female",30,0,"yes","right","millions"
19,66,125,0,65,0,6,5,"female",10,0,"no","right","thousands"
20,66,155,1,80,50,7,20,"female",90,4,"yes","right","hundreds"
20,61,113,3,65,58,7.5,12,"female",60,3,"no","left","one"
20,68,150,0,90,1,7.5,38,"female",30,1,"yes","right","few"
19,61,110,1,101,22,6.5,25,"female",70,7,"yes","right","dozens"
20,71,150,3,90,100,6,40,"female",25,5,"no","right","few"
20,62,136,1,85,2,9,3,"male",50,0,"no","left","few"
19,66,158,5,108,49,7.5,19,"female",80,3,"yes","right","millions"
21,69,145,0,90,0,7.5,3,"male",45,0,"yes","ambidextrous","dozens"
19,67,124,10,130,20,6.5,20,"female",30,0,"no","right","few"
19,66,144,2,60,0,7,13,"female",5,3,"no","right","one"
20,70,178,2,135,43,7,9,"male",10,10,"yes","right","few"
18,76,200,2,95,5,8,8,"male",0,4,"no","right","thousands"
19,67,125,4,90,70,8,20,"female",75,3,"no","right","few"
18,65,123,4,85,25,7,13,"female",45,5,"no","right","few"
20,70,165,3,100,9,5,5,"male",5,2,"yes","right","one"
19,65,150,2,103,11,6,20,"female",30,10,"no","right","few"
20,74,180,3,90,18,6.5,8,"male",50,3,"yes","left","dozens"
19,65,140,8,110,3,7,10,"female",25,0,"no","right","dozens"
21,66,150,2,90,40,8,8,"male",50,4,"yes","left","one"
20,62,103,1,97,98,8,80,"female",50,0,"yes","right","dozens"
19,65,115,0,70,150,6.5,15,"female",15,5,"no","right","one"
21,67,135,8,120,10,8,20,"female",15,0,"no","left","dozens"
18,63,148,4,80,100,9,30,"female",10,0,"yes","right","few"
21,74,155,0,100,5,8,4,"male",60,0,"no","right","few"
19,64,115,12,85,150,6.5,10,"female",30,2,"no","ambidextrous","dozens"
19,69,152,5,107,20,8.5,6,"male",30,0,"no","right","thousands"
18,61,116,2,94,60,7,30,"female",75,0,"yes","right","few"
20,60,114,4,108,22,7,30,"female",55,0,"yes","right","hundreds"
19,73,167,1,100,0,8,8,"male",30,7,"no","right","few"
20,68,135,3,90,400,9,4,"male",25,0,"no","left","one"
19,71,157,12,100,44,7.5,20,"female",15,2,"no","right","hundreds"
19,72,170,4,95,25,7,6,"male",90,1,"yes","right","few"
23,70,165,5,120,15,8.5,7,"male",35,20,"no","right","thousands"
19,70,175,0,90,10,8,5,"male",15,0,"no","right","hundreds"
19,71,160,5,120,5,8,10,"male",40,2,"no","right","one"
20,70,145,0,115,45,4.5,6,"male",50,0,"no","right","dozens"
19,66,120,3,85,130,7.5,25,"female",70,0,"no","ambidextrous","one"
20,64,120,1,95,900,5,20,"female",15,1,"yes","right","hundreds"
20,60,109,14,100,0,6,23,"female",75,1,"no","right","few"
21,71,145,0,95,6,7,40,"female",1,10,"no","right","few"
19,65,130,0,90,30,7,20,"female",65,2,"no","right","dozens"
21,72,180,5,130,75,7,8,"male",25,1,"no","right","hundreds"
19,67,140,12,85,21,7.5,37,"female",10,0,"no","right","few"
19,60,115,4,85,30,6,25,"female",25,1,"no","right","dozens"
20,65,107,4,90,12,8,10,"female",75,3,"no","right","few"
21,64,105,0,60,20,6,5,"female",50,0,"no","right","few"
20,63,182,4,101,5,7.5,25,"female",45,5,"yes","right","few"
19,64,172,6,80,22,10,18,"female",10,0,"no","left","few"
19,70,142,4,80,100,7.5,15,"female",80,1,"no","right","one"
20,70,155,0,112,46,8,5,"male",10,5,"no","right","hundreds"
21,61,130,4,105,100,7.5,10,"female",20,0,"yes","right","millions"
19,65,120,0,101,25,6,32,"female",70,4,"yes","right","dozens"
19,72,220,11,119,13,6,4,"male",50,0,"yes","right","hundreds"
19,69,170,0,140,200,7.5,5,"male",10,3,"no","right","hundreds"
19,65,135,8,80,3,7,25,"female",30,1,"yes","right","few"
20,71,186,10,125,300,7,10,"male",50,3,"no","right","dozens"
19,68,122,1,100,75,7.5,21,"female",35,0,"no","right","one"
19,70,150,2,85,70,6,15,"female",90,3,"no","right","few"
20,68,190,2,30,15,8,12,"female",30,1,"no","right","few"
19,61,100,0,90,120,7,10,"female",50,100,"no","right","dozens"
19,74,144,0,109,30,7,8,"male",25,2,"no","right","few"
19,64,120,9,90,42,8,15,"female",80,2,"no","right","few"
20,62,175,1,85,10,7,11,"female",10,0,"no","right","one"
20,65,126,4,100,10,9,50,"female",70,15,"yes","right","few"
19,67,125,18,86,0,8,30,"female",50,0,"no","right","one"
18,66,126,3,101,20,6.5,25,"female",60,0,"yes","right","few"
19,68,127,1,90,110,7,40,"female",5,0,"yes","right","thousands"
20,64,142,1,66,5,6.5,12,"female",85,3,"no","left","few"
19,67,130,6,105,40,8.5,15,"female",15,5,"yes","right","one"
19,64,100,1,95,100,10,20,"female",100,20,"no","right","thousands"
20,68,133,1,0,15,6,20,"female",15,2,"yes","right","hundreds"
20,63,146,3,100,3,7.5,22,"female",50,0,"yes","right","one"
20,68,120,1,131,35,8,6,"male",20,2,"no","right","hundreds"
19,67,121,2,111,11,8.5,21,"female",10,0,"yes","ambidextrous","few"
19,69,150,0,80,6,7,5,"male",100,0,"no","right","few"
19,61,95,1,95,0,6.5,15,"female",20,1,"yes","ambidextrous","dozens"
19,63,118,3,99,10,7,10,"female",30,0,"no","right","few"
20,70,146,2,90,100,9,5,"male",50,0,"yes","right","one"
21,63,110,3,55,120,6.5,15,"female",5,0,"no","right","few"
18,69,160,4,85,0,8,20,"female",100,1,"no","right","dozens"
20,63,170,2,35,0,5,21,"female",15,1,"no","right","few"
19,66,145,7,98,0,7,13,"female",50,4,"no","right","few"
21,73,225,4,105,6,5,6,"male",50,10,"no","right","few"
20,68,137,2,65,37,8,30,"female",20,0,"no","right","millions"
20,67,130,8,65,0,8,15,"female",80,0,"no","ambidextrous","one"
19,60,112,9,94,0,9,11,"female",20,0,"no","right","millions"
19,69,172,0,82,140,7,11,"male",30,2,"yes","left","hundreds"
20,66,240,2,90,15,7.5,7,"female",85,0,"no","right","few"
20,66,130,3,70,200,6,30,"female",50,5,"no","right","few"
28,71,160,7,130,300,6.5,6,"male",30,0,"yes","right","thousands"
21,69,170,5,96,20,7,4,"male",75,3,"no","right","one"
22,60,130,11,80,2,7,12,"female",75,0,"no","right","few"
19,64,124,7,60,40,7,20,"female",45,0,"no","right","one"
19,63,128,0,75,20,8,15,"female",20,0,"yes","right","few"
19,68,165,0,85,21,5.5,12,"male",50,2,"no","right","few"
19,72,183,3,95,6,7,5,"male",80,2,"yes","right","few"
19,64,130,3,70,5,8,10,"female",30,0,"yes","right","hundreds"
18,66,200,0,120,500,4,10,"male",20,60,"yes","right","few"
19,65,130,0,70,3,6.5,32,"female",60,3,"no","right","millions"
20,62,116,4,95,77,8,30,"female",50,4,"yes","right","dozens"
18,64,130,2,80,20,6,8,"female",30,1,"no","right","one"
19,61,100,1,80,0,8,8,"female",25,0,"no","right","few"
20,68,180,6,85,6,8,10,"female",100,1,"no","right","few"
21,77,270,5,136,80,6.5,7,"male",50,1,"no","right","few"
20,67,125,0,0,30,6,3,"female",10,0,"no","right","dozens"
18,72,165,2,110,15,9,10,"male",15,0,"no","right","few"
20,69,150,1,95,21,6.5,15,"female",10,10,"no","right","millions"
18,63,135,2,90,1,8,50,"female",10,0,"yes","right","dozens"
18,75,190,0,115,200,7,1,"male",35,3,"no","right","few"
19,65,110,2,85,50,8,20,"female",20,2,"yes","right","dozens"
19,62,140,0,90,100,6.5,20,"female",50,2,"no","right","few"
19,66,160,2,98,0,6.5,30,"female",20,0,"yes","right","few"
19,67,135,0,120,20,5,4,"male",15,0,"no","right","one"
19,61,110,3,75,20,7,20,"female",30,0,"no","right","few"
21,75,185,3,111,11,7,3,"male",20,15,"no","right","hundreds"
19,65,160,8,135,500,6,50,"male",10,0,"no","right","thousands"
19,61,104,1,80,120,6.5,20,"female",40,0,"no","right","few"
21,64,165,2,50,0,6.5,15,"female",100,0,"no","right","few"
18,63,130,0,65,15,6.5,15,"female",25,0,"no","right","hundreds"
19,70,139,3,85,1,6,4,"male",70,1,"yes","right","one"
18,63,115,0,92,36,5,11,"female",55,2,"no","right","hundreds"
21,72,190,6,100,50,8,6,"male",50,5,"no","right","dozens"
18,70,143,2,60,110,8,12,"female",10,2,"no","right","hundreds"
21,66,137,0,64,0,8,5,"female",35,0,"no","right","few"
18,70,152,2,70,0,6,1,"male",30,10,"no","left","one"
19,71,160,8,165,500,5,30,"male",25,20,"no","left","dozens"
20,63,140,0,85,85,5,5,"female",10,0,"yes","right","dozens"
19,63,132,0,100,0,6.5,23,"female",10,0,"no","right","few"
21,66,120,2,120,5,6,20,"female",100,0,"yes","right","few"
19,67,130,6,98,13,6.5,21,"female",85,0,"no","right","few"
20,71,167,18,110,20,7.5,7,"male",80,2,"yes","right","few"
18,68,145,1,80,0,7.5,30,"female",100,2,"yes","ambidextrous","one"
18,70,190,2,95,51,8,5,"male",10,0,"yes","right","hundreds"
58,69,142,7,98,0,8.5,61,"female",100,0,"no","right","millions"
19,66,130,0,80,11,7.5,25,"female",15,0,"no","right","few"
19,73,235,4,145,150,8,4,"male",5,0,"no","right","millions"
21,65,120,0,0,50,6,14,"female",30,2,"no","right","few"
20,64,135,3,60,15,5,22,"female",10,0,"yes","right","few"
18,68,112,0,82,0,8,15,"female",30,10,"yes","right","dozens"
19,60,100,3,95,40,8.5,40,"female",25,0,"yes","right","few"
20,66,122,9,85,200,6.5,35,"female",100,1,"yes","right","millions"
21,68,132,15,82,0,6,21,"female",60,1,"yes","right","one"
18,61,98,0,70,0,7,15,"female",30,10,"no","right","thousands"
20,67,116,2,98,2,8,22,"female",65,2,"no","right","few"
21,64,155,0,100,16,7,20,"female",5,0,"no","right","dozens"
20,63,120,1,120,0,8,34,"female",25,9,"yes","right","few"
19,63,110,1,0,600,8,8,"female",0,0,"no","right","one"
19,67,146,0,85,80,6.5,13,"male",10,3,"no","right","millions"
19,72,208,2,101,500,7.5,4,"male",10,5,"yes","right","hundreds"
18,65,123,5,0,13,9,10,"female",30,10,"no","right","few"
18,69,150,3,110,22,8,20,"female",15,4,"yes","left","dozens"
19,75,178,0,88,0,7.5,9,"female",10,10,"no","right","few"
19,65,120,2,85,41,6.5,33,"female",35,4,"no","right","one"
18,64,150,3,85,25,7,10,"female",25,0,"no","right","one"
18,70,138,3,120,2,7.5,10,"female",40,0,"no","right","one"
19,65,120,5,90,40,7,10,"female",100,0,"no","right","few"
21,69,160,11,90,20,8,10,"female",25,0,"no","right","hundreds"
19,67,240,1,105,1,9,15,"male",80,0,"no","right","few"
18,63,125,0,60,10,7,10,"female",60,5,"no","right","few"
22,78,195,2,130,1000,10,8,"male",0,40,"no","right","millions"
19,60,117,1,80,12,6,20,"female",25,3,"no","left","one"
18,72,156,4,86,20,8,7,"male",10,1,"no","left","millions"
20,63,130,1,75,24,7,30,"female",30,1,"no","right","one"
20,70,150,2,85,0,8,5,"male",10,1,"no","right","thousands"
20,66,134,1,90,150,6.5,7,"male",5,0,"no","right","thousands"
19,75,155,3,120,1000,7,5,"male",5,0,"yes","right","one"
20,70,140,0,120,40,7.5,5,"male",75,5,"yes","right","few"
19,66,147,2,100,0,8,12,"female",15,1,"no","right","dozens"
18,69,136,4,102,200,8.5,17,"male",5,30,"yes","right","thousands"
22,65,137,1,85,60,8.5,16,"female",85,5,"no","ambidextrous","few"
22,73,173,2,100,80,9,7,"male",30,3,"no","right","few"
19,72,180,5,100,13,6.5,4,"male",100,0,"no","right","millions"
22,59,95,5,65,3,8,35,"female",20,0,"no","right","millions"
20,65,130,1,100,3,7,35,"female",50,0,"yes","right","few"
21,66,135,4,88,25,7,35,"female",15,1,"no","right","few"
22,62,120,1,95,0,6,35,"female",25,2,"no","right","dozens"
20,62,116,2,125,13,7.5,24,"female",100,0,"no","right","one"
19,63,130,1,75,0,8.5,30,"female",95,1,"no","right","few"
19,67,161,0,101,25,7,5,"male",45,0,"no","right","few"
19,69,180,0,100,0,8,6,"male",5,1,"no","right","few"
19,66,170,10,90,15,7.5,12,"female",60,10,"no","right","few"
20,62,119,5,100,60,8.5,20,"female",90,1,"no","left","one"
18,67,135,0,90,50,7,25,"female",30,0,"yes","right","dozens"
19,63,130,5,106,21,8.5,15,"female",80,4,"no","right","millions"
21,72,189,30,96,0,8.5,10,"male",70,6,"no","ambidextrous","hundreds"
18,65,180,6,90,80,5.5,15,"female",95,25,"yes","right","few"
20,64,125,0,85,10,7,12,"female",10,5,"no","right","few"
20,68,130,0,80,15,9,10,"female",50,0,"no","right","one"
19,65,137,4,101,8,7.5,30,"female",95,2,"yes","right","few"
22,69,162,2,120,1,7.5,10,"male",5,30,"no","right","few"
19,59,135,5,111,150,10,20,"female",5,10,"no","right","dozens"
18,60,135,6,80,2,7.5,25,"female",35,1,"no","right","few"
20,69,129,3,87,30,7,30,"female",70,5,"no","right","few"
19,61,140,0,80,31,6.5,27,"female",10,2,"no","right","dozens"
20,63,107,1,70,12,6,11,"female",85,0,"no","right","few"
20,70,176,2,102,5,6.5,11,"male",10,2,"no","ambidextrous","hundreds"
20,62,130,6,95,30,6,12,"female",85,0,"no","right","few"
18,67,146,0,90,0,7.5,40,"female",25,5,"no","right","few"
19,73,185,3,85,70,5,5,"male",20,3,"no","right","hundreds"
18,62,104,1,90,0,7,32,"female",10,3,"no","right","hundreds"
22,62,100,1,87,0,7.5,20,"female",30,0,"yes","right","few"
18,68,138,0,90,150,7,3,"male",20,0,"no","right","one"
19,70,165,3,120,6,8,4,"male",10,1,"yes","right","one"
20,67,140,0,110,0,7,7,"male",90,2,"yes","right","one"
19,70,185,6,115,42,7.5,6,"male",50,1,"yes","right","thousands"
19,65,114,4,80,0,6,15,"female",80,7,"no","right","few"
19,78,195,2,80,0,9,5,"male",10,0,"yes","right","few"
19,64,125,3,90,80,8,20,"female",50,2,"yes","right","dozens"
19,61,117,3,90,51,6,30,"female",15,2,"yes","right","few"
18,75,192,0,70,20,6,9,"male",50,4,"no","right","few"
18,64,130,0,100,100,6.5,15,"female",80,3,"yes","right","few"
20,66,163,9,90,0,7.5,7,"female",50,1,"no","left","millions"
19,63,136,15,90,140,8,30,"female",10,0,"no","right","one"
19,73,190,6,110,10,6,10,"male",15,0,"yes","right","few"
19,64,102,0,70,110,7.5,13,"female",5,0,"no","right","dozens"
21,65,130,1,105,0,8,6,"male",35,0,"no","right","millions"
20,70,165,1,95,30,7,14,"male",50,1,"no","left","dozens"
19,67,145,0,0,200,7,5,"male",100,0,"no","right","thousands"
18,66,140,100,102,50,6.5,12,"female",50,5,"yes","right","few"
20,64,140,3,90,2,7.5,10,"female",50,2,"no","right","few"
20,62,85,1,65,12,7,15,"female",40,1,"yes","right","few"
20,66,170,3,99,51,6.5,20,"female",10,2,"no","right","few"
20,63,117,8,113,22,6.5,22,"female",40,0,"yes","right","few"
18,61,120,4,90,50,6,20,"female",30,5,"no","right","few"
22,71,180,0,130,10,5,5,"male",20,0,"no","right","one"
19,65,111,1,80,0,5,20,"female",30,1,"no","right","none"
21,70,150,1,110,130,7,6,"male",20,0,"no","right","thousands"
21,62,135,3,76,6,8,29,"female",5,2,"no","right","thousands"
18,71,136,4,60,3,5,5,"male",10,0,"no","right","one"
20,64,243,0,55,4,6.5,15,"female",10,3,"no","right","few"
20,65,120,5,85,40,6,15,"female",20,2,"yes","right","few"
19,67,125,2,90,100,8,25,"male",60,2,"yes","right","few"
20,65,123,3,106,110,5,8,"female",30,4,"no","right","few"
19,68,132,0,90,2,5,10,"male",0,10,"no","ambidextrous","one"
18,72,230,9,125,0,6,4,"male",95,5,"yes","right","hundreds"
19,65,130,3,70,40,7.5,7,"female",20,4,"no","right","few"
21,77,210,1,100,26,8.5,6,"male",30,2,"yes","right","dozens"
19,63,140,19,88,1,6,12,"female",10,0,"no","right","hundreds"
20,70,136,3,60,8,6.5,22,"male",15,3,"no","right","few"
18,72,155,4,80,150,9,2,"male",100,1,"no","right","millions"
21,72,165,0,100,0,6.5,7,"male",65,1,"no","right","few"
20,63,117,3,90,13,7,30,"female",100,2,"yes","right","few"
20,64,120,4,95,0,7,25,"female",30,0,"yes","right","few"
19,71,150,2,90,100,7,4,"male",100,0,"yes","right","one"
19,62,105,0,80,15,7.5,20,"female",30,3,"yes","left","few"
19,62,110,3,90,98,7,22,"female",10,6,"no","right","one"
19,68,145,2,90,200,6.5,17,"female",5,20,"yes","right","hundreds"
22,74,214,9,179,200,6.5,14,"male",10,0,"no","right","one"
19,74,200,2,120,5,6,7,"male",90,2,"yes","ambidextrous","dozens"
20,68,147,1,105,53,9,3,"male",30,3,"no","right","few"
19,65,200,5,80,0,8.5,10,"female",50,0,"no","right","few"
18,65,125,8,80,40,7.5,25,"female",10,7,"yes","right","few"
18,70,149,5,122,10,7.5,10,"male",25,2,"no","right","dozens"
21,63,145,0,100,10,10.5,29,"female",55,1,"no","right","few"
18,69,140,1,80,60,8.5,50,"female",25,0,"no","right","thousands"
19,69,134,1,95,43,7,4,"male",10,2,"no","right","few"
19,66,140,7,100,0,8.5,25,"female",25,2,"no","right","few"
21,70,160,5,102,6,8,25,"male",70,30,"yes","right","few"
19,65,140,1,85,10,6.5,30,"female",60,1,"yes","right","dozens"
18,71,168,13,80,5,7,10,"male",5,0,"no","right","hundreds"
19,65,135,2,88,1,8,15,"female",50,4,"no","right","few"
19,64,125,0,42,1,6.5,12,"female",10,0,"no","right","hundreds"
20,72,145,0,108,10,8,1,"male",60,1,"no","right","dozens"
19,72,165,4,110,2,8,10,"male",10,1,"no","ambidextrous","one"
20,69,150,4,100,35,7,9,"female",35,2,"no","right","dozens"
19,67,125,8,90,0,7.5,20,"female",20,10,"no","right","hundreds"
19,66,118,1,87,11,6.5,19,"female",10,6,"yes","left","hundreds"
19,60,120,0,90,40,8,30,"female",50,10,"no","right","few"
20,68,125,1,90,50,7,20,"female",35,6,"yes","right","few"
20,69,145,3,120,500,6,10,"male",30,15,"yes","right","few"
19,66,120,3,90,34,7,35,"female",100,10,"yes","right","few"
20,67,150,4,96,4,5,16,"female",25,1,"yes","right","few"
19,60,110,7,81,20,8,14,"female",10,0,"no","right","few"
19,69,135,4,95,0,7,20,"female",50,2,"yes","left","one"
19,67,121,1,120,5,7,92,"female",20,3,"yes","right","few"
19,63,150,1,90,21,8,7,"female",40,1,"no","right","hundreds"
20,70,140,1,120,100,6,4,"male",10,0,"yes","right","thousands"
20,77,289,2,95,37,7,22,"male",35,5,"no","right","hundreds"
19,62,114,4,105,3,6.5,22,"female",40,0,"yes","right","dozens"
19,73,175,5,90,0,7,4,"male",20,10,"no","right","few"
18,74,200,0,85,60,7.5,4,"male",10,0,"no","left","thousands"
19,73,155,1,65,300,7,30,"female",15,5,"no","right","dozens"
20,66,145,0,98,100,6,30,"female",15,0,"no","left","one"
19,63,150,3,80,10,8,25,"female",50,0,"yes","right","one"
20,65,145,4,99,60,7.5,15,"female",20,5,"no","right","few"
20,67,190,1,105,100,7,5,"male",75,1,"no","right","one"
18,68,153,6,90,0,7,25,"female",90,0,"no","right","few"
20,63,145,1,100,70,8,20,"female",20,2,"yes","right","few"
18,67,155,0,85,4,6.5,12,"female",65,5,"no","right","millions"
22,70,165,0,90,18,6,5,"male",65,0,"no","right","few"
19,67,130,2,80,6,10,3,"female",5,5,"yes","right","dozens"
20,67,123,3,88,0,6.5,35,"female",40,0,"yes","right","few"
20,69,140,5,115,72,7,6,"male",25,10,"no","right","few"
20,65,118,2,100,70,6.5,22,"female",50,4,"yes","right","few"
19,75,194,2,100,110,7.5,4,"male",50,2,"no","right","dozens"
19,69,142,3,78,8,8.5,7,"male",65,2,"no","left","dozens"
19,69,225,2,95,29,6.5,5,"male",100,0,"yes","right","one"
19,68,145,7,90,120,8,20,"female",75,2,"no","right","few"
