"gender","genderID","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity","movie","favTV1","favTV2"
"female","female",62,110,7,"Freshman",7,2,70,20,9,20,35,36,2,"one",20,"The Road Within","Family Feud","Orange Is the New Black"
"female","female",68,120,7,"Sophomore",1,1,85,300,7,20,53,50,6,"few",90,"Revenant","The Office","Law & Order"
"male","male",77,182,13,"Sophomore",2,2,100,26,7.5,5,51,53,9,"few",80,"The Gift","The Office","How I Met Your Mother"
"female","female",63,110,7.5,"Freshman",3,2,88,0,6,10,53,56,5,"one",50,"""""Django Unchained""""","The Office","Law & Order: SVU"
"female","female",65,120,7,"Freshman",0,0,75,6,7,10,46,45,4,"dozens",15,"Star war","Sherlock","American Horror Story"
"male","male",72,168,10.5,"Freshman",1,1,90,1,8.5,45,51,50,1,"thousands",100,"The Revenant","The Killing","Scrubs"
"female","female",64,115,7,"Junior",0,1,60,5,7.5,8,47,52,5,"one",50,"none","new girl","the office"
"female","female",65,130,8,"Freshman",7,1,90,6,4.5,11,55,65,8,"few",100,"Gran Torino","Arrow","Cutthroat Kitchen"
"female","female",63,179,7.5,"Freshman",0,0,0,48,5,5,47,47,6,"one",15,"Sherlock","Running man","Find laughing people"
"female","female",59,80,6,"Freshman",1,3,0,10,8,20,55,54,10,"dozens",100,"Daddy's home","The Office","The little couple"
"female","female",62,112,6,"Freshman",2,2,85,5,7,28,43,52,7,"one",80,"Star Wars","The Walking Dead","Lost"
"female","female",69,135,7.5,"Freshman",0,2,60,10,6.5,20,55,60,7,"one",50,"History of Israel movie","Lie to me","Gossip girl"
"male","male",72,155,10,"Other",2,2,130,5,8.5,4,56,59,1,"thousands",94,"The Simpsons Movie","The Simpsons","Rick and Morty"
"female","female",65,173,9.5,"Freshman",14,2,0,120,6.5,10,37,38,6,"one",30,"daddys home","law and order svu","greys anatomy"
"female","female",64,116,8.5,"Freshman",0,2,90,22,6.5,10,51,53,6,"few",100,"Bajrangi Bhaijaan","Once Upon A Time","Galavant"
"female","female",62,107,7.5,"Freshman",1,2,85,150,7,7,54,56,7,"one",20,"none","real housewives of beverly hills","chicago pd"
"female","female",64,120,9,"Freshman",0,6,70,20,8,10,62,63,7,"one",20,"None","The Simpsons","Malcolm in the Middle"
"female","female",64,151,7.5,"Sophomore",8,7,101,0,4,34,62,47,3,"millions",100,"leap Year","hit The Floor","Snakes in the city"
"male","male",70,192,10,"Freshman",0,0,0,1000,6.5,8,47,52,9,"few",0,"Starwar","The Walking Dead","Prison Break"
"female","female",65,155,9,"Junior",0,1,80,20,6.5,16,60,58,3,"few",75,"Sisters","The Bachelor","Pretty Little Liars"
"female","female",68,170,10,"Sophomore",1,1,85,0,7,14,43,45,4,"few",30,"none","LHH","Basketball Wives"
"female","female",70,150,9,"Sophomore",0,1,85,76,7,12,49,49,7,"few",75,"Star Wars: The Force Awakens","The 100","The Vampire Diaries"
"male","male",66,139,9.5,"Freshman",1,2,135,14,9,4,53,54,6,"few",38,"harry potter","its always sunny in philadelphia","rick and morty"
"female","female",62,100,5.5,"Freshman",1,1,0,500,5,5,50,50,2,"one",70,"Inside Out","Big Bang Theory","Once Upon a Time"
"female","female",64,115,8,"Freshman",1,2,60,60,6,15,50,49,5,"one",10,"Sisters","Parks and Recreation","New Girl"
"male","male",68,140,8,"Freshman",0,0,75,0,6,15,44,43,7,"one",50,"Begin again","Shameless","Banshee"
"female","female",62,106,7,"Sophomore",4,0,65,26,8,8,61,60,7,"few",100,"none","Parks and Recreation","American Horror Story"
"female","female",69,158,10,"Freshman",0,1,100,10,10,7,53,53,2,"dozens",75,"mulan","Greys Anatomy","Chicago Fire"
"male","male",69,133,10,"Freshman",2,2,80,10,6,5,52,52,6,"few",1,"none","The Challenge","Finding Carter"
"female","female",63,135,7,"Freshman",3,1,65,40,7,24,57,58,3,"few",75,"The Martian","Gilmore Girls","Friends"
"female","female",66,140,8,"Freshman",0,1,75,0,7,12,54,54,8,"few",80,"The Revenant","Jane the Virgin","Fixer Upper"
"female","female",69,175,8.5,"Freshman",5,8,97,1000,6.5,15,43,53,3,"few",100,"The Maze Runner","Rizzoli & Isles","Criminal Minds"
"male","male",70,125,10.5,"Junior",5,1,0,0,7,3,41,42,6,"one",0,"Star Wars 7","Homeland","Sleeper Cell"
"female","female",72,140,10,"Freshman",6,3,90,40,7,9,51,52,3,"few",100,"joy","criminal minds","blacklist"
"female","female",68,130,10,"Freshman",15,2,22,150,8.5,3,51,47,7,"few",50,"none","The Vampire Diaries","Naruto"
"male","male",67,135,9.5,"Sophomore",6,5,60,3,7.5,3,57,65,6,"few",90,"Star Wars 6","That 70's Show","Game of Thrones"
"male","male",75,167,11,"Sophomore",8,5,115,55,6,9,54,62,7,"one",75,"13 Hours","Arrow","Supernatural"
"female","female",70,130,8,"Freshman",4,1,100,50,6,25,50,50,3,"one",40,"Age of Adeline","Greys Anatomy","One Tree Hill"
"female","female",57,118,7,"Freshman",1,0,0,5,7,8,47,47,3,"one",49,"none","Infinity Challenges","Running Man"
"female","female",64,110,7,"Junior",3,1,100,40,8,15,55,60,2,"few",100,"The Martian","Psych","Parks and Recreation"
"male","male",68,149,9.5,"Freshman",2,1,85,20,7,12,42,41,1,"one",50,"Star Wars","Jersey Shore","Family Guy"
"male","male",71,165,10.5,"Freshman",0,2,85,0,5,6,56,59,1,"few",90,"Forest Gump","The Office","House of Cards"
"female","female",65,215,10,"Freshman",3,1,70,60,8.5,18,54,52,6,"millions",50,"none","Scandal","Pretty Little Liars"
"female","female",63,150,8,"Freshman",6,0,80,25,7,12,53,50,4,"few",90,"Star Wars VII","Steven Universe","Bob's Burgers"
"female","female",66,115,7,"Freshman",2,3,90,75,8,20,59,61,7,"few",85,"The Big Short","The Office","One Tree Hill"
"female","female",61,140,8.5,"Freshman",1,1,100,25,8,16,56,56,4,"few",40,"Two Night Stand","Breaking Bad","One Tree HIll"
"female","female",65,157,9,"Freshman",1,2,0,30,8,13,48,50,7,"thousands",75,"For A Good Time Call","Jessica Jones","Daredevil"
"female","female",65,145,9,"Freshman",3,2,100,50,6,8,51,51,3,"few",90,"sisters","shark tank","the voice"
"female","female",66,155,9.5,"Freshman",1,1,80,60,7,10,57,57,4,"dozens",100,"The Forest","Grey's Anatomy","Black Mirror"
"female","female",62,140,7,"Junior",1,2,65,35,6.5,20,45,42,9,"one",3,"Star Wars: the force awakens","Friends","Greys anatomy"
"male","male",74,220,12.5,"Freshman",12,1,140,30,7,7,42,46,4,"few",70,"Star Wars:  The Force Awakens","Modern Family","Big Bang Theory"
"male","male",76,180,10.5,"Senior",1,0,107,0,8,10,46,47,6,"one",20,"Carol","Running man","The Walking Deads"
"female","female",62,130,6,"Freshman",1,1,100,100,7,13,38,38,4,"one",50,"Sisters","Once Upon A Time","Vampire Diaries"
"female","female",64,145,5,"Freshman",0,1,100,95,8,7,53,52,9,"few",75,"Water for Elephants","Criminal Minds","How I Met Your Mother"
"female","female",67,150,10.5,"Freshman",1,2,60,0,7,13,40,41,8,"few",30,"Sisters","Scandal","Narcos"
"female","female",60,145,7.5,"Freshman",0,2,90,68,7,9,36,36,4,"thousands",70,"American Beauty","Sex and the City","Weeds"
"female","female",68,130,8.5,"Freshman",3,2,60,100,7,14,54,56,5,"one",90,"The Best of Me","Pretty Little Liars","Dancing With The Stars"
"male","male",71,151,12,"Junior",2,2,71,0,7,2,53,56,8,"few",40,"Star Wars: The Force Awakens","Bojack Horseman","Archer"
"female","female",69,130,8.5,"Freshman",2,3,80,50,7,15,49,52,8,"dozens",70,"Sisters","Greys Anatomy","Pretty Little Liars"
"female","female",64,118,8,"Freshman",2,1,120,10,6.5,18,54,55,7,"one",100,"Dilwale","Friends","Bob's Burgers"
"female","female",63,118,4,"Junior",0,3,100,1,7,15,47,52,7,"few",25,"Ride Along 2","Real Housewives of ATL","Love and Hip Hop"
"male","male",67,148,9.5,"Freshman",1,1,88,56,7,14,44,47,8,"few",100,"Star wars the force awakens","How I Met Your Mother","White Collar"
"male","male",68,190,10.5,"Junior",28,2,130,3,6.5,1,45,46,9,"one",5,"Star Wars 7 The Force Awakens","Sons of Anarchy","The Walking Dead"
"male","male",68,170,10,"Sophomore",3,1,110,46,8,8,49,55,7,"hundreds",50,"Star Wars: The Force Awakens","Breaking Bad","The Walking Dead"
"female","female",67,150,7.5,"Freshman",0,0,0,55,8,15,49,49,4,"millions",100,"Sleepy Hollow","The Office","Psych"
"male","male",74,197,12,"Sophomore",0,1,85,80,6,8,52,54,6,"one",75,"none","Naruto","Naruto Shippudden"
"male","male",70,150,9.5,"Sophomore",1,1,90,27,8,5,43,50,7,"few",25,"Ride Along 2","Game of Thrones","Dexter"
"male","male",76,236,13,"Freshman",4,0,88,1000,7,8,46,46,6,"few",20,"star war","Game of throne","Walking dead"
"male","male",66,150,9.5,"Sophomore",0,2,80,120,7,7,47,47,2,"few",90,"star wars","modern family","two and a half men"
"female","female",69,150,10,"Freshman",0,3,80,20,8,15,52,52,7,"hundreds",99,"Joy","Grey's Anatomy","Friends"
"female","female",60,115,6,"Freshman",1,2,95,40,6,15,50,54,6,"one",80,"Inside Out","How I Met your Mother","The Office"
"female","female",65,170,8.5,"Freshman",4,1,120,70,9,20,50,56,10,"thousands",50,"Joy","The Leftovers","Orphan Black"
"female","female",68,113,8,"Freshman",0,4,100,0,6,10,47,61,10,"few",20,"The Longest Ride","Teen Wolf","The Following"
"female","female",64,115,7,"Freshman",1,3,102,57,7,30,47,57,2,"dozens",75,"Pulp Fiction","Law & Order: SVU","The Bachelor"
"female","female",66,140,7.5,"Freshman",4,1,93,10,8,21,54,51,2,"thousands",50,"Finding Nemo","Breaking Bad","Friends"
"female","female",64,137,7.5,"Freshman",1,1,75,100,6,5,48,46,7,"few",88,"The Forest","How I Met Your Mother","Bob's Burgers"
"male","male",68,195,10.5,"Freshman",0,1,125,45,8,5,50,49,4,"few",20,"The Martian","House of Cards","Game of Thrones"
"male","male",74,190,12,"Senior",0,2,120,83,7,6,60,61,1,"millions",50,"The Revenant","True Detective (Season 1)","The Man in the High Castle"
"male","male",71,170,11.5,"Freshman",1,6,100,40,8,8,49,58,7,"few",50,"none","Shamless","Duck Dynasty"
"female","female",67,130,8.5,"Freshman",1,2,75,24,7,6,56,60,7,"few",90,"none","The Office","Friday Night Lights"
"female","female",66,180,8.5,"Freshman",0,3,90,0,6.5,16,50,63,8,"dozens",75,"Concussion","Law & Order: SVU","Making a Murderer"
"male","male",67,120,9,"Freshman",1,1,90,20,7,10,45,45,9,"few",50,"Star Wars: The Force Awakens","The Office","Game of Thrones"
"female","female",66,141,8.5,"Freshman",1,2,105,40,7.5,50,52,54,7,"few",100,"Jurassic World","The Office","How I Met Your Mother"
"female","female",67,125,8,"Freshman",2,2,110,45,5,10,45,41,8,"one",50,"The Martian","Friends","Vampire Diaries"
"female","female",67,130,8,"Freshman",0,2,95,65,6,15,51,50,7,"few",65,"none","Friday Night Lights","One Tree Hill"
"female","female",64,120,7,"Freshman",2,3,87,140,7.5,19,56,52,8,"few",3,"Creed","Family Guy","American Dad"
"male","male",69,150,10,"Freshman",4,5,150,130,5.5,30,38,40,3,"few",25,"Training","Narcos","Martin"
"female","female",65,160,8.5,"Sophomore",0,1,90,25,7.5,70,41,48,7,"few",30,"none","Friends","Grey's Anatomy"
"male","male",72,230,13,"Freshman",3,2,80,102,8,4,45,44,6,"few",10,"the dark knight","survivor","lost"
"female","female",61,173,7,"Sophomore",0,1,68,150,8.5,20,56,56,6,"one",98,"the big short","mr. robot","gossip girl"
"female","female",68,187,10,"Graduate",8,0,103,0,4.5,8,61,65,5,"none",90,"None","A walk to remember","twilight"
"female","female",64,105,6,"Freshman",1,2,80,35,7.5,13,54,53,5,"dozens",100,"none","Modern Family","Dance Moms"
"female","female",65,130,7.5,"Freshman",3,1,80,30,8,20,48,48,6,"dozens",100,"Sisters","Friends","Gossip Girl"
"male","male",72,195,12,"Freshman",0,3,90,0,6.5,6,42,52,10,"few",100,"none","The Office","Criminal Minds"
"female","female",65,160,8.5,"Freshman",1,1,100,8,8,15,48,52,2,"few",40,"Force Awakens","Game of Thrones","The Office"
"male","male",78,260,14,"Freshman",7,2,78,15,9,3,57,58,7,"one",60,"Star Wars The Force Awakens","Once Upon A Time","The Flash"
"male","male",68,185,9,"Freshman",1,1,90,84,8,9,50,55,3,"hundreds",75,"The Revenant","Breaking Bad","Mr. Robot"
"male","male",66,116,8.5,"Freshman",3,2,73,4,5,6,37,47,7,"one",80,"Daddy is home","South Park","Walking Dead"
"female","female",63,110,7,"Freshman",0,1,70,44,6,20,50,52,7,"few",98,"Star Wars: The Force Awakens","Teen Wolf","New Girl"
"female","other",50,300,18,"Other",27,11,198,55,11.5,17,59,58,10,"millions",44,"Bruno","shabi qushi gabi gam","gar gar"
"female","female",66,120,7,"Freshman",0,0,0,500,8,10,46,48,2,"few",50,"none","Agents of shield: season 3","The tomorrow people: season 1"
"female","female",63,151,7,"Freshman",2,0,100,900,8,30,51,53,7,"few",50,"Pitch Perfec 2","The Bachelor","Grey's Anatomy"
"male","male",64,105,8,"Freshman",0,1,122,58,6,6,43,43,3,"few",40,"Star Wars VII","How I met your mother","The Office"
"female","female",63,140,8,"Sophomore",3,1,95,30,9,35,46,46,4,"dozens",99,"Sisters","The Walking Dead","How I Met Your Mother"
"male","male",71,235,12,"Junior",7,1,137,80,7,15,56,55,7,"few",5,"The Martian","Breaking Bad","Parks and Recreation"
"female","female",66,167,9,"Freshman",8,2,80,3,9,7,48,53,4,"thousands",50,"Moonrise Kingdom","Monk","The Office"
"female","female",68,160,8.5,"Freshman",3,0,70,20,8,20,49,55,3,"few",100,"The Big Short","Gossip Girl","House of Cards"
"female","female",61,114,7.5,"Freshman",0,1,0,110,7,3,49,59,6,"one",50,"Joy","Orange is the New Black","Arrested Development"
"female","female",66,135,6,"Sophomore",1,1,80,30,8,30,46,48,8,"few",50,"The Intern","Friday Night Lights","Bachelor"
"female","female",66,116,8,"Sophomore",1,1,140,25,6.5,20,42,43,8,"few",30,"none","Greys Anatomy","Suits"
"female","female",64,125,9,"Freshman",3,0,80,200,8,40,55,53,7,"none",50,"none","House MD - I know its over :(","Castle"
"female","female",67,154,9.5,"Freshman",8,2,90,120,7.5,30,52,50,6,"few",75,"Star Wars","Friends","Greys Anatomy"
"male","male",71,152,9.5,"Freshman",1,2,95,41,6,13,54,56,8,"dozens",30,"Star Wars: The Force Awakens","How I Meet Your Mother","Limitless"
"female","female",68,102,6,"Freshman",1,0,0,1000,9,5,43,44,4,"few",10,"The Great Gatsby","Happy Camp","I Am A Singer"
"female","female",61,125,6,"Freshman",2,2,80,75,6.5,25,48,48,3,"hundreds",75,"Jenny's Wedding","Criminal Minds","How to Get Away With Murder"
"male","male",72,155,11,"Junior",0,2,80,200,9,2,50,52,2,"thousands",0,"Interview","Breaking Bad","Rick and Morty"
"female","female",64,135,6,"Freshman",0,0,69,20,6.5,30,47,50,7,"millions",30,"The Martian","Homeland","Orphan Black"
"male","male",70,175,10,"Junior",1,3,136,25,9.5,9,46,54,2,"one",80,"Transporter","Longmire","Walking Dead"
"male","male",69,160,9.5,"Freshman",3,1,100,600,6,8,53,53,7,"few",50,"Hateful 8","South Park","Game of Thrones"
"female","female",63,116,7,"Freshman",0,0,0,35,11,8,42,44,8,"one",50,"none","day day up","voice"
"male","male",71,180,12,"Freshman",0,4,108,130,6,5,45,47,7,"millions",85,"Saving Private Ryan","Parks and Recreation","The Office"
"female","female",62,130,6,"Freshman",2,1,80,20,6,14,52,52,6,"one",50,"Sisters","Greys Anatomy","Pretty Little Liars"
"female","female",68,175,10,"Senior",3,4,80,25,6,15,51,60,8,"dozens",40,"Saving Private Ryan","Grey's Anatomy","Say Yes to the Dress"
"male","male",71,165,11,"Freshman",0,1,116,25,6,8,55,58,9,"millions",10,"Kid Cannabis","Game of Throne","Skins"
"male","male",69,160,10.5,"Sophomore",1,2,100,35,7.5,8,47,47,5,"one",75,"The Martian","Game of Thrones","American Horror Story"
"female","female",64,145,8.5,"Freshman",4,2,90,54,7,11,48,48,5,"one",90,"Daddys Home","The Office","Greys Anatomy"
"female","female",65,122,7,"Freshman",4,8,0,1,7,6,42,43,4,"few",40,"Hercules","Spongebob","American Horror Story"
"male","male",70,175,10.5,"Freshman",4,4,110,200,6,10,42,36,7,"none",25,"Daddy's Home","Sons of Anarchy","Criminal Minds"
"female","female",63,118,6.5,"Freshman",1,2,85,15,7,12,51,55,3,"dozens",70,"Daddy's Home","Grey's Anatomy","Friends"
"male","male",69,106,9.5,"Freshman",0,1,98,60,7,8,40,50,3,"few",90,"none","Scrubs","Psych"
"female","female",65,132,7.5,"Freshman",2,0,0,120,6,10,48,53,7,"few",30,"Sherlock Homes","The Big Bang Theory","How I met your mother"
"female","female",69,155,10,"Sophomore",2,1,90,64,8,10,52,52,10,"one",40,"The Best of Me","Chicago Fire","One Tree Hill"
"male","male",77,300,15,"Freshman",6,1,138,20,7.5,12,55,59,8,"thousands",10,"Pineapple Express","ESPN","Workaholics"
"male","male",72,165,11,"Sophomore",2,2,85,40,8.5,4,52,54,9,"one",10,"Star Wars: The Force Awakens","Breaking Bad","The Office"
"female","female",62,118,6,"Freshman",3,1,90,60,7,50,52,49,8,"hundreds",40,"Legally Blonde","Grey's Anatomy","Gossip Girl"
"female","female",63,160,9,"Freshman",0,4,90,15,6,15,42,65,7,"thousands",50,"War Room","The Fosters","The Game"
"male","male",67,132,8,"Freshman",1,2,114,45,7,7,62,57,8,"one",70,"The Big Short","Suits","Entourage"
"male","male",69,200,12,"Freshman",3,1,100,0,6,8,47,52,3,"few",100,"The Revenant","The Walking Dead","Madam Secretary"
"male","male",70,165,9.5,"Freshman",13,2,100,400,8,4,42,44,8,"one",100,"Django unchained","Game of Thrones","Dexter"
"female","female",63,110,6.5,"Freshman",0,2,70,70,8,10,47,48,10,"one",10,"none","Masterchef","Family Feud"
"male","male",70,160,9.5,"Sophomore",1,2,95,200,8.5,8,53,60,7,"dozens",99,"star wars","mad men","parks and rec"
"female","female",64,160,9.5,"Freshman",3,5,32,1,8,10,39,46,4,"one",90,"""""The Best of Me""""","Criminal Minds","Law & Order SVU"
"male","male",67,143,8.5,"Freshman",0,2,90,500,7,20,49,48,3,"few",20,"Who am I","House of Cards","Big Bang Theory"
"male","male",69,165,10,"Freshman",4,3,95,52,7,5,49,48,3,"few",90,"The martian","Sons of Anarchy","Prison Break"
"male","male",68,185,10.5,"Freshman",5,1,30,90,7,4,42,43,9,"few",15,"The Hateful Eight","Hannibal","Breaking Bad"
"female","female",66,120,7,"Freshman",2,1,95,0,8.5,39,45,45,4,"hundreds",30,"""""sisters""""","Pretty Little Liars","Parks and Rec"
"male","male",82,132,9,"Freshman",0,0,0,1000,7,6,43,55,3,"few",30,"none","The Game of Throne","Person of Interest"
"male","other",72,230,12,"Freshman",4,1,91,100,7.5,6,40,40,2,"one",100,"Star Wars","Chuck","Avatar The Last Airbender"
"female","female",75,180,11.5,"Freshman",4,1,85,80,8,14,43,47,8,"few",100,"Star Wars!!!!!!!","One Tree Hill","Grey's Anatomy"
"female","female",62,120,6,"Freshman",3,11,40,10,5,7,59,60,7,"few",100,"Blow","Jane the Virgin","Lie To Me"
"female","female",67,137,6.5,"Freshman",3,1,100,20,7,6,55,56,9,"one",75,"Aladdin","House of Cards","The Big Band Theory"
"female","female",67,140,9,"Freshman",2,2,100,150,6.5,40,50,57,7,"few",15,"The Forest","The Walking Dead","American Horror Story"
"male","male",72,200,10.5,"Sophomore",1,2,80,150,7,2,44,51,9,"dozens",25,"Sicario","The Walking Dead","Suits"
"female","female",66,130,8,"Freshman",0,0,0,40,8,21,45,45,3,"few",10,"5 to 7","Gossip Girl","Running Man"
"female","female",67,150,8.5,"Sophomore",2,1,90,80,7,18,43,51,3,"dozens",80,"Star Wars","Once Upon a Time","Jane the Virgen"
"male","male",71,150,10.5,"Sophomore",1,1,85,400,6.5,3,54,55,9,"few",90,"The Martian","Gilligan's Island","Arrested Development"
"male","male",69,158,10,"Sophomore",1,3,105,45,6,8,59,61,2,"millions",50,"Top Gun","Blue Mountain State","Parks and Recreation"
"female","female",60,90,7.5,"Freshman",0,0,20,20,6,6,47,48,9,"one",20,"NONE","I am Singer","Daddy Where are we going"
"male","male",70,190,11,"Sophomore",2,1,110,12,9,5,49,54,9,"thousands",10,"The Hateful Eight","Breaking Bad","The Walking Dead"
"female","female",66,202,8,"Freshman",1,0,55,150,7.5,10,41,45,8,"few",60,"The Intern","Friends","Chicago P.D."
"female","female",64,149,8,"Freshman",2,4,90,2,7,25,47,48,4,"few",50,"Hunger Games part 4","Prison Break","Pretty Little Liars"
"female","female",63,107,7,"Sophomore",0,0,0,2,8,20,52,50,7,"few",50,"Ex","Running Man","Big Bang Theory"
"female","female",62,160,9,"Senior",3,3,100,300,6,8,45,44,6,"one",15,"bad boys","law and order","love and hip hop"
"female","female",66,130,8.5,"Junior",2,0,85,10,8,6,50,55,7,"few",76,"Inside Out","Friends","That 70's show"
"female","female",59,116,6,"Freshman",5,2,90,28,6.5,30,46,46,10,"few",100,"Daddy's Home","Friends","Grey's Anatomy"
"female","female",66,142,8.5,"Sophomore",1,1,65,25,6,6,48,55,8,"few",100,"Bajirao Mastani","Parks and Recreation","Jane the Virgin"
"male","male",74,202,12,"Junior",6,2,132,4,8,5,56,60,2,"thousands",10,"inside out","workaholics","adventure time"
"female","female",65,110,5,"Freshman",2,1,66,20,5,20,55,57,9,"few",100,"Harry Potter and the Goblet of Fire","How to Get Away With Murder","The 100"
"female","female",68,140,8.5,"Freshman",0,3,65,5,7.5,25,52,53,7,"few",80,"Joy","Friends","Grey's Anatomy"
"female","female",60,115,6.5,"Freshman",1,1,95,0,7,26,46,51,6,"few",50,"Star Wars: The Force Awakens","Whose line is it anyway?","Friends"
"female","female",65,111,8.5,"Freshman",0,1,0,13,7.5,13,55,54,5,"few",50,"none","none","none"
