"gender","schoolYear","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","hoursCallParents","socialMedia","Syria","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Female","Freshman","No","suburbs","Mixed_Other","Christian",6,25,4,10,15,3,2,"13",20,4,0,0,"No",9,5,5,3,10,0,0
"Female","Freshman","No","Small_Town","White","Christian",7,24,3.8,2,2,4,2,"15",20,3,5,8,"No",4,9,8,2,8,0,30
"Female","Freshman","Yes","suburbs","Hispanic","Christian",3,32,4,6,8,3,1,"15",10,1.5,2,0,"No",0,1,3,7,8,0,0
"Female","Sophomore","No","big_city","White","Atheist",0,28,3.6,0,0,3,1,"15",7,1,0,0,"Yes",0,0,5,7,10,5,100
"Female","Sophomore","No","big_city","Hispanic","Agnostic",0,30,3.6,15,7,4,2,"16",3,3.5,1,0,"No",4,4,5,3,7,5,10
"Male","Sophomore","Yes","suburbs","Mixed_Other","Jewish",7,31,3.8,18,18,9,0,"13",5,2,10,3,"No",0,4,5,10,10,0,100
"Male","Sophomore","Yes","suburbs","White","Christian",8,27,3,30,30,15,2,"16",20,7,3,0,"Yes",7,10,5,5,9,15,50
"Female","Freshman","No","big_city","Asian","Christian",4,30,4,1,2,1,1,"14",8,8,5,5,"No",5,5,7,8,8,0,90
"Male","Junior","No","big_city","Black","Atheist",4,26,2.7,8,15,12,0,"14",3,6,3,3,"Yes",8,7,6,10,6,5,20
"Female","Freshman","No","Small_Town","White","Christian",8,25,3.6,12,9,2,2,"14",6,1,5,2,"No",4,5,7,7,10,0,40
"Male","Sophomore","Yes","suburbs","Asian","Hindu",8,29,2.9,6,5,0,2,"15",6,3,5,5,"No",2,3,7,5,7,0,100
"Female","Junior","No","big_city","Asian","Atheist",0,25,3.7,0,1,1,2,"19",5,3,5,0,"No",0,3,8,7,10,0,100
"Female","Junior","No","big_city","Asian","Christian",6,30,4,1,1,0,1,"still_waiting",1,2,3,5,"No",1,7,7,9,10,0,100
"Female","Sophomore","Yes","suburbs","White","Christian",2,26,4,12,6,0,1,"17",2,0.5,0,0,"No",0,5,8,0,10,0,100
"Female","Sophomore","No","suburbs","White","Christian",8,24,3.7,8,4,0,0,"15",7,1.5,5,6,"No",10,9,5,2,9,0,100
"Female","Sophomore","No","big_city","White","Atheist",0,25,3.5,6,4,3,1,"16",7,7,0,0,"No",0,1,2,0,10,0,90
"Female","Sophomore","Yes","suburbs","White","Christian",5,27,3.2,14,10,1,2,"15",4,5,0,1,"No",0,9,10,9,10,0,60
"Female","Freshman","No","suburbs","White","Christian",3,25,3.3,5,3,1,1,"16",3,2,5,1,"No",0,5,7,7,7,0,10
"Female","Junior","Yes","suburbs","White","Christian",10,30,3.5,0,0,0,1,"13",4,1,5,5,"No",10,8,5,0,8,10,20
"Male","Sophomore","No","suburbs","Asian","Atheist",0,33,3.8,2,2,0,1,"17",1,2,5,2,"No",4,5,7,2,7,0,100
"Female","Sophomore","Yes","suburbs","White","Christian",9,27,3.5,18,20,0,0,"15",7,3,1,6,"No",10,9,4,3,10,0,100
"Male","Freshman","Yes","Small_Town","White","Agnostic",0,30,4,10,10,3,2,"15",0,3,7,0,"No",0,4,0,10,1,0,100
"Male","Sophomore","No","suburbs","White","Agnostic",0,31,3.7,2,1,1,2,"10",1,3.5,5,0,"No",0,0,3,0,10,20,100
"Female","Sophomore","No","big_city","Asian","Christian",3,24,3.6,3,0,0,2,"17",4,2.5,1,3,"No",3,4,5,5,10,0,100
"Female","Sophomore","No","Medium_City","White","Christian",7,24,3.9,4,1,0,1,"15",14,2,6,7,"No",8,8,7,5,9,20,100
"Female","Sophomore","Yes","suburbs","White","Christian",6,34,3.9,10,10,1,1,"14",4,3,5,0,"Yes",5,4,5,5,9,0,100
"Female","Sophomore","No","suburbs","Asian","Hindu",8,28,3.2,12,20,0,2,"18",17,3,5,4,"No",8,6,6,9,10,0,100
"Male","Sophomore","Yes","suburbs","White","Christian",6,30,3.2,25,50,6,1,"13",3,0.5,7,10,"No",8,10,9,7,8,0,80
"Male","Sophomore","No","big_city","Hispanic","Other",7,21,3.1,5,1,0,0,"15",3,4,1,1,"No",1,2,4,3,7,0,0
"Female","Sophomore","No","suburbs","White","Christian",1,29,3.2,10,16,5,3,"12",5,2.5,4,0,"No",0,4,5,8,8,15,60
"Female","Sophomore","No","big_city","Hispanic","Christian",3,28,3.4,1,7,1,1,"15",1,5,0,0,"Yes",0,5,8,2,10,10,100
"Male","Junior","No","suburbs","Asian","Christian",7,31,2.1,1,7,0,0,"still_waiting",1,3,7,7,"No",5,5,4,7,5,0,90
"Female","Sophomore","No","suburbs","White","Christian",9,21,3.7,7,5,3,1,"12",1,1.5,4,2,"Yes",9,7,2,1,9,15,90
"Female","Sophomore","No","suburbs","White","Christian",2,29,3.4,8,15,2,1,"15",3,0.5,3,0,"No",2,2,5,7,8,5,70
"Male","Sophomore","Yes","suburbs","White","Jewish",4,25,3.4,8,12,0,2,"16",5,4,2,1,"No",3,2,3,2,7,0,50
"Female","Freshman","No","suburbs","White","Jewish",3,25,3.5,6,7,2,0,"14",3,5,5,0,"No",0,5,4,5,9,0,90
"Male","Senior","No","big_city","Asian","Christian",5,29,3.1,1,1,3,3,"20",7,3,3,10,"No",0,5,5,7,4,30,70
"Female","Sophomore","No","big_city","Hispanic","Agnostic",0,29,3.1,10,1,2,1,"13",5,2,2,0,"Yes",0,3,6,7,9,15,0
"Male","Sophomore","Yes","big_city","Hispanic","Agnostic",1,31,3,10,34,3,1,"14",2,1.5,9,1,"No",2,4,5,6,8,0,100
"Female","Freshman","No","Medium_City","White","Christian",5,26,3.7,8,9,0,2,"15",1,1.5,1,0,"No",5,5,5,4,5,0,90
"Female","Sophomore","No","Medium_City","White","Christian",2,33,2.8,5,6,5,3,"12",1,3,0,10,"Yes",0,1,4,10,5,25,100
"Female","Sophomore","Yes","Medium_City","White","Christian",5,28,3.9,20,40,2,1,"14",2,5,3,0,"Yes",0,5,1,8,9,0,90
"Male","Senior","No","suburbs","White","Christian",6,31,2.9,8,10,1,1,"15",3,4,5,3,"No",7,7,5,6,9,10,0
"Female","Sophomore","No","big_city","Black","Christian",3,24,3.2,4,0,3,2,"14",2,2.5,4,0,"Yes",0,2,8,7,7,15,0
"Male","Sophomore","No","suburbs","White","Atheist",1,34,4,0,0,0,0,"still_waiting",7,1,8,0,"No",0,2,0,2,5,5,30
"Female","Sophomore","No","Small_Town","Mixed_Other","Christian",3,27,3.7,0,0,0,2,"15",5,1,2,0,"No",1,4,5,7,6,0,80
"Female","Freshman","No","suburbs","White","Christian",8,30,3.5,4,1,0,0,"still_waiting",5,2,4,10,"No",10,6,3,3,8,0,0
"Female","Junior","Yes","suburbs","White","Jewish",5,28,4,4,4,2,1,"18",10,8,5,2,"No",0,1,5,1,5,5,80
"Female","Sophomore","Yes","suburbs","White","Other",5,28,3.4,8,8,0,0,"16",3,1.5,8,5,"No",3,10,9,7,10,10,100
"Female","Sophomore","Yes","suburbs","Black","Christian",4,28,3.9,12,15,0,1,"17",11,1,2,0,"No",5,5,5,3,7,5,0
"Male","Junior","No","Small_Town","White","Christian",2,30,3.3,3,10,35,7,"15",3,1.5,0,6,"No",5,4,8,7,8,25,0
"Female","Sophomore","No","suburbs","White","Agnostic",3,25,3.7,5,5,1,1,"13",7,5.5,0,0,"No",0,3,2,5,6,0,100
"Female","Sophomore","No","Small_Town","White","Agnostic",0,29,2.5,8,8,1,2,"15",3,1.5,0,0,"No",0,4,5,3,5,10,0
"Male","Sophomore","No","suburbs","Black","Muslim",3,27,3.3,15,18,1,0,"17",1,0.5,5,0,"No",2,3,5,5,9,0,90
"Male","Sophomore","No","suburbs","Asian","Muslim",5,30,3.8,12,0,10,3,"14",7,4,0,5,"No",2,4,5,5,9,0,100
"Male","Sophomore","No","Medium_City","White","Christian",1,27,3.4,2,1,2,3,"15",2,3,3,5,"No",3,8,8,6,10,0,50
"Female","Sophomore","No","big_city","Asian","Buddhist",2,27,3.3,8,2,1,1,"13",1,2.5,1,0,"No",1,3,7,7,9,0,80
"Female","Sophomore","No","big_city","Hispanic","Christian",2,28,3.5,9,17,1,1,"18",2,3.5,2,0,"No",2,5,5,5,9,0,10
"Female","Junior","No","big_city","Black","Christian",6,25,3.1,10,6,0,1,"17",5,0.5,5,0,"No",3,3,5,5,9,0,80
"Female","Senior","No","suburbs","Asian","Christian",10,31,3.4,1,1,1,1,"20",6,5,0,6,"No",8,6,4,3,8,10,90
"Female","Sophomore","Yes","suburbs","White","Christian",4,24,3.8,10,20,18,4,"15",10,3,2,0,"No",2,1,5,8,4,0,100
"Female","Senior","Yes","suburbs","White","Christian",3,29,3.8,12,20,3,1,"15",3,2,2,10,"No",4,5,6,3,10,10,90
"Male","Junior","No","suburbs","Mixed_Other","Christian",6,33,3.7,0,0,0,1,"18",2,4,7,2,"No",1,7,8,5,9,0,100
"Male","Sophomore","No","big_city","Asian","Christian",3,25,2.7,1,1,0,0,"18",1,1,4,4,"No",5,6,7,7,6,10,0
"Female","Sophomore","Yes","suburbs","White","Christian",7,27,3.7,10,7,3,1,"16",2,1.5,1,0,"No",7,7,7,3,9,0,90
"Female","Junior","No","suburbs","White","Christian",8,25,3.5,10,8,1,1,"16",7,2,6,5,"No",5,5,5,5,5,0,50
"Male","Sophomore","No","suburbs","White","Christian",8,32,2.5,0,0,0,0,"13",14,1,9,10,"No",9,9,8,6,8,0,20
"Male","Junior","No","suburbs","Asian","Christian",3,29,3.2,2,0,0,1,"16",1,1.5,7,3,"No",5,7,9,8,10,0,100
"Female","Sophomore","Yes","Medium_City","White","Atheist",0,24,3.1,16,24,8,1,"15",4,3,5,0,"Yes",0,0,6,5,10,0,90
"Male","Sophomore","Yes","big_city","Mixed_Other","Atheist",0,22,1.9,8,20,1,1,"16",5,2,8,3,"No",0,7,3,8,7,0,10
"Female","Freshman","No","Small_Town","White","Christian",7,27,3.7,12,3,0,0,"16",3,5,4,5,"No",8,5,4,7,9,0,0
"Male","Sophomore","Yes","suburbs","White","Christian",5,31,3.2,15,30,1,1,"18",2,1,0,5,"No",0,7,10,7,8,0,100
"Female","Sophomore","No","suburbs","White","Christian",1,21,3.6,7,10,6,1,"9",0,3.5,6,0,"No",2,5,8,3,2,40,0
"Male","Sophomore","No","suburbs","Asian","Agnostic",3,27,2.7,2,1,2,1,"14",1,2,4,4,"No",0,4,7,8,9,5,100
"Female","Sophomore","No","Small_Town","White","Atheist",1,26,3.9,9,15,3,2,"16",4,1,5,0,"No",5,7,6,3,10,20,100
"Female","Sophomore","No","suburbs","White","Atheist",0,25,3.4,6,6,1,0,"16",5,1.5,5,0,"No",0,7,6,4,6,0,10
"Female","Senior","Yes","big_city","Mixed_Other","Christian",4,21,3.1,2,10,2,1,"14",6,3,6,2,"No",0,0,7,9,9,0,100
"Female","Sophomore","No","Medium_City","White","Christian",5,23,3.3,7,16,0,0,"still_waiting",3,5,2,5,"No",2,2,9,1,8,5,20
"Male","Freshman","Yes","Medium_City","White","Christian",8,28,4,10,6,1,7,"14",4,2,5,7,"No",5,5,5,8,7,20,80
"Female","Sophomore","Yes","Small_Town","White","Christian",6,24,3.2,6,10,19,15,"14",5,1,5,3,"No",2,6,4,2,9,0,10
"Female","Sophomore","No","Medium_City","Mixed_Other","Agnostic",2,28,3.3,1,0,4,1,"14",3,1.5,1,0,"No",0,2,4,1,9,0,20
"Male","Sophomore","Yes","big_city","White","Atheist",1,28,3.4,15,30,4,2,"13",2,6,2,1,"No",0,2,6,7,8,10,80
"Female","Sophomore","No","suburbs","Asian","Christian",7,27,3,8,10,0,0,"17",3,6.5,5,2,"No",5,1,7,5,8,0,100
"Female","Junior","No","Small_Town","Mixed_Other","Christian",4,21,1.6,0,0,7,2,"15",10,0.5,3,0,"Yes",0,5,0,0,10,5,0
"Female","Freshman","Yes","suburbs","White","Jewish",7,31,3.9,1,0,0,0,"14",7,1,0,0,"No",1,2,5,1,8,15,100
"Female","Freshman","No","suburbs","White","Agnostic",0,32,4,10,12,0,0,"still_waiting",1,1.5,1,5,"No",8,8,8,5,9,0,100
"Female","Sophomore","No","big_city","Hispanic","Christian",2,22,3.4,8,12,4,2,"12",5,8,5,0,"Yes",3,6,6,10,7,15,40
"Female","Sophomore","No","suburbs","Asian","Buddhist",6,22,3.8,10,10,3,2,"14",7,4,4,3,"No",2,5,2,1,8,0,10
"Male","Sophomore","Yes","Small_Town","White","Christian",3,25,3.2,35,50,13,2,"17",2,2.5,7,0,"No",3,3,8,7,8,5,60
"Female","Sophomore","Yes","Medium_City","White","Christian",5,29,3.5,15,10,1,1,"18",1,5,5,1,"No",5,8,7,1,8,0,100
"Male","Sophomore","Yes","big_city","White","Jewish",3,24,2.9,48,40,5,1,"14",2,1,3,9,"No",5,5,5,6,6,15,100
"Male","Junior","No","Medium_City","Hispanic","Atheist",0,26,2.2,5,1,4,2,"13",1,2,0,0,"Yes",3,1,4,7,9,0,20
"Female","Sophomore","No","Small_Town","Mixed_Other","Christian",5,26,3,5,15,7,2,"16",2,1.5,3,1,"No",5,3,7,6,7,15,0
"Female","Sophomore","No","Small_Town","Asian","Christian",8,30,3.8,3,0,0,0,"14",3,6,0,0,"No",2,5,3,5,8,5,80
"Male","Junior","No","suburbs","White","Christian",10,20,3.1,0,2,3,1,"13",6,1,2,8,"No",7,6,7,6,9,0,40
"Male","Junior","No","Medium_City","Mixed_Other","Christian",10,28,3.2,6,25,2,1,"14",4,0.5,5,6,"No",5,7,8,5,10,0,50
"Female","Junior","No","suburbs","White","Christian",5,24,3.2,10,24,0,0,"14",7,2,5,0,"No",3,5,7,10,8,0,20
"Female","Sophomore","No","suburbs","White","Christian",5,27,4,9,8,1,1,"18",2,4,5,0,"No",0,2,7,1,10,0,80
"Female","Sophomore","No","suburbs","Asian","Hindu",7,24,3.4,0,0,0,0,"18",10,2.5,4,8,"No",5,4,2,7,6,0,80
"Female","Freshman","No","suburbs","White","Christian",7,26,4,12,15,2,1,"14",4,2,5,5,"No",7,5,5,5,8,0,70
"Female","Sophomore","No","suburbs","Asian","Atheist",0,27,3.8,3,0,1,0,"12",7,3,5,5,"No",3,6,5,2,10,0,100
"Female","Sophomore","Yes","big_city","Hispanic","Other",6,23,2.8,10,7,12,3,"14",2,2,0,0,"No",5,3,6,5,8,10,10
"Male","Senior","No","Small_Town","White","Christian",2,30,2.4,12,15,5,4,"14",6,4,0,5,"Yes",0,9,3,8,8,10,30
"Female","Sophomore","Yes","suburbs","White","Christian",6,29,3.6,4,27,9,3,"13",5,7,0,0,"No",3,6,7,2,8,0,100
"Female","Sophomore","No","suburbs","Asian","Muslim",8,28,3.2,0,0,0,0,"still_waiting",3,8,0,10,"No",10,5,7,10,9,0,0
"Male","Sophomore","No","suburbs","White","Christian",8,28,2.9,9,18,0,1,"8",3,3,5,5,"No",10,8,7,6,10,0,0
"Female","Sophomore","No","suburbs","Mixed_Other","Hindu",7,26,3.4,0,0,0,0,"still_waiting",1,2,5,0,"No",7,4,5,2,10,10,50
"Female","Sophomore","No","big_city","Black","Christian",8,22,2.8,5,2,3,1,"14",5,5.5,4,10,"No",8,5,5,0,10,0,0
"Male","Sophomore","No","suburbs","White","Christian",6,21,3,4,1,1,1,"9",3,1,6,6,"No",5,7,8,5,8,40,20
"Male","Sophomore","Yes","suburbs","Black","Christian",0,28,3.7,9,12,1,2,"15",1,1,2,0,"No",0,4,4,7,5,0,80
"Female","Graduate","No","suburbs","White","Christian",8,28,3.5,10,12,1,1,"16",5,1.5,0,1,"No",10,4,6,5,9,0,10
"Female","Sophomore","No","suburbs","Black","Christian",5,20,3.6,10,5,1,1,"16",3,2.5,6,0,"No",0,2,6,9,5,10,0
"Female","Sophomore","No","suburbs","Mixed_Other","Christian",5,26,2.3,1,0,4,2,"15",4,6,3,4,"No",2,3,5,5,6,10,10
"Female","Sophomore","Yes","suburbs","White","Jewish",4,26,3.8,6,6,2,1,"16",15,6,3,0,"No",2,5,5,5,10,5,80
"Male","Junior","No","suburbs","Mixed_Other","Christian",2,28,2.9,2,5,0,1,"15",1,1,5,0,"No",0,4,4,10,9,15,30
"Male","Freshman","Yes","suburbs","White","Other",5,29,3.8,9,36,0,0,"17",1,0.5,10,1,"No",3,7,6,8,7,0,90
"Male","Senior","No","suburbs","White","Atheist",1,26,3.6,4,4,2,1,"17",4,5,1,0,"No",1,5,5,8,10,0,50
"Male","Sophomore","Yes","suburbs","Black","Christian",7,29,3.3,18,50,27,1,"7",10,2.5,9,0,"Yes",0,7,6,6,8,15,0
"Male","Sophomore","No","Small_Town","White","Christian",5,27,3.3,15,15,2,1,"15",2,2,7,8,"No",4,8,9,7,5,10,50
"Female","Senior","No","suburbs","White","Atheist",0,28,3.3,4,4,1,1,"15",6,1.5,0,0,"No",0,0,5,2,8,10,100
"Male","Junior","Yes","suburbs","Asian","Hindu",6,29,3,1,2,1,1,"14",14,2,5,0,"No",2,2,8,5,10,0,90
"Female","Junior","No","suburbs","White","Christian",4,34,3.6,0,2,0,1,"18",5,1.5,5,0,"Yes",3,2,5,2,6,0,70
"Male","Sophomore","No","big_city","Asian","Christian",3,30,3.5,0,1,0,0,"still_waiting",0,1,0,1,"No",3,2,3,3,3,0,100
"Female","Sophomore","No","suburbs","Asian","Christian",8,25,3.3,0,0,0,0,"19",1,5,5,9,"No",10,8,7,4,9,0,100
"Female","Junior","No","big_city","Asian","Christian",9,25,3,0,0,0,0,"still_waiting",3,2,0,10,"No",8,8,6,3,8,0,0
"Female","Sophomore","No","Medium_City","Asian","Agnostic",0,25,3.2,6,3,3,2,"15",2,8,0,0,"No",0,0,3,4,7,0,100
"Female","Sophomore","Yes","big_city","White","Christian",7,25,3.4,10,14,5,2,"16",9,3,7,2,"No",0,3,10,7,9,15,100
"Female","Sophomore","No","big_city","Asian","Buddhist",3,26,3.2,1,0,0,0,"13",4,3.5,2,4,"No",3,3,4,7,9,10,50
"Female","Sophomore","Yes","suburbs","White","Jewish",7,30,3.5,12,15,16,0,"13",6,5,6,0,"No",0,4,7,8,10,0,100
"Male","Sophomore","No","suburbs","White","Christian",8,28,3.6,15,25,0,2,"15",2,1,5,4,"No",8,8,8,5,9,0,90
"Female","Sophomore","No","suburbs","Asian","Christian",9,24,2.5,3,0,3,0,"18",1,3.5,1,5,"No",7,9,1,9,6,5,100
"Male","Graduate","No","Medium_City","White","Christian",0,26,3.2,10,6,12,2,"14",5,8,7,0,"No",0,4,8,7,10,10,50
"Female","Senior","Yes","suburbs","White","Christian",8,34,3.8,4,5,1,3,"14",10,1,0,2,"No",8,9,8,6,9,10,90
"Female","Sophomore","No","suburbs","White","Agnostic",0,30,3.4,0,0,2,3,"13",1,4,0,0,"No",0,1,5,2,8,20,90
"Male","Sophomore","Yes","big_city","Asian","Muslim",5,28,4,6,10,3,0,"16",4,2.5,7,5,"No",0,4,5,6,9,15,100
"Female","Sophomore","No","Medium_City","Asian","Christian",8,32,3.8,3,0,0,0,"still_waiting",0,6,3,10,"No",10,6,8,5,7,0,0
"Male","Sophomore","No","suburbs","Asian","Christian",6,28,2,6,4,1,3,"13",4,8,5,0,"No",1,3,1,7,7,0,100
"Male","Junior","Yes","big_city","Asian","Muslim",7,28,3.3,1,0,1,1,"14",1,5,5,5,"No",4,5,5,5,5,10,0
"Male","Sophomore","No","suburbs","Mixed_Other","Agnostic",1,24,3.3,3,0,0,1,"19",0,2,0,0,"No",3,3,7,5,8,10,0
"Female","Senior","No","Medium_City","Hispanic","Christian",10,26,2.8,6,10,0,0,"13",6,6.5,2,5,"No",10,6,3,5,9,15,10
"Female","Freshman","No","Small_Town","White","Christian",8,29,4,0,0,0,3,"14",1,2,5,10,"No",10,8,5,0,4,10,20
"Female","Sophomore","No","big_city","Hispanic","Other",1,24,2.3,6,0,0,0,"19",2,4.5,0,0,"No",0,5,1,6,7,0,90
"Male","Junior","Yes","Medium_City","White","Christian",5,22,2.5,8,10,15,2,"15",1,4,4,5,"No",6,8,2,5,5,15,0
"Female","Sophomore","No","suburbs","White","Christian",8,26,3.4,10,10,0,1,"16",5,1.5,5,6,"No",10,8,5,8,10,5,0
"Male","Sophomore","No","Small_Town","White","Christian",7,24,3.5,3,40,2,2,"15",1,2,1,7,"No",7,8,8,7,8,0,10
"Female","Sophomore","Yes","Small_Town","Asian","Muslim",6,27,3.7,4,0,0,0,"still_waiting",6,2.5,0,9,"No",5,4,6,7,8,0,10
"Female","Sophomore","Yes","suburbs","White","Jewish",5,27,3.5,9,5,1,1,"15",4,3.5,5,0,"No",3,5,6,4,4,0,80
"Female","Senior","No","suburbs","White","Christian",9,25,2.9,10,0,1,1,"13",4,0.5,1,5,"No",10,5,4,0,9,10,0
"Male","Sophomore","No","Small_Town","Black","Christian",7,25,2.1,0,0,0,0,"still_waiting",0,0.5,3,9,"No",8,8,6,5,6,10,0
"Male","Sophomore","No","suburbs","White","Christian",4,30,3.2,4,0,5,2,"12",3,1.5,8,5,"No",8,7,5,7,9,0,100
"Female","Sophomore","No","big_city","Black","Christian",6,27,3.5,4,0,0,1,"12",7,2,0,0,"No",5,2,5,0,5,0,40
"Female","Sophomore","No","Medium_City","Asian","Hindu",4,33,2.8,8,10,5,1,"13",4,5,0,1,"No",2,3,5,5,8,0,100
"Male","Freshman","No","Small_Town","White","Christian",4,28,4,5,5,1,1,"14",3,2.5,5,5,"No",5,5,5,5,5,0,70
"Female","Sophomore","No","big_city","Asian","Christian",10,32,3.7,0,0,0,0,"still_waiting",5,3,0,6,"No",0,7,7,2,9,0,100
"Male","Sophomore","Yes","big_city","Black","Other",5,21,2.9,8,0,1,1,"13",1,8,7,8,"No",6,5,8,2,8,10,10
"Female","Junior","No","Medium_City","Mixed_Other","Christian",3,36,3.5,0,0,0,0,"still_waiting",0,5,0,5,"No",5,2,3,10,8,10,90
"Female","Sophomore","No","suburbs","Black","Christian",5,24,3.1,2,1,2,2,"12",7,0,7,5,"No",1,1,4,0,10,0,0
"Female","Sophomore","No","Medium_City","Asian","Christian",7,26,3,3,2,0,1,"18",1,4,5,2,"No",5,3,4,3,7,0,100
"Male","Sophomore","No","Small_Town","Asian","Hindu",5,31,3,6,10,2,0,"16",2,1,0,0,"No",3,2,5,3,9,10,100
"Female","Sophomore","Yes","big_city","Hispanic","Christian",8,20,3,12,7,8,3,"17",5,1,3,0,"Yes",3,2,6,3,9,0,30
"Female","Sophomore","No","suburbs","White","Christian",7,29,3.4,10,5,1,1,"16",1,5,0,0,"No",10,5,8,4,3,0,50
"Female","Sophomore","No","Medium_City","Asian","Christian",7,30,3,5,2,7,2,"15",4,4,0,4,"No",7,5,5,6,9,0,100
"Female","Freshman","No","Small_Town","White","Christian",7,29,3.9,5,2,1,0,"13",1,3,8,0,"No",0,5,6,7,3,0,70
"Female","Sophomore","No","suburbs","Asian","Muslim",5,23,3.2,8,1,0,0,"15",3,3,0,0,"No",5,1,9,0,10,0,100
"Male","Sophomore","Yes","suburbs","White","Atheist",3,24,3.6,7,30,12,2,"16",10,1.5,0,0,"Yes",0,0,5,10,5,0,0
"Female","Freshman","No","big_city","Hispanic","Other",5,26,4,0,0,0,2,"13",12,1.5,0,5,"No",7,5,8,1,8,0,20
"Female","Junior","No","suburbs","White","Christian",6,23,3.8,0,0,0,0,"10",7,3.5,4,1,"No",2,7,7,5,10,0,50
"Female","Sophomore","No","suburbs","Mixed_Other","Hindu",3,25,3.2,8,4,1,0,"12",4,5,5,2,"Yes",5,5,10,7,9,0,100
"Male","Freshman","No","suburbs","White","Christian",2,29,3.6,12,30,1,1,"16",3,0,1,1,"No",10,5,5,1,2,30,90
"Female","Sophomore","No","Medium_City","White","Agnostic",1,27,2.5,4,3,4,2,"14",7,1,3,0,"Yes",1,3,6,4,9,0,100
"Female","Sophomore","No","Medium_City","White","Christian",7,27,3.6,10,10,1,1,"15",20,2,6,7,"No",6,6,5,3,10,5,100
"Male","Sophomore","No","big_city","Hispanic","Other",2,25,3,8,15,5,2,"12",6,2,2,5,"Yes",2,1,8,1,8,0,0
"Female","Junior","No","big_city","Black","Christian",5,21,2.6,1,0,5,2,"14",1,3,5,0,"No",3,6,3,4,7,30,0
"Female","Sophomore","No","suburbs","Asian","Christian",5,27,3.4,15,35,12,3,"14",0,1.5,8,10,"Yes",9,8,10,9,5,0,90
"Female","Freshman","No","suburbs","White","Christian",6,28,3.9,9,5,1,1,"11",4,3,6,1,"No",2,3,3,3,5,40,0
"Male","Sophomore","No","big_city","Asian","Buddhist",4,26,2.5,9,17,1,1,"12",5,8,4,5,"No",3,5,6,5,8,0,20
"Male","Sophomore","No","Medium_City","White","Christian",10,30,4,1,0,0,1,"15",1,1.5,9,10,"No",10,9,4,2,8,40,60
"Female","Sophomore","No","Medium_City","White","Christian",10,29,3.6,0,0,0,2,"15",3,2,2,9,"No",10,10,5,0,8,15,10
"Female","Sophomore","Yes","suburbs","White","Jewish",5,29,3.7,4,0,0,0,"15",4,2,5,0,"No",0,2,3,2,7,0,90
"Female","Sophomore","No","suburbs","Black","Christian",5,22,2.6,2,1,0,1,"15",3,1,1,0,"Yes",0,5,5,5,7,20,0
"Female","Freshman","No","Medium_City","White","Christian",1,27,4,0,0,0,0,"still_waiting",14,1,1,0,"No",0,7,8,4,9,0,90
"Female","Senior","No","big_city","Asian","Agnostic",0,29,3.4,0,0,0,1,"9",2,2,0,5,"No",0,4,8,4,10,0,100
"Female","Sophomore","No","suburbs","Black","Hindu",2,33,3.9,49,10,26,6,"15",4,7,4,4,"No",4,5,5,6,5,15,50
"Female","Sophomore","No","Medium_City","Mixed_Other","Other",0,24,3.2,2,0,3,2,"13",4,2.5,5,0,"No",0,1,8,5,8,0,90
"Male","Junior","No","suburbs","Asian","Christian",10,34,3.8,0,0,0,0,"18",4,1.5,7,5,"No",5,5,3,0,9,5,100
